Name,Dialog
Carl,"Well, I suppose I could just skip to the epilogue, sir. Hmm. Having signed the peace accord, the happy wanderers returned to their village as heroes. The rain stopped, and Candavere kept her date with Jeremiad. As they danced, she was as happy as a young girl could be. Especially as she was now back to normal. (Candavere spits out fire) Well, almost. But even as the heroes recalled their tales of glory, the evil Malifishmirtz slipped away, bent on laying the groundwork for a sequel. (Malifishmirtz escapes from his pillory) But for now, all was right with the world, and everyone in the village agreed that it was the best Midsummer Wode-Gathering Harvest Bonfire's Eve ever. Certainly the first one to have ten thousand monsters. The End. How was that, sir?"
Carl,"Uh, hi, Agent P. Major Monogram isn't here right now, but he left this note. (Tries to mimic Major Monogram's voice) ""Dear Carl, I haven't been kidnapped so don't come looking for him... I mean me."" Kinda weird, though, that he took the time to cut each letter out of a magazine. Anywhos, Doof is on vacation with his daughter in Tokyo right now which is where the Annual World Good Guy convention is being held, and Major Monogram's the keynote speaker. Coincidence? 100% yes! So I guess you got the day off!"
Major-in-Charge Carl,"You're right! (to the goat) Agent G, quit eating those memos and get out into the field! (to the dog) Agent D, go see what you can dig up! (to the owl) Agent O, go find out who's who! Agent Possum, play dead! (Agent Possum does so.) Excellent! (To the bear who is shredding documents) Agent B, go into the woods and...see what's out there! And the rest of you, get out there and fight evil! Agent P, I want you to go out to City Hall and get a reading on the situation there and report back to me."
Carl,"Uh, Agent P? Hey, it's me: Carl. The intern? We got a bit of a situation here. Major Monogram has been frozen like this pretty much all day. Solid as a rock. (Knocks on Monogram, knocking him over) Oh, sorry. Anywho, if the Major were able to, I'm sure he'd say, well, ""Ouch"", first of all, am I right? (Laughs) But seriously, I'm sure he'd say ""Doofenshmirtz was up to something, and you should get to the bottom of it"". (To Major Monogram) Am I right? Sir?"
Evil Carl,"(Still at the Flynn-Fletcher house) Let's see, red petals, three golden pistils... Dendrobium uncharticum. Presumed to exist only in uncharted regions in... Africa? I was sure he was struck with the Go Home-inator. We didn't even have a Go to Africa-inator. No matter; soon his tiny hand print will be mine, and then the OWCA will be mine, and then the Tri-State Area will be mine, and then I'm totally getting extra credit."
Carl,"(Dressed as Major Monogram, Mimicking his voice) Hello, Agent P. Welcome to the Company Halloween Party. Try the punch, it's wicked good. Just be sure to use a coaster. Certain people can be downright persnickety. (Normal voice) Psst, Agent P, it's me, Carl! Had you fooled, didn't I? I've got the monobrow, the whiskery mustache, but I couldn't get both my eyes on the same side of my nose. He's like a Picasso, or something."
Carl,"Look, if you guys can't pass this training exercise, there's no way you'll complete ""Town Square Riot"", ""Freeway Assault"", or ""Escape the Ancient Ruin"". Agent P, your trainees need to learn how to work together as a team or they're never gonna earn their black hat bands. And, uh, Karen? (takes out a laser pointer and points it at Karen, who is chasing a butterfly) Karen the Cat. Pay attention. Karen, I'm over here."
Evil Carl,"I'm over my minutes. But, now, with the boundless power of the mighty OWCA computer, I will bring the Tri-State Area to its knees! I will stop the power stations, de-synchronize all the traffic lights, and yeah! I'll have a vast army of interns do all my bidding, each one of them paid!"
Major-in-Charge Carl,"It's intel from Agent Squab, French surveillance pigeon. Hmm, there's a small shift in ambient temperature, there's civil unreasonableness at City Hall, and L.O.V.E.M.U.F.F.I.N. is convening for a secret meeting?! Oh no! Why did this have to happen on my watch?!"
Carl,"I'm worried too, sir. So I thought I'd make myself useful by modifying his chair. I added a hidden button so the chair will automatically go to Doofenshmirtz's. Then automatically return here. (laughs) Everything's Agent P sized here. It's kinda cute, like kindergarten."
