Name,Dialog
Lawrence,"Guys, come and look at this. This is an actual replica of an artist's interpretation of what some random guy of no significance believed that the chariot of Asparagus might have looked like. And this is Asparagus, the greatest warrior in all of Greece. With this golden chariot, he would win every race. And here he is defeating the Minotaur, a creature that's half-man, half-bull. Asparagus defeated him using the head of Medusa, a creature so ugly she could turn people to stone with just one look."
Lawrence,"1957! You place your shiny, hard-earned nickel into the coin slot! Think of it: all your favorite bands playing all their greatest hits at any time you want! You make your selection, guiding your chosen 45-RPM disc onto the magical turning table, center stage! Then, like a gentle nurse, an arm holding a needle lowers itself and finds its way into the groove! You turn around knowing the song you've chosen more than anything else tells the world what you're all about!"
Lawrence,"Oh, so many things, really. Music, hobbies, you kids. Ooh! You know what she really likes, is my famous rhubarb creme brulee. I used to make it for her all the time when we were dating. Oh, it made her so happy. (Candace leaves but Lawrence doesn't notice her leaving.) You know, I should get out my toque and blowtorch and make one for her today. What a good idea, Candace. Thank you. (notices Candace has left) Candace? Well, all right then."
Lawrence,"Well, actually there is one thing that you probably won't be able to find here. An 1807 Dorcham and Wesley Boot Scraper, only one of them was ever made, (dramatically) and it's been lost to the mists of time! Oh, if only I could find that, I'd be the envy of the entire antiquing community; especially Worthington Dubois, (he clenches his fists) my antiquing nemesis!"
Lawrence,"(To three songbirds) Look at that, my fine feathered friends! (He mounts his handiwork onto the tree trunk) Not a bad bit of work, even if I do say so myself. Just wait till you see the hidden surprise. (He pushes a red button on the front of the bird house, which bears the words 'home tweet home'. Its walls spring outward, revealing various miniature items including a fountain and a spiral staircase) Wha- nothing? Not even a sausage? No matter. (He pushes the button once again and the birdhouse folds back to its normal state) Wait until Linda and the kids see it. It'll blow their tiny minds. Well, not their tiny minds, that's not fair."
Lawrence,"(reading) ""Thank you for coming here today to hear my speech on the history of the ancient Ornithorhynchan tribe. (At this point, Candace's eyes begin to become heavy and she tries in vain to stay awake.) The Ornithorhynchans were a platypus-worshipping society known for painting themselves teal-blue and wearing elaborate platypus-themed costumes for their various dances and rituals."""
Lawrence,"Linda! I don't know what's come over me, but I'm starting to get the most wild and uninhibited ideas! You know how every day for the last twenty years I've relaxed with a nice cup of Earl Grey? Well, not today, Linda! Today, I'm putting out all the stops! Darjeeling!"
Lawrence,"Oh, this? It's an escape chamber from an old vaudeville show. In the old days, men would go into these things and pretend to be locked inside and then they'd ""escape"" to the amazement of the crowd. Here, let me show you. (goes inside the chamber) You see? All you need to do is just... (tries to escape) Ummm"
Lawrence,"Well, that's the question isn't it? Only one of these can be the true Dorcham and Westley. And no doubt a wrong choice will trigger a nasty booby trap. Boot scrapers were famously vengeful people. This could take every ounce of antiquing knowledge that I possess."
Lawrence,"You know, kids, this theater was built over 70 years ago in this Neo-Egyptian style. (He buys the tickets and they walk inside) And apparently, there used to be a whole pharaoh's tomb display with a mummy in a sarcophagus. I mean, you couldn't pick a better place to watch a classic, old mummy movie."
Lawrence,"Well, let's have a look then. Oh, oh, yes. I've seen this before. It's a commemorative coin from the nineteen hundred and three Danville World's Fair. Many steam-driven devices were introduced to the world back then. It must have been quite an event..."
Lawrence,"Oh, yes and I'm British, so you think I'm supposed to like bird watching. (Imitating a British accent) ""Oh, I'm British, so I'll in the conservatory with a cup of tea and a crumpet."" I'm saying that ironically but actually that sounds quite good. So I'm going to do that. Ta."
Lawrence,"(inspecting the hole) Whoa, this doesn't look too good at all. Kids, don't come up here! It's far too dangerous! Mum and I will fix the boat. Candace, why don't you look for some food? And, boys, you could find us some shelter if you like. We may be here for a while."
Lawrence,"This statue, which stands outside the Whiskershire Rectory, still holds the Earl's actual spring stick, yes. The spring stick is used as such: it's placed in front of you so as to spring the hidden mousetraps to avoid capture. Now some suggest—"
Lawrence,"OK, now let's see. ""Lead the way for the lovely lady with an elegant wave of your hand. ""For you and only you, insert your name here..."" Oh, thanks for the light. Hey! No, no, wait! No, no, help me put it out! Do something!"
Lawrence,"Well, your mother's jazz trio has a gig at the Mayor Day festivities, and I shall be running the antiques auction, oh yes! I'm very excited as we have a collection of steamrollers on the block, all imported from England."
Lawrence,"Well, I did. Yes, of course I did, although she doesn't really care about this stuff. Anyway, they're practically giving 'em away online! D'you know, it's even more exciting than the Oklahoma land rush of 1889!"
Lawrence,"Ooo, those crazy kooks! I'll just do an old-school drop knee-turn on the bottom, eh? Cut back up the face, through the sloop, do a nice little tail slide, and drop into the green room for a bit of tube time."
Lawrence,"Well, it's hard to explain actually, taking the flip pass from the winger, shoulder deking the defense men, and then, tossing it right over the old glove hand. Oh, it just takes hold of you like a fever!"
Lawrence,"Splendid! Then I'll set the scene: (Phineas and Ferb stand onto a circle spot which is an elevator. The elevator goes down) A chilly April morning, 1980. (As he speaks the elevator descends) Disco was on the way out and it had just begun to dawn on everybody they looked absolutely ridiculous in every photo taken of them in... (The elevator stops and dings, and it's door opens)"
Lawrence,"As was I until the other night, when my motorcar began behaving oddly. Suddenly, I-I saw a terrific flash of light. I-I was inexorably drawn to it and there was no escaping its irresistible magnetism"
Lawrence,"Right here, son. (straining) I did manage to find my first edition of Caveman Man, the world's first prehistoric comic book carved out of granite. Just having a little less luck finding my spanner."
