Name,Dialog
Perry,"(lip-syching from the book on CD) ""Upon an evil winter's heart, the heavy hand of regret infrequently alights. The malevolent path is one trod without the cumbersome shackles of sentimental introspec... spec... spec... spec... spec... spec... spec..."" (He whacks the CD player with the book) ""...tion."""
Candace/Perry,"All you have to do is look at me! (Doorbell rings) If that's Jeremy, tell him... I'm getting ready. I don't want him to see me like this. (doorbell rings again)"
Candace/Perry,"(reading from the flyer) ""Lost platypus. Looks like a girl""? Why did you use that picture? I don't want anyone to see me like that!"
Candace/Perry,"Oh, you think? You guys better change me back now or I'll... Wait... Jeremy's gonna be here soon!"
Candace/Perry,"(takes a pink mirror from a nearby box; screaming) I'm an ugly, smelly platypus!!! I'm a platypus! I'm a platypus! I'm a platypus! I'm a platypus!"
Candace/Perry,"Come on, guys! Are you almost done? Jeremy's gonna be here soon."
Candace/Perry,(walks off screen) Mom! Remember what we talked about? My fifth-grade graduation? (comes back to the couch)
Candace/Perry,"(Holding Perry/Candace, arms shaking) Yes, yes, yes, yes, yes. Hurry! Oh! He's a lot heavier now."
Candace/Perry,You wouldn't think it was so cool if you smelled like this.
Candace/Perry,"This is horrible! Mom is inside, ruining my love life!"
Candace/Perry,Aaaah! Now everyone will see that horrible picture!
Candace/Perry,"(locked out of the house in the backyard. She knocks on the door, and starts sweating out of nervousness) Am I sweating milk?! Being a platypus is so gross!"
Candace/Perry,"Mom, you won't believe what Phineas and Ferb did!"
Candace/Perry,Ugh! (walks off screen again) Just turn off the home movies!
Candace/Perry,Oh hee- hee- hee- hee I mean... (tries to imitate Perry's chatter)
Candace/Perry,Great. Change me back now!
Perry,"(After Candace leaves, he puts on his fedora again before angrily mocking Candace.) Wah, wah, wah-wah, wah! (He then heads to the stone-walk and enters into his lair.)"
Candace (in Perry's body),Am I sweating milk?
Perry,Zzzzzzzzzz...
Doof zombie (Perry),(chatters) Lots of me...
Perry,(yawns) Zzzzzzzzz...
Perry,(yawns) Zzzzzzzzz...
Perry,Phew!
Perry,(chatters triumphantly)
Perry,(chatters wearily)
Perry,(chatters angrily)
Perry,(chatters)
Perry,(chatters)
Perry,(nervous chatter)
Perry,(chatters happily as Candace scrubs him down)
Perry,(chatters)
Perry,(chatters)
Perry,(chatters)
Perry,(gasps)
Perry,(Chatters)
Perry,(sneezes)
Perry,(chatters)
Perry,(chatters)
Perry,(slaps himself and chatters)
Perry,(chatters in shock)
Giant Perry,(chatters)
Perry,(chatters and shivers)
Perry,(chatters angrily)
Perry,(chatters)
Perry,(chatters)
Perry,(chatters)
Perry-Bot,(chatters)
Perry,(chatters a long impassioned speech)
Perry,(chatters)
Perry,(Chatters angrily)
Perry,(chatters)
Perry,(chatters)
Perry,(Puts on fedora)
Perry,(Hops out through back of chair; Knocks over Freeze-inator ray)
Perry,"(Knocks chair over, Remote smashes; Seats unlock)"
Perry,"(Whips head, fedora flies and hits remote, breaking the remote and releasing trap)"
Perry/Candace,(smiles awkwardly and tips his/her fedora; The light turns green and he/she hurriedly speeds off.)
Perry,(chatters)
Perry,(chatters)
Perry,(chatters)
Perry,(Growls back defiantly)
Perry,(flies in and gets trapped in a chef's hat)
Perry,(chatters)
Perry,(chatters)
Perry,(chatters)
Perry,(Chatters and thumbs up)
Perry,(chatters angrily)
Perry,(Arms waving)
Perry,(chatters and struggles)
Perry,(gasps)
Perry-2,(Chatters angrily)
Perry,(chatters tiredly)
Perry,(chatters sadly)
Perry,(chatters and sighs)
Perry,(thumbs up and chatters approvingly)
Perry,(whistles)
Perry,(chatters)
