Name,Dialog
Vanessa,"(on another windowsill) Perry? What are you doing here? (Perry joins her) Problems with my dad, too? Welcome to the club. (sighs) I've been trying all day to tell him that I've been accepted by OWCA's internship program, but that I can't join if I'm living with OWCA's public enemy number one. (Perry holds up three fingers.) Okay. Number three. Well, I'm just gonna have to tell him and try to convince him to see things my way. Thanks for the chat, Perry. Wish me luck! (She goes inside and Perry waves at her.)"
Vanessa,"Perry? Is that you? Listen Perry, I'd really appreciate it if you didn't let my dad know that I'm here with the son of his sworn enemy. This is going pretty well and I wouldn't want him to spoil it. Can you help me? (Perry nods) Thanks Perry."
Vanessa,"Okay. (closes door) Something's weird here, because I know I only have one of those. Lemme call him and see what's up. Hmm. Voicemail. Odd. Dad, your weird clone-thingies are down here. Could you please just—"
Vanessa,"Ugh. I should've known Dad would be late. (the inator landed over her and picks her up) Oh, what is this? Curse you, unknown rocket-helmet-transportation thing! (the inator drops her at her house and flies back to D.E.I.) Oh, sweet, I'm home. Never mind, unknown rocket-helmet-transportation thing!"
Vanessa,"Wait, Dad. I can do this for you. I can go find this--this Pizzazzium thing and prove to you that I can be responsible. That I can do things on my own. Then you can get me my own car, right?"
Vanessa,"No, Dad. You're basically a nice guy who's pretending to be evil. And, you know, it seems like it's all out of obligation to your backstories, not something that truly comes from your heart."
Vanessa,"Oh, the basic. Pretty cool when I was at my mom's and okay when I was at my dad's. Did you know in July, he actually removed all the blue from all the paintings at the museum? All the blue!"
Vanessa,"Great. Now he wants me to pick up some evil blueprints for his latest evil contraption. And as soon as he's done building it, I'll have proof! I'll call you, and you can see for yourself."
Vanessa,"No, Mom. He's evil. You don't notice about him? He has evil schemes. Normal people don't have schemes of any kind. And then there's this secret agent that always bursts in, and--"
Vanessa,"Yeah, my dad's kind of an amateur inventor. I think I saw some books over here. (sees books cluttered with lasers on a table) Oh, here we go. Uh, we can just put his other stuff anywhere. What's the name of the book again?"
Vanessa,"(sighs) I don't usually like to get involved with this stuff, but if there's an inator, there's a self-destruct button. There's always a self-destruct button. That'll take care of it."
Vanessa,"I don't know, Ferb. I know he's my dad and I shouldn't blame him for being busy, it's just that...he always seems to put his work ahead of me. (She sighs) I just don't know what to do."
Vanessa,"(Is on her cell phone wearing Candace's clothes) I can't believe it, Lacie. I look like a walking candy cane. I mean, how many evil scientists' daughters do you know who-- (She bears drilling from outside.) Hold on, Lacie. I can't hear myself gripe."
Vanessa,"Wha- hey! Watch where you're... Oh great, now this thing is broken, and they've got the Pizzazziu... (sighs) Look, (to Ferb) thanks for your help, but I can do this on my own, okay? (runs away with Pizzazzium locator)"
Vanessa,"Yeah, maybe I don't really have to have the one object my dad spent years to find in order to show me his affection. (pause) No, actually I do. (at Sally) Give me that, kid!"
Vanessa,"Oh please, you come out here jumping around with your costume, and your lame book, and it's... it's just humiliating, Dad. I'm not a little girl anymore."
Vanessa-2,"Alright, hold it! Everybody just stop! (opening the animal agents like a door) Excuse me. (to Candace-2) Can I talk to my parents? Listen, Mom, Dad, come here. You guys, I'm only gonna say this once. (breathes) RUN!!!"
Vanessa,"C'mon, Candace, there's like a million other things we can do tonight besides busting your brothers. We can do anything! Well, anything but sleep."
Vanessa,"Dad! This entire trip has been about your work! That's it! If you don't want to spend time with me, then I don't want to spend time with you."
Vanessa,"And yet, in spite of all that, there's my dad free to do it all over again the next day. Whoa, really effective bunch of spies there, major."
Vanessa,"Dad, look, this OWCA internship is something I really wanna do. And I don't think this lifestyle choice is making you happy either. Is it?"
Vanessa,"(sighs) His name is Monty, Dad. Look, if we told you the truth, neither of you would have come. Let's try and be civilized and enjoy ourselves?"
Vanessa,"I know, I know, but all I want to do is have a good time with my friends, and you just keep popping up. It's like you don't trust me."
Vanessa,"Halfway, huh? Hmm. (Ferb looks and sees a flower shop as she's talking) You mean like, maybe I should take an interest in his work? I would but, it's actually evil. I just can't... (She looks to see Ferb is gone) Ferb?"
Vanessa,"Well, Ferb. You certainly know how to show a girl a good time! (holds up the Pizzazium) I've gotta get this to my dad immediately. (Ferb throws the Pizzazium into the tennis ball launcher, which fires) Whoa! (the Pizzazium bounces and rolls past Doofenshmirtz, in line at the checkout counter, to the entrance of the store; Doofenshmirtz gleefully picks it up) Well, that worked."
Vanessa,"(removing a shrimp from her hair) Yeah. Well, I suppose that could have gone worse. We like each other, right? It's not just that we enjoy messing with our dads?"
Vanessa,You put a self-destruct button in a death chamber? I'm so out of here. This is the worst Bring-Your-Daughter-To-Work-Day ever.
Vanessa,Thanks. It was good hanging with you. We should do it again sometime. Preferably without the threat of a zombie apocalypse.
Vanessa,You did what? I don't want them to see this! I'm a teenager. This... this is for a little girl. Don't you know me at all?
Vanessa,"Hmmm, I guess you're right. Maybe deeply depressed generational trauma could be fun? And I am curious about our culture."
Vanessa,"So I look up, and there he is in front of the whole school... (indistinct)... finally stepping on the other team's feet as he walks."
Vanessa,"Dad, I need a car. I can't keep riding on the back of your scooter every time I go someplace. It's totally embarrassing."
Vanessa,"(angrily) This is what I'm talking about. You're not even listening! (starts walking towards the door, without Doofenshmirtz noticing) I'm moving out, Dad. I'm going to live at Mom's... (walks out the door) full-time. (slams the door)"
