Name,Dialog,Category
Buford,"I'm gonna do some prop comedy for you, and you're gonna like it! Okay, what have we got? Here's a...here's a house. For, uh...I don't know. A mouse or something. Here's a book. Hey, what am I...what am I supposed to do? Read? Next! All right, let's see what else we've got! Um, and here's, uh, um... Oh! An oyster shell, look! My...my mom went to a seafood restaurant...I don't have any...it's just...to me, it's just interesting. I'll put that one back in the box. What else we got? Oh, here we go. Look! A nerd to go with the book!",Info dumping
Buford,"I got this. Back in the day where men wore miniskirts ...wiggle wiggle wiggle...wiggle wiggle wiggle... ...Alexander the Great was vacationing in Gordion, when he came upon a celebrated oxcart that was tied to a post using a knot that was so complicated, it was impossible to untie. So he just sliced it in half in one bold stroke. A simple solution to a complicated problem, hence the phrase, ""Cutting the Gordian Knot.""",Philosophy
Buford,"I do! You see, for generations and generations, the Van Stomm family has been the guardian of the secret knowledge and protectors of the mystery capsule. We made the thirteenth-century Templars look like a bunch of wusses. And throughout the ages, our family has pledged our lives to conceal it from the unenlightened. And in doing so, we were entrusted with the only key that can unlock the capsule secrets.",Info dumping
Buford,"Yeah, we met, in Paris. It was a year ago, and I was taking in some of the local color, when I saw her, Brigitte. She was a beautiful French girl, and I was an ugly American. Which of course holds a certain mystique. With her I completely forgot myself. I read poetry, I wept at beauty, I clipped my toenails. For Brigitte, I even learned to speak the language of love, French talk.",Relationships
Buford,"Nah, nah! Don't try and confuse me with your sorcerous ways. There's nothin' I've ever seen that would make me believe you could pull this off. Except for that time-machine thing, and oh, and the rollercoaster! But other than that, nothin'! Oh, and the time you played that song when the platypus came back, oh... Man, nature just bends to your will, doesn't it?",Time travel 
Buford,"""I tried fitting myself with a raccoon. I stumbled through the world, seeking connection, but found only fear and scorn. I was so confused, til I saw my own reflection. I was a monster. I tried fillin' myself with garbage. I tried everything to change my appearance. To fit in. Nothin' worked. Until I tried a human host.""",Philosophy
Buford,"After that, I became the bully. And I wasn't afraid of anything or anybody. Except, you know, maybe a giant squid, cause-- Come on, those are freaky, right? All suction cuppy and beaky. But then, today...Biff and I decided to go for a swim. After a while, I couldn't hear him anymore. I got worried.",?
Buford,"It was easy actually. A lot of the root words are the same in Latin. But I can't let anyone know I have a heart, it'll ruin my tough-guy image. And believe me, the irony is not lost on me in this suit. Aw man, don't you see, if I get all gushy now, I'll be totally exposed! I can't stand it!",Relationships
Buford,"I'm sure you're wondering why I, Buford, have taken a leadership role in such a geek-centered enterprise. Well, take a look around! This place is crawling with nerds! I'm like a kid in a candy store! Plus, I relate to the character of Odaf Underhump and his complex emotional inner journey.",?
Buford,"Yeah, I bet you! And if you lose, you're gonna have to stand up in front of everyone and say that you are governed by the laws of physics and summer's not whatever you want to make of it. And what's more, you gotta spend the rest of your summer doin' nothin'!",science 
Buford,"No, no, no! Ohh, I actually thought we were gonna make it! I thought we were gonna do the impossible. For one shining moment...summer was whatever I wanted to make of it! Wait...this is my house! Hold on one second! I'm givin' everybody back their bikes!!",?
Buford,"Well, excuse me, but that adjacent area was founded by my great-uncle Otto H. Adjacent! He didn't wanna be no part of no Tri-State unification, and neither do I! The blood of Otto H. Adjacent runs through these veins, and blood is thicker than water!",Relationships
Buford,"Well, I don't know how we got here, but my stomach is rumbling. Now don't wander off, Chowdina. I'm gonna call ya ""Chowdina"", cuz, y'know, ya got chowdah in ya. And plus, you look like a Chowdina. Anyway, I'm gonna go bully up somethin' to eat.",food
Buford,"I don't see what everyone's so worried about. I got this system, see? You act any way you want all year long, but then right before Christmas, you do one big selfless act of kindness and Santa will wipe your slate clean. Works like a charm.",?
Buford,"Oh, Brigitte, I've spent years building up my tough-guy street cred. I can bounce back from the fuzzy bear suit, but being in love with a beautiful, sweet, exotic girl like yourself… If people found out about that, my image would be fini",?
Buford,"Yeah, they weren't selling anyway. Not on my watch. Ah! The helium tank! Actually it's kinda ironic when you think about it. Not on my watch! Yes! The human shield tactic never fails. man, I knew I should have hung onto that laser.",?
Buford,"And you might wanna rethink that! I mean, it would be a shame if this double-Dutch chocolate mocha espresso you've been drinking, were to, say, I don't know, splishy-splash on all those pristine white lab coats you got back there.",?
Buford,"Yeah, and Helen could launch a thousand ships with her face! My favorite character was Achilles, the greatest Greek warrior of all time. He had this big fight with Hector. He was all, 'Wham! Bam! Stab! Stab! Stab!'",?
Buford,That was amazing! I never thought quilting could be so much fun! Think of the possibilities! Needlepoint! Embroidery! Tapestry! I'm headin' down to the fabric store right now! Broquet! Taffeta! Saddle stitch!,Info dumping
Buford,"Oh, and I made gourd helmets, by the way. Here. Here. No, wait, Baljeet, this is yours. Phineas. I like to think each individual's gourd helmet captures their unique essence in some way, you know, in gourd.",P and F
