Name,Dialog,Topic
Baljeet,"Okay, this paper towel represents the space-time continuum. Normally, it moves in a straight line, (he puts the paper towel on a hook) but something has disrupted the flow. Now time cannot move forward and it puts enormous strain on the fabric of time (tears the paper towel) and tears the fabric! So now there is a little less space-time fabric to work with. The days are getting shorter. Now, you take this shortened piece of space-time (puts the paper towel on the hook and tears it again) and loop it again. Do this enough times (crumples the paper towel and puts it in his pocket) and pretty soon you do not have anything left. What I cannot seem to figure out is what could have possibly caused the space-time disruption in the first place? And an even bigger conundrum is how Candace is standing outside of the space-time interruption and somehow knew about its effects.",Science / Inventions
Baljeet-2,"That's Dr. Baljeet to you. Were you not listening? Here is the crux of your problem. Think of the universe and all of the many dimensions as circular. The energy flows between the dimensions like this, clockwise. Say this is your dimension, and this is our dimension. You traveled with the flow of energy, so going clockwise would be easy. Going counterclockwise would take 8 million gigawatts of energy, overloading the local power grid. I have prepared a little song to help illustrate my point. (he plays an accordion)",Science / Inventions
Baljeet,"Right? Then I started thinking about how important it is to make the right decision on everything! You see, every choice carries with it its own potential timeline. So every decision I make effectively nullifies the possible future! I can not even choose which flavour of ice-cream to order. If I choose vanilla, that may set me on the path to the presidency. But if I have strawberry, I could get hit by a bus!",Science / Inventions
Baljeet,"Okay, everyone. Please return your seats to the upright position, and please do not panic. As you can see the Paper Pelican is dissolving in water, because it is, after all, made of paper mache. But do not worry, because your seat cushions also function as flotation devices. Thank you for flying with us.",Science / Inventions
Baljeet,"Stabby Barf Pain is the name of a theoretical fifth season that combines the best aspects of the other four seasons, winter, spring, summer, and fall into one! Flowers bloom as golden leaves fall from trees. Warm sun shines as beautiful snowflakes fill the air. A fifth season beyond all expectations!",Philosophy
Baljeet,"I signed up for a class called ""Summer Rocks,"" believing it was a geology course. It turned out to be a rock-and-roll camp, and no matter how hard I study, I just do not rock! I could actually get an e- (tries to say ""F"") an- Oh, I can't even say that terrible letter. Ineas! Erb! What am I going to do?",School
Baljeet,"(growls) That is it! I can put up with noogies, wedgies, wet willies, and even the fact that you apparently placed a tracking device on, or inside, my person, but I will not tolerate your ignorant decision to take plastic over paper! From this moment on, I am no longer your nerd!! (storms out)",Relationships
Baljeet,"NOOOOO! If time stops looping, there will be no big tears in the fabric of space-time and no way for us to get home. We must find a way to get ourselves and that machine through one of the rifts and back into Danville. Then we can push the button and blow up the machine.",Science / Inventions
Baljeet,"I have! You see, the greatest impediment to making astronomical observations, is our atmosphere. It is like looking through pea soup! So to make our terrestrial telescopes more effective, I am going to take all of the Earth's atmosphere, and put it on the moon! (shows poster that shows what he's saying)",Science / Inventions
Baljeet,"Hello, everyone. I was just cleaning my room and I thought I would return some of the things Ferb lent me. Your cowboy hat, your baseball mitt, your banjo CDs, your American flag unitard, oh, and here's your bald eagle. (Gives all the things in order and when Baljeet says bald eagle, it flies away) Oh, and Phineas, here is your sack.",Phineas and Ferb
Baljeet,"(Narrating) In 1903, my great-grandfather was leading a bicycle race, when he fell into a tiger pit. Years later, my grandfather skillfully avoided the tiger pit, but sadly not the tiger. Then, my father was confident he had outsmarted the tiger, but he was wrong.",Infodumping
Baljeet,"I was just giving Buford some pointers on collegiate life. Since I've already graduated and been accepted as a professor, I could pull some strings and get him into my school. (to Buford) Just think, Buford. You could be my student! I would be the boss of you!",School
Baljeet,"Excellent! And I have repurposed my portable particle accelerator science project (which took second place? Hello?!) to track Mrs. Flynn-Fletcher's essence. Even under optimal conditions, I calculated she can only hang together for another eight minutes and forty-seven seconds!",Science / Inventions
Baljeet,"I did. (Clears his throat) We Speckies vow to live in peace and harmony with you Finkies. All we ask is that you admit Space Adventure is much better than Stumbleberry Finkbat, and that you have brought eternal shame to your families forever believing otherwise.",Infodumping
Baljeetolas,"Listen, here is how it works. By observing the swamp, logic tells me that it is too big to go around. And by gathering information about it from Isabel, I can logically make assessments about the best way to get across. Are you following me?",Science / Inventions
Baljeet,"Well, that was very entertaining, but that is all I had time scheduled for. (notices how high they are) Oh, wait. You are already airborne. And I am already still with you. (begins to panic a little) I can not believe this! My schedule is totally blown! I am going to miss my polka recital!",School
Baljeet,"Well, first, I would like you to iron all of my books, then perhaps polish my retainer, then you can start my college applications. Massage my toosties. Sew my name onto my underwear, organize my book reports by subject. Ooh, build me—",School
Baljeet,"The diameter of the sun can be calculated from the distance between the Earth and the sun. Since we know the time taken by the Earth to go once around the sun, p=1 year, and the distance traveled by the Earth in this process, 2πa...",Science / Inventions
Baljeet-2,"(pauses) I know, it needs a chorus. Anyway, without the 8 million gigawatts, you would have to go clockwise, the long way around. Theoretically, you would get home, but there is no telling how many dimensions you would have to go through.",Science / Inventions
Baljeet,"Actually, I can think of many things that I can not do. Flying comes to mind. Also putting my foot behind my head, but it occurs to me that you're speaking hyperbolically. So point taken, Greg LeMond! I'm going to win this race!",Infodumping
Baljeet,"(outraged) I do not believe this! I wasted all this time in a class without grades?!? Aohhhhh! If only there were some other kind of outlet for me to express these feelings to my like-minded peer group! (comes to a realization. peeks at the stage than to Coltrane.) Pardon me! I want to try something! (Runs and stomps onto stage. Their song ""Gimme a Grade"" plays. As they continue with the song, the audience sway and move their heads along with the beat.)",School
Baljeet,"Huh? Oh, sorry. I am too preoccupied with today's wild fluctuations in the space-time continuum. With pressure readings like this, I could potentially get sucked into a rift. And then none of you would remember I ever existed!",Science / Inventions
Baljeet,"(over radio) Phineas! Good news, I have the device that turned your mom into the cloud and I am trying to reverse it! But the battery is not working so we are having to run an extension cord from your house. Can you get the Mom Cloud here?",Science / Inventions
