Name,Dialog
Linda,"Stop. Okay, your stories are always full of holes, but it's usually just one story. Here, let me demonstrate. I'll be the ""Candace"" and you will be the ""beautiful mother"". (Clears throat) (Imitating Candace) Mom, Phineas and Ferb have brought Genghis Khan back from the past and he's teaching the neighbors how to throw hatchets from horseback. (Normal voice) You see? One story."
Linda,"He does need the exercise. Well, I'm heading to the store to pick up some things for dinner. I'm thinking spaghetti and meatballs, or a spaghetti-meatball. That's spaghetti and meat mixed up into a big ball. It's less of a choice of food than a choice of shape. Don't forget to bring a doodie bag for Perry! (leaves)"
Linda,"Oh, Candace. All the times I called you delusional and mocked you to my friends behind your back, all those journals I've filled with an eye towards stand-up comedy...but you were telling the truth! (She hugs her.) I'm so sorry. You're the best daughter any mother could dream of having."
Linda,"Candace, I don't know what you kids are doing, but I'm taking an online knitting test in a few minutes, and I need it to be quiet around here. (sarcastic tone) You might not remember quiet. I'm not sure you two have ever met. Anyway I'm putting you on noise patrol. You're in charge."
Linda,"Hey hon, I was just reading this article about mothers and daughters, and really listening to your teen. And I realized I've hardly seen you all summer, so for the whole day today, it's you and me. Whatever you want to do, I'm all yours. Anything at all."
Linda,"Oh, I get it, a submarine sandwich submarine sand sculpture! You've got such special skills, sweetie! You've really outdone yourself! I'm so proud of you, and I ran into a sandcastle college recruiter who thinks he can get you a scholarship."
Linda,"Candace, I'm on my way to...You know, this feels awfully familiar: I tell you I'm going out, later you'll tell me Phineas and Ferb are up to something, but there's nothing there to see, so we all have pie. Just another ordinary day."
Linda,"Good for you. I would've been home sooner, but it took me an hour to drive around the road construction in the neighborhood. It sure would be helpful if they could just make the days a little longer. (chuckles) Who do I call about that?"
Linda,"Don't be silly, Candace. She's just a little girl. How much trouble could she be? (sees Phineas and Ferb under an out of control sprinkler) I see you've discovered the broken sprinkler. Yeah, I'd better get to the hardware store! It's beginning to look like Niagara Falls out here."
Linda,"Well, it'll have to wait. Traffic lights are out all over the city. Of course you know I'd like nothing better than to give up my special time with your father, to run home and not see what they may, or may not have done."
Linda (cont'd.),"It makes me want to run right out and buy some tools. (Candace slowly turns her head to see the billboard has changed; her jaw drops wide in shock.) Now, if you'll excuse me, I had better get back to the attic before your father blows up another pair of... (inflatable legs burst off-screen) Oops, too late. (walks away) I'm coming, dear! And I have the patch kit."
Linda,"I see your point, Candace. No crazy person would scream at a post like that. I'll be in the dairy section if you want to come yell at some cheese. (leaves, but comes back) Would you like that, honey? Would you like to yell at some cheese?"
Linda,I just wanna capture these memories because you guys are growing up so fast. (Her eyes well up with tears.) No! No time for waterworks. These pictures always make me cry. I've gotta finish up so I can spend the rest of the day with you kids.
Linda,"I have this weird desire to go outside. (Candace gets more nervous) Normally, around this time of day, you're pulling me to go out in the yard and I kind of have a hankering to do it! It's like a Pavlovian ""go outside"" response. Let's go!"
Linda,"(opens the door) Your father wants me to listen to one of his ""soundscapes"", so I figured I'd strap on the headphones and finally get those flowers planted in the backyard. Do you think you can entertain yourself up here alone?"
