Name,Dialog
Major Monogram,"Ah, Agent P. We just discovered Doofenshmirtz has been stealing bottles from recycling bins, and nothing good can come from that. (Photo of Doofenshmirtz digging through trash cans appears on the monitor) Unless, of course, he's recycling, in which case nothing but good can come from that. Unless, he's recycling it into some hideous weapon, which is something once again no good could come from. Except, of course, for the recycling part, which I guess is still at its essence, good. Even if you're making something evil, it's still reducing the... You know, you know, perhaps we shouldn't even put these good and evil labels on things. Let's just say Doofenshmirtz is doing something neutral. So, just get out there and make sure it stays like that. (Agent P disappears)"
Major Monogram,"Ooh, ooh, oh, get it off! G-Get it off! Ooh! Sorry Agent P, I just walked through a spiderweb. Don't you just hate that? Ya spend the rest of the day worried there's a spider on ya. (shudders) Gives me the willies. Anywho, our sources tell us that there's a cowboy hat in front of Doof's building. Normally, that wouldn't be of any interest to us, because this is the week of the Danville Hootenanny, but it is a rather large hat and, in spite of its name, the Danville Hootenanny is a dignified affair. I wish I had more information, but Carl said there was a big bee by the surveillance equipment. So get out there, Agent P! Ooh! Carl, is-is there a spider on my head? (turns around revealing a huge tarantula on his back)"
Major Monogram,"Don't get cocky, Carl! Agent P, as you know, every operative is equipped with an auto-scan replication device, just like the one in your hat. We've been using the information you've gathered to replicate each and every one of Dr. Doofenshmirtz's inators. Our top men have been analyzing them to determine if they've been getting smarter or dumber. And, to be honest, the jury's still out. Now we find out that he's in the process of building an alternate dimension-related inator. Your assignment is to stop him, before he finishes building it. Behind you, rising dramatically from the floor, is Carl with some high-tech gadgets that you might find useful."
Major Monogram,"(Through Perry's wristwatch communicator) Monogram to Agent P. Already airborne, I see. I like that! Doofenshmirtz has recently purchased an inordinate number of chairs. Hundreds of them! Far more than necessary for a person with no friends, and only one tushie. Well actually I'm, I'm just sort of assuming about the tushie. But I'm pretty confident in the ""no friends"" thing. You'd think it would be the other way around, with the way he's always playing with forbidden science, you can never really be... Okay this is coming out kinda weird, huh? Look, you're going over there anyway, just, just take a look, okay? Monogram out."
Major Monogram,"Now this train runs along the border between the United States and Canada, so you only have jurisdiction on the American side of the train. To help you out on the Canadian side of the train You'll be teaming up with an Agent from C.O.W.C.A. the Canadian Organization Without a Cool Acronym, Agent Lyla. (A picture of the woman from Perry's previous mission is shown) You may remember her from that special assignment for our Seattle Bureau we sent you on a couple of months ago. I know that didn't go too well but I expect you to be professional, and put that all behind you. So get out there and good luck. (Perry leaves in his hover jet) Carl. Can I- Can I have those antlers back?"
Major Monogram,"Good morning, Agent P, and thank you for your help, Agent E. Sorry if we alarmed you, Agent P, we're remodeling our regular base here. Actually, my wife's doing it Mexican-country style. Distressed wood, wrought iron. It should all be very- (Agent E feeds worms to the Monogram Egg) Woah! Hey, woah! Hey, Agent E, back off! Anyway, Agent E spotted Dr. Doofenshmirtz on Spleen Island. He's moving boxes and equipment into what's known as the haunted cave of the old sea hag. Honestly, I'm not making this stuff up. But anyway, we believe he's creating a new hideout there, and we want you to foil his plans. Good luck, Agent P."
Major Monogram,"Morning Agent P, we have a situation, the royal Princess Baldegunde of Drusselstein is in town. She's here to give the ""Drusselsteinian Favorite Son"" Award to Mayor Roger Doofenshmirtz during the unveiling of the new Danville Opera House. We assume Dr. Doofenshmirtz will do something to disrupt the ceremony. He's been buying up all the claw machines in the Tri-State Area. We don't know exactly what his plan is, but do the math: Princess, Opera house, claw machine, stuffed animal. You put that together and you get a...Claw-Princess-Animal, uh, Stuffed-Claw-House--"
Major Monogram,"Hello Agent P, sorry about the trees they were leftovers from Christmas and we didn't have anywhere else to store 'em. Oh, and uh, also the air-conditioning system is on the fritz, so pardon all the frost. All over the Tri-State Area, keys are disappearing. Businesses can't open, the freeways have ground to a halt, citizens are locked out of their homes, and I, for one, would really like to get into the executive washroom. It's got a waterfall, you know you wave your hand and the water just sort of-... well it's...it's really cool. Stop Doofenshmirtz! Quickly!"
Major Monogram,"Hello there Agent P. Your assignment concerns tonight's big block party. We've intercepted intel that Doof is planning on attending tonight's festivities ""just for the fun of it"". We need you to attend the block party and confirm that he's not up to no good. (pause) I realize that's a double negative but I think it still works. Not up to no good... yeah, i-it works. Unfortunately since your surveillance will take place in close proximity to your hosts, you will need to be in disguise for the duration of your mission. Carl, activate the hydraulic costume chamber."
Major Monogram,"Good morning, Agent P. Dr. Doofenshmirtz is on the move. We tracked him to these coordinates when we suddenly lost his signal. We have two scenarios to explain his disappearance. First, that magical elves have caused Dr. Doofenshmirtz to vanish to the land of angry corn people. The second, is that he may be on his secret, hideout-shaped island with the initial ""D"" carved into it that satellites found in the exact, spot, where he... vanished... uh, you know what? Uh, forget the magical elves thing. Way off base with that. Anyway, on your way, Agent P."
