Name,Dialog
Doofenshmirtz,"Hey it looks a lot bigger on the inside than it looks on the outside. Here, have some cozy gumdrop slippers. Hehehe. Now where was I? Oh yeah. I think I know why I'm having a hard time taking over the Tri-State Area It's because of dinner parties. That's right. Follow me, it-it goes somewhere. You see my brother Roger is a success, because of his amazing dinner parties, where he dazzles important guests, with his magnetic charm. But what if he were unable to charm anyone, because his fabulous dinner parties were over, before they began!? That's why I created this: the Bring-out-the-Dessert-inator! You see everyone knows that once the dessert comes out, the party's over. That's what...That's what's called a social cue. This rocket will go into a Rogercentric orbit around his house. At the wrong moment it will shoot a blast which will make Roger bring out the dessert. Ending his dinner party before it can begin. He'll lose his charming edge, and people will lose interest, in him. Bing-Bang-Boom. They'll stop voting for him, and that's when I'll slink in and takeo—You know, I-I know I'm grasping at straws here, ugh. I'll probably end up grasping at bendy-straws, and fall on my face, requiring months of rehab to learn how to monologue, all over again and then it's off to empowerment camp, where I'll have to fall backwards and hope that someone—Who wants dessert? I made this lovely tiramisu. Heeey... It works! Oh you think you're very funny Perry the Platypus, blasting me with my own Bring-out-the-Dessert-inator. Oh-ho-ho. I hope you left some room! I made a yummy double layered pumpkin cheesecake it has creamy—Oh! You got me again. Well you made me bring it to you, so you're going to eat it. Ow! Haha. Now it's your turn to bring out the--"
Doofenshmirtz,"Aw, Perry the Platypus, are you feeling tired? Take a rest! I figured you'd be exhausted after breaking down all those doors. I even put a-a mint on your pillow, and everything, though, I guess it's probably just stuck to the back of your head now heh. Sorry about that. So, let's talk about pretzels. You see Perry the Platypus, when I was younger, I did a summer internship at Master Drakkenblad's Pretzel Palace, He was the biggest pretzel wizard in Drusselstein. His disproportionately delicate hands, could turn any dough into a masterpiece. But even after months, my pretzel still lacked, polish. No matter how hard I tried, my work was never good enough. I-I don't know why he was such a stickler, I mean it's a knot. What difference does it make as long as you can't untie it? It's a knot! Anyway, I was declared unworthy. So now I despise pretzels. And any pretzel related entertainment. And now Danville is having its own Pretzel Festival! Can you even imagine how angry that makes me? Can you imagine? No? Angry enough to create the De-Twist-inator! Hahaha! We'll see how festive they feel after I turn all those stupid pretzels into boring straight tubes of baked dough, like-like breadsticks, which I also have a problem with, but I'm dealing with one neurosis at a time. And then, when I've straightened all their precious pretzels, I will waltz in, and take over the Tri-State Area. Y-Y-Yeah, I know it-it doesn't quite follow. I mean I even made a venn diagram. See, the-the pretzels are here in this circle, and we're talking about taking over the Tri-State Area here, and... Yeah, no intersection, nothing. Hmm. But I'm gonna work it out you'll see."
Doofenshmirtz,"Oh, it's you, Perry the Platypus. Wha- Oh, for me? Oh, that's a nice gesture, thanks. A-and you even used the doorbell instead of just crashing through, like you usually do. Alright, really appreciate this, Perry the Platypus, 'cause you know, money's a little tight lately, I can't even rub two nickels together. Although if I had two nickels, I don't think I would sit and rub them together. It's- Oh, oh yeah, you're-you're trapped, Perry the Platypus, it's quick hardening, non-dairy creamer. Like I said, I'm on a budget. I know what you're thinking, Perry the Platypus, how could this happen to such a with-it guy like Heinz Doofenshmirtz? Well, my ex-wife Charlene is out of the country on one of those...Extreme Eco-cultural Exploration Vacations. I -- I don't know what they do on those trips, but I imagine it's very expensive. Ugh, she's got some nerve! That's -- that's my alimony she's throwing away! And the worst is, she keeps texting me these pics! Oh, come on, really?! Anyway, the problem is I've already spent this month's alimony on my new -inator and -- and now I don't have enough money left to send Vanessa to the Grievance movie marathon she wants to see, and they're playing all the Grievance movies in order. They've got The Grievance, they've got Grievance 2: The Gripe, Grievance 3: Bone To Pick, and Grievance 4: The Revenge of the Italian Jug Band. You know, I don't think that last one is canon. Oh, what kind of father am I? Oh, oh, the shame is overwhelming, I can't even enjoy using my new Teleport-inator! Nah, nah, I'm just not in the mood. Maybe tomorrow."
Doofenshmirtz,"Just a minute, I'm mopping. Oh, hello, Perry the Platypus, long time, no see. Say, that was some morning we had, huh? Too bad about Major Monogram, but the show must go on or a bird in the bush, eh-eh, I dunno. Ha! You like that? It's a gift...foam-a me to you! Get it? As much as I like our little visits, you didn't need to come over. Actually, I'm not even trying to take over the Tri-State Area today. Y-You see, I have a problem. I am very fair-skinned. I don't know if you've noticed. I always have to use SPF 120 sunscreen even on a cloudy day or I'll burn. I mean, I-I'll actually burst into flames. And I got this whole crate on sale, and, and look, it's all 110 SPF! I thought I was getting 120! This is not gonna work. So rather than return this whole mess, which means I'd have to get in a car, drive down there, wait in line, then answer a bunch of questions about the delicacy of my epidermis, I'm just gonna move the Earth away from the sun just enough that the 110 will work. Simple. And to that end, I have created, tada!, my Shift-The-Earth's-Position-Further-Away-From-The-Sun-inator! Eh? I-I know. The-The name's a little cumbersome, but it's basically a tractor beam that uses the mass of Jupiter as an anchor to pull the Earth just slightly away from the sun to render my sunscreen effective. Eh. I guess my fortune cookie was right. I do tend to overcomplicate things. I wonder if that means these lottery numbers are--"
Dr. Doofenshmirtz,"...then the Ambassador's wife filed a complaint... Long story short, I am never welcome in Albania ever again. But the point is, I ended up alone in Italy, and it was lunch time, so I went to the Leaning Tower of Pizza, and you know what? They don't even make pizza there! I said, ""What do they mean?"" It's-It's the Leaning Tower of Pizza! It's got "" pizza"" actually in the name! But they were adamant. ""No pizza for me!"" L-L-Like I'm the idiot. And I was like, ""You're not so great. You're not so special. What? Just-Just 'cause you're leaning?"" Then it hit me. I'll just lean my own building, and then it will become a big tourist attraction, and I'll sell all this merchandise, I'll make millions. Which I will then use to finance phase two of my maniacal plan: Tilting every building in the world! And the Leaning Tower of Pizza will no long be special. Ooh, ooh, and then I'll straighten my own building, and it will still be a tourist attraction, 'cause you know, it'll be the only straight building. I just now thought of that. Just now. See that's how genius happens. It's a lot of leaning and straightening, you get the idea. I'm going to use this Tilt-inator, and do it all from space! There! There it was again! You—you heard that? My next to last echo is broken. I'm going to have to have that checked."
Doofenshmirtz,"Perry the Platypus? No way! What a coincidence! Excuse me, if you and your mullet would just take one step to the... Thank you. Oh, look! You brought your little dog, too! How cute! Oh, FYI, I don't think they allow dogs in here. So, y'know, watch out for that. Anyway, I bet you're wondering why I'm in City Hall, right? Well, I plan to go down into the secret City Hall vault and steal the— Oh, you-you knew that, right. Right, right, of course. 'Cause that's probably why you're here. To stop me, right? What you probably don't know is how I will get into the vault without being noticed. Behold! My Blend-Into-The-Background-inator. I will be able to search the vault and steal the hidden deed, because, like they say, it's easier to find a hidden object when you're hidden as well. What? Th-Th-That's a thing. They say that. Anyway, I place the inator on my head, like so, I press this button and, I-I'm here and now I'm blended in I'm here, I'm gone! I'm here, I'm go— Oh, my head! I-I-I hope there's no long-term damage from this, but—ugh! Anyway, I bet you think I forgot to trap you. Well, surprise! You're already trapped... by bureaucracy! You see, you don't have a number, Perry the Platypus, so by the time you and your little dog get into the archives, I will already be ruler of the Tri-State Area!!"
Doofenshmirtz,"I got them very cheap from a wax museum that went bankrupt. Ha ha! Ha ha ha! I love it when dreams fail. As you know, I've been trying to take over the Tri-State Area for quite some time now, and I realized this Tri-State area's filled with things I detest, so many things, like— like blinking traffic arrows. Stop blinking at me, telling me where to go. Point. Point. Point. Ooh, I hate you. Let's see—what else? Ear hair. Oh, yes, I've always hated you. Pelicans. Terrible creatures. What—what are you, a bird or a garbage disposal? Ugh, musical instruments that start with the letter ""B"". You get the idea. It's a long list. I've been working on it for a while. Anyway, I realized I should build something that would make all those awful things disappear. Behold, Perry the Platypus — Shrink-spheria! You like it? I was going to call it a Shrinkinator, but I've done that whole ""inator"" thing before. It's just been done to death. Bring him over here! I want to show him how it works. I enter the name of something I hate. P-e-l-i-c-a-n. Pelican. And Shrink-spheria homes in on its molecular structure and then turns all the particles into sparticles, thereby shrinking it into a teeny, tiny speck so small I never have to see it again. So good-bye to you, Perry the Platypus. Enjoy your presidential suite!"
Doofenshmirtz,"Gotcha. And you don't even know it yet. That's the beauty part. Watch this prolonged unnecessary series of events. W-w-w-watch this. Here it goes, here it goes. Yeah, yeah, yeah… Yes! Ha! I win! I know it's a little over the top, but I was inspired by this board game I loved when I was a kid. Well actually, it was Roger's board game. But I would sneak a peek of it, through the keyhole of his door. You know it looked like I would love it. But, I borderline backstory. You see, I have so much evil energy from the soy venti latte extra-caf-and-a-half quadruple sugar, blood pressure bomberino. Love it! So I spent the whole morning building this complex, giant version of the game. Really I'm surprised you didn't see it flying in. Okay, beholding time! Behold my Luff-Flex-Dill-Pickle-inator! What does it do, you ask? Well it will launch all of my enemies into orbit, and keep them floating there so far into the atmosphere, that they won't bother me anymore. Cool, huh? Yeah I know the name's a little weird, but hey, I bought it off the internet, and my rights to it expire tomorrow, so I was kinda forced to use it today. I have so much energy from just that one cup of coffee, I just keep rambling and rambling-- Ooh. you know that trap was always the lamest part of the game. I always though--"
Doofenshmirtz,"Oh for crying out loud! Fine. Alright, what was that? 15 bucks? Okay, here's 10, 11, I got more in here. Hold on. 1, 2, 3, 4, there! $15! And don't forget your tip! Pretty good, huh? So, Perry the Platypus... I bet you're wondering why I'm sitting down here at the bottom of a lake. Well, the answer is simple. Mmm-mmm! This is really good, man. You want some? Here, here. Take the blue cheese. Do you mind, I-- I prefer the ranch. Take the blue cheese. Here's a napkin. Anyway, the answer to why I'm here is simple. Zinc. Lake Nose has a ton of zinc in it, and this machine goes around and filters all the zinc from the water. See, see? Zinc! So I figured I'd go around collecting all the zinc, and then use that zinc in some evil way to rule the world! You know, with zinc. Just think of all the evil uses there are for zinc! I mean, seriously, can you think of some? Cause I-I got nothing. I mean, look over here at all the good uses for zinc. Huh? All this good stuff, and over here? Nothing. All I got is ""Some evil ""Zinc Ray-Inator"" or something, and, and, and look here! I-I wrote ""Big laundry"". I-- I don't even remember what the reason was, so I guess I assumed I'd remember like it was some big genius Idea. Big laundry. Big laundry. I, it—It's crazy! I'm a crazy person."
Doofenshmirtz,"Ah, Perry the Platypus, won't you join me for a picnic? Ah! Ah! Ow, my duodenum. Oh, oh, did you see your face?! You were like, ""Oh, maybe I shouldn't,"" but then, ""Well, I am hungry"" and then BOOM! down you went! Ha-ha! And are you hungry, Perry the Platypus? Well, too bad, it's not for you. It's for them. Behold! My Feed-the-Pigeons-inator! Okay, Snobby the Snobapus, I know it doesn't sound like much, but it is technically evil. I'm breaking the law. See? There? There. ""Do not feed the pigeons"". And I am going to feed the pigeons, therefore I am breaking the law. ""Do not feed the pigeons"". It's a-it's a metal sign with......big red letters on it and that-that makes it.......legally binding. Okay, here's the truth: I've got evil scientist's block, alright? Seriously, I got—I got nothing. I—I was going to make a Good-Idea-inator, but I thought it would be counterproductive because it already had ""good"" in the title. So then I invented a Bad-Idea-inator, which...just...gave me this. And see where that got me. Ah, I'm telling ya, I'm dry, Perry the Platypus. Dry! And the summer just keeps going on and on and it feels like it's been goin' on for, like, four years! I'm asking you man to monotreme, can you help me? See? Even my trap design has become...lackluster."
