Name,Dialog
Candace,"No, Stacy, I have the whole place to myself. Mom and Dad are at the movies, and the boys are playing ping pong over at Buford's. Oh, so listen to this weird book I've been readin'. ""If one repeats this incantation in the presence of a doll, then alive it shall be!"" Ha ha! But check this out: ""The light of a full moon will make it evil."" Oh, I'm so totally doing it! Oh, relax, Stacy, it's funny! Ukka-samma-hi, oona-mooda-salla. I will you alive, Ducky Momo! ""Candace, this is Ducky Momo! You must buy more of my memorabilia, like my 50th anniversary collector's item bobblehead!"" But, y'know, I'm really concerned about its resale value. Aaah! Help! Help! Ha ha ha! Sorry, okay, just havin' a little fun! So, what's up? Y'know I just use this new exfoliating and moisturizing scrub in the bath, which is totally confusing because why exfoliate off all the cells you just moisturized?...Weird. Hold on, Stacy. I thought I heard a sound coming from under the bed. Cheese and crackers! And we don't even have a cat. How did you get underneath there? Oh, it's nothing. Ducky Momo must've fallen under my bed. Now stay put. Okay, so let me tell you about my day with Jeremy. So he picks me up and the same song I've been playing in my room was the same song he was playing in his car! The same song! I mean, what are the chances of that? And then he says, ""You wanna get grilled cheeses at that place?"" And I was just thinkin' I wanted grilled cheese so he gets one!"
Candace,"Is someone there? Stacy, I know you're gonna think this is crazy, but I honestly think something is in the room with me. Have you ever been in a situation where your whole body, like, senses a presence? Like, you can't see it, but it's, like...it's, like, right next to...you? Upstairs! The only logical escape! Stacy, you gotta help me! The spell from that weird book worked! Ducky Momo is alive and he's trying to get me!! No, he's downstairs. He—Would you stop laughing? Yes, you are! I can hear the milk shooting out of your nose! My phone! Back! Stay back! Ah! Stay away from me! You stay away! I'm serious! Uh! Oh, come on! No! He's unstoppable! Come on! Open! Open! Open! Oh, yeah. It's an innie. Keep it together, Candace, think! Think think think! Block the door! Block the door! I didn't really mean to wish you to life! I was just goofing around! I don't understand! What do you want?! Huh? It almost looks like you want a...a hug. Seriously? You just want a hug? Well, okay. But I don't get it. If the incantation made you alive, then the moonlight should've made you evil. What? What? Oh, the moon was behind the clouds, so you're not evil. But now Mr. Miggins is!! AAAAAAAAAHHH!!!"
Candace,"Well, I'm watching you. And I'm in charge, conditionally! Hello? Oh, hi, Stacy! No, I can't go to the mall right now. Mom just went to the store, she left me in charge, well, you know, conditionally. Oh if you go, can you see if Jeremy is there? No, no, he's the cute one that works at Mr. Slushy Burger. Yeah, he totally smiled at me last time I was there. I just about died. No, I told you I can't. I'm watching my brother and stepbrother. Yeah, and they never get into trouble ‘cause Mom never catches them. One of these days though, I'm going to see to it that she catches them red-handed. Will you hold it down?! I am trying to use the phone! Mom left me in charge, so there will be no shenanigans today. What are they doing right now? Why do you ask? What do you mean you can see it from your house? See what?! Phineas, what is this?!"
Candace,"Listen up, team, I'll be at the front of the house tracking Mom on my GPS device. Jenny, you'll guard the gate. See to it that Phineas and Ferb stay in the hot zone. Stacy, you make sure whatever they built stays there 'til Mom comes home. To achieve that goal, we use the following busting jargon: When Mom comes home, the cue is ""The condor is in the nest."" When the boys are in prime busting position, it's ""The peas are in the pod."" And if what they've built somehow disappears, I want you to scream, ""The banana has split!"" Got it? Good. Now, in the event that any of us should be captured— That's the Mom Signal! Ladies, it's go time! So move it, move it, move it!"
Candace,"Well, If they really are doing nothing, I guess I've got some time to go about my personal business. Let's see... What do I usually do? I know! I'll call Stacy and tell her how I'm busting Phineas and Ferb for—Oh yeah, can't do that 'cause they're not doing anything. Wait a minute! I know! I'll put this camera in just the right spot so when Phineas and Ferb are—Ugh! And then when Phineas and Ferb walk by I'll—Ugh! Well, if there's one thing I know, I'm gonna look sooo good when I bust them for—Agh! Face it! You can't do anything unless you're trying to bust them for doing something. And if they're doing nothing, then... ""Who is Candace?"""
Candace,"Okay, I was having a rotten day. One crummy thing after another kept happening and when he told me that this thing can make the day start over again, I just couldn't help myself. And then the days just kept looping and I know I should've said something sooner, but I kept coming so close to busting you guys! And I swear I had no idea it would do any of this. I thought I'd get one do-over and that would be that, but then I saw it was creating problems and making things disappear and making people forget, but by the time I tried to stop it, it was too late, and I lost you guys! And I don't know how to fix it!"
Candace,"Oooooh, what are those two up to now? Okay, Phineas and Ferb are standing in the yard with two nerds, Isabella, and the Eiffel Tower. That's nothing but trouble! Wait a sec... Those aren't my brothers. What?! Is that Buford and Baljeet?! Oh, I am so calling Mom! Hold on. If those aren't my brothers, why am I calling my mom? Why not call Buford and Baljeet's moms? That satisfies the Mom response, and the bust urge! I'll call that dork Irving's mom, too. And what the heck? Why leave my mom out of the party? Information, please."
Candace,"Me? I'm just makin' a snack. Oh I just thought I'd have, you know, somethin' healthy. What? Oh, okay, you caught me. Donuts and cheesy popcorn. Yeah, Jeremy was so great, he took us out for mani-pedis. Is someone there? Oh, the storm just blew the door open. Yeah, I know. Creepy. Anyway, since Jeremy's mom is a regular at the mani-pedi place, we got special treatment. Yeah, they served us sparkling apple juice and finger sandwiches and made fun of us in Thai. It was all so classy. What can I say? I love a well-groomed foot."
Candace,"I'm ready for this trip to be over. I'm tired of being in mobile lock-down, where I can't even call my friends because of spotty cell service! That, combined with the refrigerator door opening every time we make a left and sharing a bathroom the size of a postage stamp. The only consolation for this whole rigmarole, besides the fact we didn't stop at one of those greasy spoon road stop diners, is the fact that you two haven't done anything bustable for a whole week! Seven solid days. Are you even listening to me?"
Candace,"Gee, Jeremy. I forgot you're a whole year older than me. A trip to college? Heh-heh.. That's, that's really great. Okay, well, I'll talk to you later. Bye. Oh, Jeremy! In the blink of an eye, you'll be moving on to the next phase of your life. You'll be going to college and wearing tweed jackets with patches on the elbows! You'll be so mature! And look at me! I'm a child! Jeremy, you'll see! I can mature! Starting with taking this silly photo off. Oh, Mr. Miggins! Have you been there the whole time?"
Candace,"Hey there, little fella. You're not such a tough guy, are you, Mr. Spider? Aw, no you're not. No, not a bit. Ah, who ya kidding, Flynn? To face your fear, you gotta at least look. Ahh! Creepy crawly, creepy crawly, creepy crawly! Get off me, get off me, get off me, get off me! Ew, ew! I'm sorry, 5-year-old me. I tried. I really tried. Snap out of it, current me! Summer's not over yet. Hey, wait a minute, summer's over? Who did th- oh... Phineas and Ferb. Phineas and Ferb, what did you do to summer?!"
Candace,"Aw, I don't know, sweetie. I was being silly before and overreacted. Sometimes we see things that aren't really there, but don't worry. I promise I'll protect you if...I...see... **THE LAKE NOSE MONSTER!!!** Quick, kid, run as fast as your little legs can carry you! Follow the train tracks north! You should hit Ackerton by sundown! Blend in! It's a college town! Get a retail job and save up enough for a bus ticket to the Canadian border! Someone will get in touch with you when the coast is clear!"
Candace,"""Thanks for the old baby picture."" Ooh, wait! I need something with today's date on it. I could take a picture of them with one of those old-fashioned things. It's like a-a web page... printed on paper... A newspaper! Ha-ha! Okay, stop and hold the paper. Ferb, sweetie? Okay, just stand here and... No! No, don't run away! Wait! Hold it! No, no, no, no. Get back here. How about if we just sit? Then hold the paper. We don't... We... No, don't throw it. Wait! Okay, just hold this. Stay."
Candace,"I'm not here for ""Hi's"". Today is a pivotal moment in my life. You see, Jeremy's band is gonna play at the festival. Jeremy's gonna see me in the crowd. Not just because I have front row seats, but because I'm gonna be cheering harder that anyone else. Like this: ""WOO! YEAH! WOO! BABY! OH YEAH, SING IT!"" Then we're gonna date through high school and college, marry and have two kids: Xavier and Amanda. So don't you dare ruin it with one of your little project thingies!"
Candace-2,"War journal entry number... Uh, I mean, Dear Diary, It's been two months since the fall of Doofenshmirtz, but every morning I think I'm gonna wake up back in the underground. I feel restless. I need a challenge. I need a mission. I can feel myself getting softer. Doofenshmirtz is in jail and everyone is trying to embrace their new freedom. I alone know better. I can feel evil still out there, getting stronger while I sit in my room, waiting for the other shoe to drop."
Candace,"Wait a second! I just realized something! You both make money off of people's natural insecurities. You show people oddballs so that they'll feel better about themselves, and you make beauty totally unattainable so they'll feel worse about themselves! Look at me! I'm fifty feet tall now and it's still out of reach! Well, I've had it! Making beauty the focus of my life has distracted me from the real focus of my life: Busting my brothers. Giant Candace is out, PEACE!"
