Name,Dialog
Linda,"Stop. Okay, your stories are always full of holes, but it's usually just one story. Here, let me demonstrate. I'll be the ""Candace"" and you will be the ""beautiful mother"". Mom, Phineas and Ferb have brought Genghis Khan back from the past and he's teaching the neighbors how to throw hatchets from horseback. You see? One story."
Linda,"He does need the exercise. Well, I'm heading to the store to pick up some things for dinner. I'm thinking spaghetti and meatballs, or a spaghetti-meatball. That's spaghetti and meat mixed up into a big ball. It's less of a choice of food than a choice of shape. Don't forget to bring a doodie bag for Perry!"
Linda,"Oh, Candace. All the times I called you delusional and mocked you to my friends behind your back, all those journals I've filled with an eye towards stand-up comedy...but you were telling the truth! I'm so sorry. You're the best daughter any mother could dream of having."
Linda,"Oh, Candace. All the times I called you delusional and mocked you to my friends behind your back, all those journals I've filled with an eye towards stand-up comedy...but you were telling the truth! I'm so sorry. You're the best daughter any mother could dream of having."
Linda,"Candace, I don't know what you kids are doing, but I'm taking an online knitting test in a few minutes, and I need it to be quiet around here. You might not remember quiet. I'm not sure you two have ever met. Anyway I'm putting you on noise patrol. You're in charge."
Linda,"Hey hon, I was just reading this article about mothers and daughters, and really listening to your teen. And I realized I've hardly seen you all summer, so for the whole day today, it's you and me. Whatever you want to do, I'm all yours. Anything at all."
Linda,"Oh, I get it, a submarine sandwich submarine sand sculpture! You've got such special skills, sweetie! You've really outdone yourself! I'm so proud of you, and I ran into a sandcastle college recruiter who thinks he can get you a scholarship."
Linda,"Good for you. I would've been home sooner, but it took me an hour to drive around the road construction in the neighborhood. It sure would be helpful if they could just make the days a little longer. Who do I call about that?"
Linda,"Don't be silly, Candace. She's just a little girl. How much trouble could she be? I see you've discovered the broken sprinkler. Yeah, I'd better get to the hardware store! It's beginning to look like Niagara Falls out here."
Linda (cont'd.),"It makes me want to run right out and buy some tools. Now, if you'll excuse me, I had better get back to the attic before your father blows up another pair of... Oops, too late. I'm coming, dear! And I have the patch kit."
Linda,"Well, it'll have to wait. Traffic lights are out all over the city. Of course you know I'd like nothing better than to give up my special time with your father, to run home and not see what they may, or may not have done."
Linda,"I see your point, Candace. No crazy person would scream at a post like that. I'll be in the dairy section if you want to come yell at some cheese. Would you like that, honey? Would you like to yell at some cheese?"
Linda,"Your father wants me to listen to one of his ""soundscapes"", so I figured I'd strap on the headphones and finally get those flowers planted in the backyard. Do you think you can entertain yourself up here alone?"
Linda,"I have this weird desire to go outside. Normally, around this time of day, you're pulling me to go out in the yard and I kind of have a hankering to do it! It's like a Pavlovian ""go outside"" response. Let's go!"
Linda,I just wanna capture these memories because you guys are growing up so fast. No! No time for waterworks. These pictures always make me cry. I've gotta finish up so I can spend the rest of the day with you kids.
Linda,"Well, I think that's it. You have both our cell-phone numbers, all emergency contacts, and the number of the hotel we'll be staying in at the antique shower-head convention. What do you plan on doing tonight?"
Linda,"Mostly worms and insect larvae. Oh, Perry! Now I have to get the carpet cleaned again! Hey, maybe I lost my earrings when I was folding Candace's laundry. Why don't you help me look while you wait, Jeremy?"
Linda,"Well, I'll just leave that to the professionals at the magazine. Oh, look at that, an inflatable wading pool. Oh, it's just like the one I used to play in with Candace when she was little. Remember, hon?"
Linda,"Yup. Basically, if you're really in charge, you won't need to call at all. You see, if the boys are doing something bust-worthy, that means you're not doing your job and you would be in trouble too."
Linda,"Oh, my! Look at all the fun costumes! Here you go. And here's one for you. And here's one for the little princess. And one for you. Oh, but wait! Don't go away! We have a little surprise for you!"
Linda,"So, what's on the list? Another day filled with big plans? ""Herd all the nerfs into Beggar's Canyon, teach the sarlaac to brush his teeth, and giving a bantha a shower."" That's awfully ambitious!"
Linda,"If I had a nickel for every time Candace promised to show me something and nothing was there, I'd have $5.20, which isn't a lot, but it's weird that it's happened a hundred and four times, right?"
Linda,"Well, I'm glad your ankle's feeling better, dear. But you should really be lying down. And look, the kids cleared out the perfect spot for my snapdragons! I think that earns you for some pie."
Linda,"And you're not crazy because...? I see your point, Candace. No crazy person would scream at a post like that. I'll be in the dairy section if you wanna come yell at some cheese, or anything."
Linda,"Dash, dot, dot, dot, dash, dash. It's a good thing that I worked on that submarine those three summers that Candace was at Morse code camp. ""Boys built old-timey..."" I don't even wanna know."
Linda,"You're such a nice boy, Jeremy. I can see why Candace built a shrine of you in her room. Oopsy! I probably shouldn’t have said that. Thanks for feeding Perry while I look for my earrings."
Linda,"I'm sorry, but this is really for your own good. We need you both to understand that what you've been doing is way too dangerous. I'd never be able to live with myself if you got hurt."
Linda,"I'm sorry, but this is really for your own good. We need you both to understand that what you've been doing is way too dangerous. I'd never be able to live with myself if you got hurt."
Linda,Which means back to school errands for me and making the most of the day for you. Ooh! I better get a move on. Those errands aren't gonna run themselves. They never do! They never do.
Linda,"Now you know how every year we take a family photo on the first day of summer? Well, with all the excitement of the block party, I don't want you to forget to show up for the photo."
