Name,Dialog
Isabella,"Okay, listen up, ladies. The Mayor has tasked us, Troop 46231, with baking the official droogen strudel for the tasting today. The key to making droogen strudel is the raisin-like dried doonkelberries called the droogen. Now, there are going to be actual Drusselsteinian emissaries here at the fair. And these emissaries are real sticklers about their droogen strudel, so no distractions. Every fiber of our full attention must be laser-focused on this task! I wonder what Phineas and Ferb are up to."
Isabella,"(Reading a placard near the ride) ""Stickiness is the most underrated of all the -nesses, and of all the stickinesses, the sap of the maracanut tree is the sticky-messiest. This Temple of Sap attraction is a monument to the rare and beautiful maracanut tree, the world's greatest stickerizer."" Looks like we've tracked our quarry to its lair, girls! Although, if their biggest attraction was a sap-themed ride, I understand why this place closed down. Girls, get your gear. We're climbin' up."
Isabella,"We're in luck! Looks like we're here before the mail's come! Okay, girls, let's seal off this area! Holly, you go take up a scanning position one half-klick to the north! Ginger, you got the south! The rest of you, fan out! We've got to intercept that letter! I'm going in back to keep Phineas distracted. Any questions?"
Isabella,"It looks like a T. rex footprint to me. (notices a message in the dinosaur footprint) Hey, look! A message! ""Time machine destroyed! Stuck in 300,000,000 BC. Please help! Signed Phineas, Ferb, and Candaaaaaccccce."" Our friends need our help. Please turn to the ""time travel"" section of your Fireside Girls handbook. Hey, has anyone seen Perry?"
Isabella,"(in her head) Oh, come on, Isabella. What's so bad about writing a letter and expressing my feelings? Feelings are natural. Phineas is natural. We are both natural beings in the world. With feelings? (back to normal) Aw. (in her head) Did I really refer to him as ""my little crumb cake""? Who does that? (back to normal) Come in, Fireside Girls!"
Isabella,"So, let me get this straight; You'll do all the work, while I spend the day with Phineas? Hmm.... Deal. But do you know anyone that can work a state-of-the-art soundboard? Someone who can edit huge digital files? Someone who can understand basic mic-ing techniques?"
Isabella,"And it's not over now! Cause when the going gets tough... the tough get going! Come on, girls, we've got enough patches between all of us to make this work! We can do this! Gretchen, Milly, Katie, you've got the exploring patch, right?"
Isabella,"Well, here we are, I guess. Oh, I get it! It was actually called ""The Old Abandoned Amusement Park""! And now it's old and abandoned. Hence, ""old abandoned"" twice. Girls, we're goin' in. We have a tree to find! (The girls race to various attractions in the park) Fireside Girls, report!"
Isabella,"(inhales, man's voice) Wednesday, Wednesday, Wednesday! Giant monster truck rally right here in Danville! Candace the Crusher takes on all comers! Be there, be there, be there! We'll give you the whole seat, but you'll only need the edge! (normal voice) Thanks, Dink."
Isabella,"(offscreen) Candace, we are all very impressed. You earned more patches in one day than anyone in the history of the Fireside Girls: 49 patches, which pretty much blows away the previous record of 6 patches held by our own Adyson Sweetwater."
Isabella,"Ooh, I know! It's all right here in Tween Bleep magazine. ""Three Sure-Fire Ways to Lift Your Friend Out of a Serious Funk. Number one: Give her a complete make-over. A completely different look will often do the trick."""
Isabella,"Hey, Phineas. You might wanna go check up on Baljeet. I was walking by his house and heard him scream... ""**AIIIEEEE!!! I'M DOOMED TO BE AN INCOMPETENT FLUNKEE FOREVER!!!** Ever...ever...ever..."" (pause) I added the echo part."
Isabella,"Phineas, where are you? There's this giant robot machine attacking downtown Danville! I'm all alone here! Call me as soon as you get this. (To herself) Come on, Isabella, this is what being an intrepid reporter is all about!"
Isabella,"My mother, New Hampshire Garcia-Shapiro, was searching for the Temple when she disappeared! I'm afraid something terrible has happened to her! You've just gotta help me! (Hands Ohio another card) I'm also a certified Damsel in Distress."
Isabella,"According to my Fireside Girls manual each one of those flags has a meaning. The blue flag means crab season and the yellow flag means hold the mustard, and that last one, I'm not sure what that one means."
Isabella,"Look. My client gets 3% of the gross and a piece of the back end, or he walks. Yeah, that's right. You mess with the bull, you get the horns, buddy. (Phone rings) Hello? Syd, baby, you got that 3rd act in line yet?"
Isabella,"Well, I just came by to tell you I can't join in on the fun today. I've been charged of the task of recording the audio book version of the Fireside Girls Compendium Guide, it's gonna take forever."
Isabella,"Did you know the African chapter of the Fireside Girls has its own special edition survival patches? (Listing some of the patches) ""Identifying fauna and flora."" Easy. ""Finding water."" Hmf. Child's play. And, ""eating a grub""?"
Isabella,"Dude! This is just the table of contents. The actual book is being transported from a secret bunker to our recording studio at the Fireside Girl Lodge. (The book is seen being air-lifted into the lodge) Seriously, this is going to take me a week."
Isabella,"Well, according to our data, this is the relative position of the sun, and this is where the Earth should be on its orbit this summer. But for some reason, we're here. (sighs) Tennis balls don't lie. (Throws the ball.)"
Isabella,"Wow! Humans really take for granted not being sucked into the nearest vacuum cleaner. I'm gonna see if the queen knows anything. (She buzzes up to the queen bee) Excuse me, Your Majesty, do you have any idea how to get out?"
Isabella,"Hi, guys! Food's up! Aw, just think, this may be the last time I'm stuffing your faces before I'm off to school. (the phone rings) I got it, Mom! (to the girls) Anyway, enjoy! Gotta treat my Fireside Girl alums right. (she leaves)"
Isabella,"We may be the only non-pharmacists left in Danville. I think I figured out where this started. And if we could get there, we might be able to figure out how it started and reverse it."
Isabella,"Thanks for letting us host the French Fireside Girls at your cabin this afternoon, Mr. and Mrs. Flynn. This'll be a great place for them to get their North American Tracking patches."
Isabella,"Right, right! You're right. (Walks outside to a yard with a bee hive in the middle.) But still, if we don't succeed today, the 'two strikes and you're out' rule kicks in, which means this spot will stay empty on all of our sashes forever! (Close up on her sash showing an outlined mark, she gasps and sniffles)"
Isabella,"Alright, girls, come to order. (to Candace, throwing the following on her) Now, just fill out this application, read through the training manual, sign the insurance waivers, and you can be sworn in at our meeting next week."
Isabella,"Well, that's not the Phineas Flynn that I fell in...(She pauses, and quickly rephrases what she was going to say) ...to...this...situation with. You showed us all on Ferb's map how this is possible and I'm not gonna let you sit there and --"
Isabella,"(from inside) Thanks for showing me the old scrapbooks, Nana. (cut to her with Nana and other senior citizens.) I love hearing about the old days. Tell me again about string art. And what was it like to get up and change the channel on the TV?"
Isabella,"Thanks, Ferb. I just don't know what to do... we were in Paris! The most romantic city in the world, and... (She sobs and holds the handkerchief up to her nose) he didn't even notice me! (She blows in the handkerchief) I just feel like giving up, and look at him!"
Isabella,"Sorry, but you know, it was the best day for me! Due to my incurable case of the hiccups, I spent an entire day showered with undivided attention from Phineas! It was wonderful!"
