Name,Dialog
Stacy,"Perry? What is all this? A-a host family, mind erasing, balloon coverup? I mean is all this really necessary? Wait a minute! It says right here in your silly little pamphlet that if your host family finds out about your agent status, then everyone who's seen you has to have their memory erased, or you'll get relocated. Perry, I'm not part of your host family! I know, I know, it's a technicality. Look, I don't want Candace and the boys to lose you, but I also do not want my mind erased. I'm on the last ten minutes of that Grievance movie, and I don't wanna watch that whole scary mess again. So, uh, can we just keep this a secret?"
Stacy,"Candace, I am so proud of myself! I think I totally hooked this thing up! It's incredible! It has picture-in-picture-in-picture! I'll be able to watch a show and then another show inside that show and then the first show again inside that one! And I managed to get it down to one clicker! I'm about to give it a whirl! Hmm. Okay. Maybe there's still a bug or two to fix."
Stacy,"Look, mysterious force. I feel a little awkward talking to you, since I didn't believe in you at first. 'Cause you know, it's-it's crazy, but then I saw you eat my friend, so, I've made a little shrine here. It's uh...It's nice, there's a banana, and, uh, oh, Mr. Miggins! So um, I hope this makes up for the disbelief thing. Are we, uh, are we good?"
Stacy,"Thanks for sharing this, Perry. To be honest, it's been a little awkward since I found out about your secret last summer. But it is weird this specific thing happens so often there's a premade video to deal with it. But even weirder that they shot it on film. I mean, how old is this video? Anyway, rest assured, I'll be a Donnie Do-Good."
Stacy,"Don't go in there. Don't go in there. Don't go in there. Don't go in there. He went in there. Oh, gross! She brought thousands of tiny bugs into the house. What could be worse than that? Big bug! Ahhh! OMG! Perry! What are you doing here?! And why are you wearing a hat? Look out! And who's this pharmacist?"
Stacy,"Hmm, that's tough. On one hand, if you go with the achromatic pink, it kinda says ""Hi, I'm Candace, and I'm bedraggled and pallid"". Trust me, you don't want that. I've been both. But, if you go with the more saturated pink, it kinda gives you that ""overkill, out-to-kill, my currency is urgency"" look."
Stacy,"I brought a get-well package. Miso soup-- heats itself, don't ask-- Who Wants To Be A Total Idiot 3, and rocky road ice cream! We wouldn't want everything to be good for you. And you don't have to worry about your brothers - your mom says they're off playing miniature golf. How lame is that?"
Stacy,"Wow, thanks, Candace! Most of this is a genuine label, but the shoes are total knockoffs. I heard there's a riot Uptown at this one store that got a fresh shipment. I gotta run before they sell out. Bye! Oh, and Candace? Friendly tip; That Gaston stuff is so 42 seconds ago."
Stacy,"Well, do you blame me? Oh, Jeremy and I went to the movies, Jeremy's house smells like gingerbread, ever notice Jeremy's mole is shaped like an adorable puppy? I'm starting to feel like the only reason you hang out with me is to talk about Jeremy!"
Stacy,"So my mom told me to clean up my room and I didn't have any shoes on, so I started picking stuff up with my feet, and I turned it into a game with myself, like, ""Can I Clean Up My Whole Room With My Feet?"" And I did. Oh, it's Coltrane. Hello?"
Stacy,"I'm trying to hook up this new super-high-def-intelligent-multi-format-home-entertainment-DVR system. I wanna keep the DVD and the VCR but I don't think there are enough holes. I mean, there's also a pretty serious clicker situation."
Stacy,"Figures. The power goes out right in the middle of the movie. Good thing I got the power generator package option. Okay, let's see. ""For your safety, please make sure to wear included protective gear when operating the generator."""
Stacy,"Candace, looks to me like you're going about this the wrong way. Don't focus on the boys; focus on the invention. If you can find out where the stuff goes, maybe you can take your Mom there and she'd finally see the evidence."
Stacy,"Look, the way I see it, you prevented me from going to the spa, almost killed me with a jackhammer, dropped a wall on me, I've got gypsum in my hair, and basically wasted my whole day. But you did it for love, so it's okay."
Stacy,"Well, you've got the look and you've got the attitude. Now there's just one last test to see if you're a true emo. Do you have enough ennui to resist the urge to bust your brothers? I don't think your Mom would approve."
Stacy,"A hair emergency: the worst kind! This is awful! How did--? Wait, what are these 4 long strands, and look at this shaved areal! What's that all about? Is this a rolled-up sock? Candace, who did this to you?"
Stacy,"Candace, I am tired of taking the backseat to the totally unlikely chance that you will bust your brothers. I want a best friend I can count on. So, you're gonna have to choose: It's me, or busting."
Stacy,"'Cause someone just IM'd me that someone else heard someone else overhear that Jeremy is gonna call you and ask you out for a very special evening tonight! Candace, do you need medical attention?"
