Name,Dialog
Ferb,Perhaps that's where he disappears to everyday.
Ferb,It's a unique and logic-defying amalgam of Winter and Summer.
Ferb,Definitely the Giant Floating Baby Head.
Ferb,"When he was younger, he did a bunch of stuff."
Ferb,I have absolutely no idea.
Ferb,I reckon herding cattle ain't for city folk.
Ferb,Perhaps Buford truly is amazing.
Ferb,"You do realize that that's French for ""Pencil Neck""?"
Ferb,"You know, mummies had their brains pulled out through their nose."
Ferb,"Well, actually I--"
Ferb,"Um, that man isn't wearing any clothes."
Ferb,It does absolutely nothing.
Ferb,And with handsome movie actor Vance Ward. He seems much faster on TV.
Ferb,"Actually, I –"
Ferb,Actually -
Ferb,Actually –
Ferb,"Look, for the last time, I didn't –"
Ferb,"Actually, I – !"
Ferb,Ach! I give up! (stomps off)
Ferb,(pause) I was weak.
Ferb,Especially if it's a caveman.
Ferb,And perhaps the greatest pirate story ever told.
Ferb,Yes. Usually takes us at least a montage.
Ferb,"Because she's a tire-spinning, gear-grinding, clutch-burning, backfiring, paint-trading, red-lining, overheating, throttle-stomping truck drivin' girl."
Ferb,With a slight chance of scattered lawn gnomes.
Ferb,It's a simple postmodern fusion of origami and pop-up.
Ferb,I hear there's a new version of Jane Eyre in the offing.
Ferb,No. Not taking any chances.
Ferb,Still not looking.
Ferb,Wait for it.
Ferb,"Good catch, Jeremy."
Ferb,They're the only mammals to lay eggs.
Ferb,"You know, gladiators were Roman, not Greek."
Ferb,And that's why I never wear suspenders in public.
Ferb,What did I miss?
Ferb,I don't know why we didn't build it here in the first place.
Ferb,May we take that as a yes?
Ferb,"Well, don't just stand there. Kiss her!"
Ferb,But the Internet is forever.
Ferb,Fun never falls too far from the tree house. (Gets hit by a water balloon as well)
Ferb,"You see, you see how I held that last note, good, huh?"
Ferb,You might consider bathing first.
Ferb,This could be a problem.
Ferb,"Scene opens up showing a dinosaur growling at Phineas, Ferb, and Candace."
Ferb,"Well, I hope that's not going to be an issue."
Ferb,"Actually, you'd be eighty-eight and a half."
Ferb,"Sharks have to continue to move forward, or they'll drown."
Ferb,"Well, he was all up on my face."
Ferb,"Well, it was definitely better than the gorilla in the cake."
Ferb,She's on a roll.
Ferb,That was completely out of character.
Ferb,That's creepy on so many levels.
Ferb,"Again, creepy on so many levels."
Ferb,"They say fine, but not without them."
Ferb,But that's another story.
Ferb,"Candace, we are just kids."
Ferb,Perhaps that's where he disappears to everyday.
Ferb,Especially a giant fridge.
Ferb,Platypus monsters are the only monsters to lay eggs.
Ferb,"A hero is a hero, but everybody loves a great villain."
Ferb,"You know, in retrospect, I question the inclusion of a self-destruct button in the first place."
Ferb,"Two, three, four..."
Ferb,"Five, six, seven..."
Ferb,"You know, technically we didn't try all terrain."
Ferb,"Phineas, I know what we're going to do today!"
Ferb,"When we get our own place, it'll be like this everyday."
Ferb,"Someplace nice, I hope."
Ferb,"Totally, a platypus would have put it over the edge."
Ferb,"Give up?!? Give up?!? The day may come when we'll give up on fruitless searches after a mere eleven minutes, but that day is not today! The day may come when our favorite reptile may be lost from our memories and his enduring love of mushrooms forgotten, but that day is not today! (At this point, several passersby gather around to hear this speech.) Today we search! We will search for him in the streets, we will search for him in the trenches, we will search for him in the alleys and the mini-malls and the cul-de-sacs of this fair land. We'll search for him in the multilevel car parks and municipal recreational facilities. (A truck labeled British Imports with a Union Jack on it drives up behind him, giving the appropriate patriotic feel.) And we few. We happy few. We small band of brothers — and girl from across the street. We shall not cease 'til he is found!"
Ferb,We're there.
Ferb,That was a mistake.
Ferb,Agreed.
Ferb,I have no idea.
Ferb,(Holds up a camera) Say fromage.
Ferb,"(in the background) Cowgirls and cowpokes, welcome to the Flynn-Fletcher Bros' Rodeo!"
Ferb,"All right, cowboys and cowgirls, it's time to get along, little doggy. Or even a short little doggy. I'm here all week. Try the veal!"
Ferb,And she seems to have acquired an upper-class Drusselsteinian speech pattern.
Ferb,Hmm...what assurance would we have that everyone else will also break into song and do the same thing?
Ferb,Fair enough. I'm in.
Ferb,"Or you could say ""seize the day"" was English for ""carpe diem""."
Ferb,"Apparently, do what we did."
Ferb,They say the step you’re about to take is the beginning of your greatest adventure yet.
Ferb,Just (Picking up guitar) teeing up the song.
"Ferb, Isabella, Baljeet, Buford",(without looking around) Hey.
Ferb,That's not just any bird. That's a rare whale song-singing double-breasted angle hooper...
Ferb,...the natural enemy of the platypus in the wild.
Ferb,You're digging my ride from outer space.
Ferb,"Well, it occurs to me that not all of the modifications I made are technically ""Street Legal""."
Ferb,"That's no cloud, that's a space station."
Phineas/Ferb/Isabella,WooHoo!
Ferb,"Ah, the public is fickle."
Ferb,"Well, we were all watching it, and Quantum Theory states that the mere observation of an experiment changes its outcome."
Ferb,Puh-lease.
Ferb,And for the ladies. Rrrrrow. (raises eyebrows seductively)
Ferb,"We don't, however, have a licorice dispenser. That was a nice touch."
Ferb,You're not very street.
Ferb,I think he can take care of himself.
Ferb,Check.
Ferb,"Well, I suppose we could call that the home version."
Ferb,"Ahem. So, how about that airline food?"
Ferb,(blinks then rolls his eyes; pause) Okay.
Ferb,"Hey, where's Perry?"
Ferb,Yes. On the alligator.
Ferb,"Yep, had to be done."
Ferb,"Perhaps the problem is not that the house is too small, but that we are too big."
Ferb,"Oh, heavens, no. Slushy Dawgs never get any better."
Past Ferb,"Well, at least we know she mellows with age."
Ferb,"Some other time, perhaps."
Ferb,"If it's all the same with you, Father, we're going to build the machine."
Ferb,Her car control has gotten a lot better.
Ferb,No. (The chomped off camera sinks down.) It found us. (The lights go out.)
Ferb,"Well, if such a creature did exist, I believe its habitat and safety would be all of our responsibility to look after and protect."
Ferb,He's doing a special guest appearance on a music video clip show.
Ferb,"""Brother, whatcha gonna do today?"""
Ferb,(to Phineas) This is exactly why they took that doll off the market.
Ferb,Perhaps the lost city of Atlantis wanted to stay lost.
Ferb,"Yes, yes I am."
Ferb,"Well yes, it's short for... (the vacuum pulls up the Pizzazium) Oh, here it is."
Ferb,"Well, you know what they say, if you love something, set it free."
Ferb,"Well, either that or everything else in the universe just got bigger."
Ferb,"So, why is he wearing a tutu?"
Ferb,Take a look at this morning's paper.
Ferb,"No, no, this one down here."
Ferb,"Well, if you reverse-engineer the human heart, you're bound to find love at its core."
Ferb,Yes. Love and gross smushy red stuff.
Ferb,"Actually, I think ventricles are already included in gross smushy red stuff."
Ferb,"The cartilaginous fibers from the bovine patella structure, that gelatin's extracted from, gives it that fun, bouncy quality."
Ferb,I'll never understand fashion.
Ferb,"Well, looks like my work here is done."
Ferb,She's shipshape in Bristol fashion.
Ferb,"What does ""yar"" mean?"
"Candace, Lawrence, Linda, Ferb, and Phineas",Aloha!
Ferb,(sniffs) Hmm-mmm. Magma.
Ferb,Hello? Room service?
Ferb,"No worries, bro! We're just gonna hot dog this honker past the bone-yard to the sand."
Ferb,"Yes, yes I did."
Ferb,"Just normal, mediocre kid stuff."
Ferb,We're over it.
Ferb,Ahem.
Ferb,"Um, hello? Entire lower half of amazing superhero here. (He sighs) I guess there's no glory in thighs."
Ferb,"Once they replace more than 51% of all the humans, they can assume control the earth for their own nefarious purposes."
Ferb,So do I. Tell Uncle Angus and Aunt Mora thanks for the candy.
Ferb,Let's never do that again.
Ferb,Always.
Ferb,Actually what I'd really love to do is direct.
Ferb,(sits up) It's over 167 feet high. It's also tremendously popular with daredevils.
Ferb,Clay Aiken?
Ferb,"Kon'nichiwa! Suteishī no tomodachi desu! (""Hello! We are friends of Stacy!"")"
Ferb,Vanessa?
Ferb,I'm not flooding it!
Ferb,"Well, sometimes if you love somebody, you have to meet them halfway."
Ferb,She went off with someone else.
Ferb,And we believe in you.
Ferb,"Actually, I--"
"Phineas, Ferb, Baljeet, and Isabella","Hi, Carl's dad!"
Ferb,"Well, it is Candace's dream."
