Name,count
Candace,5737
Phineas,5378
Doofenshmirtz,3650
Buford,1714
Isabella,1661
Linda,1646
Baljeet,1389
Major Monogram,1082
Stacy,768
Jeremy,687
Lawrence,591
Carl,560
Vanessa,486
Ferb,374
Norm,288
Irving,233
Man,136
Candace-2,130
Doofenshmirtz-2,116
Monty,114
Roger,97
Meap,92
Gretchen,89
Suzy,87
Woman,87
Monogram,84
Rodney,78
Mitch,77
Phineas-2,69
Albert,68
Kelly Osbourne,68
Napoleon,68
Betty Jo,60
Paul,59
Narrator,58
Ginger,58
Dirk,57
Perry,56
Evil Carl,56
Adyson,52
Clyde,52
Lyla,51
Red Skull,50
Wendell,49
Charlene,49
Iron Man,45
Isabella-2,45
Holly,42
Announcer,42
Spider-Man,41
Parenthesis,40
Dr. Diminutive,39
Doofenwitch Warlock,38
Danny,37
Khaka Peu Peu,36
Bufavulous,35
Doof zombies,35
Darthenshmirtz,35
Dink Winkerson,35
Ohio,34
All,34
Charlene-2,34
Dr. Shamai,33
Johnny,33
Future Candace,33
Vivian,32
Bob,32
Past Candace,31
Liam,30
Computer,30
Sergeant,30
Mrs. Johnson,30
Thor,28
The Beak,28
Mr. Random,28
Boy,28
Adrian,27
Man 1,27
Host,27
Mandy,27
Lindana,27
Major-in-Charge Carl,26
Man 2,26
Jenny,26
Busting Candace,26
Milly,25
Princess Baldegunde,25
Supercomputer,25
Crowd,24
Nerdcrow (Baljeet),24
Poofenplotz,24
Major Monogram-2,24
Buford-2,24
Tour Guide,23
Kids,23
Can-tok,23
Floyd,23
Melanie,22
Farmer's Wife,22
Doofenshmirtz's date,21
Receptionist,21
Lion-Tiger-Bear Guy (Buford),21
Jeremy-Tree,21
Django,21
Captain Squint,21
Reg,20
Romantic Candace,20
Gaston Le Mode,20
Worker,20
Katie,20
Haberdasher,20
Bad Future Candace,20
Manager,20
Lacie,20
Fireside Girls,20
Ignatius,20
Clewn't,19
Past Phineas,19
Baljeetolas,19
Maia Mitchell,19
Man #2,18
Lulu,18
Nigel,18
Dan Povenmire,18
Professor Mystery,18
Future Linda,18
Bubba Doof,17
Coltrane,17
Alien,17
Klimpaloon,17
Judge,17
Hotel Manager,17
Max Modem,17
Grandpa Reg,17
"Jeff ""Swampy"" Marsh",17
Jekyll Doofenshmirtz,17
Reginald,17
Rodrigo,17
Blay'n,17
Beckham (blond),17
Glenda,17
Amanda,17
Dr. Phineastein,16
Farmer,16
Eliza,16
Normbot,16
Tiana,16
Girl,16
Isabel,16
Dr. Gevaarlijk,16
Brigitte,16
80's Heinz,16
Tower,15
