Name,Dialog
Candace,"(singsong) Hey, Mom!"
Jeremy,"Hey, Mrs. Flynn."
Candace,"Mom, when can I get a car?"
Linda,"(skates by, dressed as a 50s waitress) Candace, you only have your learner's permit."
Candace,"Yeah, but eventually, I'm gonna have my license. I think we should be ready."
Linda,"(skates by) Riiiight. In the meantime, have a cookie!"
Candace,That's hardly the same thing. Why are you dressed like that?
Linda,Don't you remember? The Doo Wop Hop is tonight. All the neighborhood moms have volunteered to be carhops.
Jeremy,"Wow, Mrs. Flynn, I really like the wig helmet. (eats a cookie)"
Linda,"Why, thank you, Jeremy. Safety first, you know. (leaves)"
Jeremy,"(to Candace) I don't know about you, but I'm gonna have another cookie. (eats another cookie)"
Phineas,"(off-screen) Aloha, cats!"
Jeremy,"Oh, hey, guys. How are you doin'?"
Phineas,"Mellow like a cello and solid to boot, daddy-o. We're going to the Doo Wop Hop tonight, so we're dressed like they did in the fifties. You know, when everyone dressed like a sitcom from the seventies? Right, Ferb?"
Lawrence,"(enters from garage) Boys, have you seen my welder?"
Phineas,"Ferb and I were using it to put the finishing touches on his shades. Right, Ferb?"
Lawrence,"Oh, yes, those are very hip."
Phineas,"What have you been working on all night out there, Dad?"
Lawrence,It's a surprise for Candace uh—oops! Uh...
Candace,"Wait, this conversation suddenly interests me. What are you making me?"
Linda,"Oh, Lawrence, sounds like you'd better tell her!"
Lawrence,"Well, I wanted it to be a surprise, but I bought you a car!"
Jeremy,No way.
Candace,Really?! A car?!!
Lawrence,"(leads them into the garage) Oh, yes. It's the same car I had when I was a lad. I figured it would be ready when you were old enough."
Candace,"Uh, what do you mean, ""ready""?"
Lawrence,"Well, uh, it's not fully restored, yet."
Candace,Ya think?
Jeremy,"Hey, Mr. Fletcher, is that a Nedlington Nymph?"
Lawrence,"Why yes, yes it is! Jeremy, you have your license, don't you? You can take Candace for a ride in it when it's finished."
Jeremy,Awesome.
Phineas,"Ferb and I think it's cool, too. Ferb, tell them what you told me."
Phineas,Right?
Candace,"I'm living in Crazy Town, and Phineas and Ferb are town council."
Phineas,Heeeeeyy. Where's Perry?
Major Monogram,"What's shakin', bacon? (camera reveals Major Monogram dressed up '50s-style) Like the threads? Carl and I are going to cruise over to the Doo Wop Hop tonight. We're going incognito. Maybe do a little reconnaissance while I take in the car show."
Carl,And he really just wants to spy on Monty to find out what kind of girl he's dating.
Major Monogram,"Wrong! Wrong, Carl! We happen to know that Doofenshmirtz has entered a car in the competition. He must be up to something. And if I should happen to see who my son is dating, well, where's the harm in that? Hmm? Meanwhile, we need you to find out what the heck Doof is building, validate its evilness, and destroy it. (Agent P salutes) Good luck, Agent P, and see ya later, crocodile!"
Doofenshmirtz,"Ah, sometimes evil just cracks me up! (He hears Vanessa humming) Say where's that humming coming from?"
Doofenshmirtz,"Vanessa, is that you? Are you okay?"
Vanessa,"What do you mean, Dad?"
Doofenshmirtz,Something's not right. The corners of your mouth are pointing up. (feeling her forehead) Maybe you're running a fever.
Vanessa,"Relax, will you? I'm just looking forward to the '50s Doo Wop Hop tonight."
Doofenshmirtz,So who are you going with?
Vanessa,"Oh, you know, just a friend."
Vanessa,"Speaking of friends, I think you have a little visitor."
Doofenshmirtz,"Ah, he can wait. So what friend? Is it that girl with the dark hair who has all those dachshunds?"
Vanessa,(approaching the door) No. It's a...different...
Doofenshmirtz,Wait! No no no! Don't open the door! You'll let in Perry the Platypus!
Vanessa,"You know he'll just blow the door down if you don't open it. (opens door revealing Perry holding a bazooka) Come in, Perry. Toodles! (she leaves)"
Doofenshmirtz,"I'm worried about her, Perry the Platypus. Hey! You were going to blow down my door! (Perry sets the bazooka down, but accidentally fires it leaving a big hole in a Warholian picture of Doofenshmirtz.) Oh, great! See, this is why I can't have anything nice! Anyway, c'mon, let me show you what I've been workin' on. Y'see, it all started when I was just a small boy back in Gimmelshtump."
Doofenshmirtz,(voiceover) Friday was always Cruise Night and everybody would come out to see the hipsters and their cool cars made from cannibalized parts left over from Drusselstein's many foreign occupations. But for me...
Young Doofenshmirtz,Oooooh!
Doofenshmirtz,"(voiceover) ...the coolest car of all was the Boomshlaka 320-I, run by my Uncle Simpkin!"
Young Doofenshmirtz,Yeah! You go! You show them how you're more masculine than everyone else!
Doofenshmirtz,"(voiceover, talking over his younger self) To me, it was the coolest car ever!"
Young Doofenshmirtz,Booyah!
Uncle Simpkin,Hey! (taking off his shirt and throwing it into the crowd)
Female Fan,I saw it first! I saw it first!
Doofenshmirtz,"(voiceover) Unfortunately, the car had one major design flaw: The back bumper was a surplus dynamite plunger and the gas tank sat directly under the driver's seat."
Doofenshmirtz,(voiceover) And I never saw him again.
Doofenshmirtz,"But I have been able to restore his car. (Cut to a dust cover being lifted revealing the car) The 1957 Drusselstein Boomshlaka 320-I! Mmmwah! Ain't she a honey? I'm sure to win first prize with this. And here's the good part! (He pushes a button on a remote, causing jumper cables to come out of the grill trapping Perry. Doofenshmirtz laughs) Trapper cables! I needed to restrain you for this next part because it does get a little bit evil. Just to ensure there's no real competition, I built a little gadget called the Rustinator. At the push of a button, it will reduce every other car into red dust! Or rust. Wait, red dust, rust. I wonder if that's where that word came from. (exits) I'm gonna go look up its entomology. (returns) Yeah, I looked it up. It turns out ""entomology"" is the study of insects. Go figure. Anyway, uh, in you go! (The cables put Perry inside the vehicle.) I'll just get in the normal way. (Cut to the driver's seat) How's it goin' down there? Cozy in your steel cables? Careful with the Rustinator, Norm! (Cut to reveal Norm buckled up holding the Rustinator) We wouldn't want it to go off inadvertently."
Norm,No problemo!
Phineas,"Boy, Ferb, Dad was right. That muffler sure is making some weird noises."
Phineas,"Uh, we'd best leave him be. Ferb, show me the model you've been workin' on. Were you able to add any extras?"
Phineas,"Wow, Candace is gonna love that...I mean except for the exploding part. We should probably fix that."
Vivian,"¡Hola, Candace! Ooh, don't you look lovely!"
Candace,"Thank you, Mrs. Garcia-Shapiro!"
Mrs. Johnson,"Jeremy'll be along in a minute, honey!"
Vivian,Is your mother ready?
Candace,She'll be right out.
Linda,"All set! See ya there, Candace! Okay, ladies, here I come! (She skates away) Hehehe! There I go! Ha ha! Sorry! Can't stop. FOLLOW MEEEEEEEEEEEEEE...."
Mrs. Johnson,"Step on it, Vivian, she's getting away!"
Jeremy,"Hey, Candace."
Candace,Jeremy?
Jeremy,My car broke down.
Candace,"Well, I guess we're riding our bikes to the car show. (They walk to the garage) We can wow them with our irony."
Candace,(angrily) You guys are so... (excitedly) AWESOME!! Wow! I never thought it'd turn out so beautiful! Right?
Jeremy,How's the engine sound?
Phineas,(tossing Jeremy the keys) You tell me! Dad did say you could drive it when it was finished.
Candace,"Hey, where is Dad anyway?"
Ferb,"Hmm. Well, last we saw him, he was working on the muffler."
Doofenshmirtz,"Out of my way, luge boy!"
Phineas,Maybe he's already on his way to the hop.
Jeremy,"Okay, well, maybe we should get goin'. Hop in, everyone! We're goin' cruisin'!"
Jeremy,"Ooh, look! The visor's a vanity!"
Doofenshmirtz,My car has a turret that goes...
Linda,Whoo-hoo-hoo!
Linda,"Follow me, we're almost there!"
Phineas,"Let's deploy the chutes, Ferb!"
All,Yeah!
Doofenshmirtz,"Ha! This is gonna be a piece of cake! (The tank rolls onto the stage.) I rule! (Confetti comes out. Everyone laughs.) I don't get it, what's the joke? Why is everyone laughing?"
Major Monogram,"I can't find Monty. Get up on my shoulders, Carl! See if you can see him!"
Carl,"You're not gonna drop me again, are you?"
Major Monogram,"Just do it, Carl! And watch the hair. Take these. (Carl gets on Monogram's shoulders and takes the binoculars.) Now what do ya see?"
Carl,There he is! (POV shot from the binoculars to show Monty next to Vanessa) And he's with—Oh no! (Monty looks in terror and shushes Carl)
Major Monogram,What-wh-Carl! What do you see?
Carl,Someone who owes me big time!
Doofenshmirtz,"They dare to laugh at the Drusselstein Boomshlaka 320-I? Well, we'll just see who has the last laugh! Norm, fire up the Rustinator!"
Norm,"(saluting) Firing away, sir! Now, how do I set the coordinates? Hmmmm... (Perry pushes a button with the Boomshlaka 320-I on it) Thank you, Perry the Platypus! Very sporting of you! (The Rustinator activates rusting up the vehicle)"
Doofenshmirtz,"Uh-oh! Well, thank goodness for the plastic gas tank. (to Vanessa) Hey, Vanessa?! Is that you?!"
Vanessa,"Hi, Dad!"
Doofenshmirtz,"Wait a minute! Who's that boy you're with? He looks vaguely familiar. (Perry pushes a button on the gas tank) Say, isn't that— (The tank explodes sending Doofenshmirtz into orbit) AAAAAAAAAAAAAAAHHHHH!!! (a man passes by him) Uncle Simpkin? He's looking well."
Stanky Dog,"Up next is a late entry. Wow! I don't believe it! Look at this, folks! (a mechanical hand emerges from the car. Candace takes it and walks out) Is that a Nedlington Nymph?"
Candace,"Yes. Yes, it is."
Stanky Dog,And who did this amazing restoration?
Candace,"Well, my dad's been working on it for a while and...oh, here he is!"
Stanky Dog,"Look at that, folks! Workin' on it up to the last second!"
Lawrence,I was?
Stanky Dog,"Well, I think I speak for all the judges when I say the Nedlington Nymph wins Best in Show!"
Lawrence,"What an honor! Here, Candace! It is your car after all!"
Linda,(skating up to her husband) A one of a kind car for a one of a kind girl!
Candace,"Aw, you guys!"
Lawrence,"Oh, dear, you're rolling away!"
Candace,"(giving the trophy to her brothers) This really goes to you, you know."
Phineas,"Cool! You were right, Ferb, it really did need a trophy shelf! (Perry emerges from inside the cup chattering) Oh, there you are, Perry!"
Doofenshmirtz,My car has a turret that goes...
Linda,Whoo-hoo-hoo!
Linda,"Follow me, we're almost there!"
Phineas,"Let's deploy the chutes, Ferb!"
