Name,Dialog
Carl,"Well, I suppose I could just skip to the epilogue, sir. Hmm. Having signed the peace accord, the happy wanderers returned to their village as heroes. The rain stopped, and Candavere kept her date with Jeremiad. As they danced, she was as happy as a young girl could be. Especially as she was now back to normal. (Candavere spits out fire) Well, almost. But even as the heroes recalled their tales of glory, the evil Malifishmirtz slipped away, bent on laying the groundwork for a sequel. (Malifishmirtz escapes from his pillory) But for now, all was right with the world, and everyone in the village agreed that it was the best Midsummer Woad-Gathering Harvest Bonfire's Eve ever. Certainly the first one to have ten thousand monsters. The End. How was that, sir?"
Carl,"Uh, hi, Agent P. Major Monogram isn't here right now, but he left this note. (Tries to mimic Major Monogram's voice) ""Dear Carl, I haven't been kidnapped so don't come looking for him... I mean me."" Kinda weird, though, that he took the time to cut each letter out of a magazine. Anyway, Doof is on vacation with his daughter in Tokyo right now which is where the Annual World Good Guy convention is being held, and Major Monogram is the keynote speaker. Coincidence? 100% yes! So I guess you got the day off!"
Major-in-Charge Carl,"You're right! (to the goat) Agent G, quit eating those memos and get out into the field! (to the dog) Agent D, go see what you can dig up! (to the owl) Agent O, go find out who's who! Agent Possum, play dead! (Agent Possum does so.) Excellent! (To the bear who is shredding documents) Agent B, go into the woods and...see what's out there! And the rest of you, get out there and fight evil! Agent P, I want you to go out to City Hall and get a reading on the situation there and then report back to me."
Carl,"(Dressed as Major Monogram, Mimicking his voice) Hello, Agent P. Welcome to the Company Halloween Party. Try the punch, it's wicked good. Just be sure to use a coaster. Certain people can be downright persnickety. (Normal voice) Psst, Agent P, it's me, Carl! Had you fooled, didn't I? I've got the monobrow, the whiskery mustache, but I couldn't get both my eyes on the same side of my nose. He's like a Picasso, or something."
Carl,"(Still at the Flynn-Fletcher house) Let's see, red petals, three golden pistils... Dendrobium uncharticum. Presumed to exist only in uncharted regions in... Africa? I was sure he was struck by the Go Home-inator. We didn't even have a Go to Africa-inator. No matter; soon his tiny hand print will be mine, and then the OWCA will be mine, and then the Tri-State Area will be mine, and then I'm totally getting extra credit."
Carl,"Look, if you guys can't pass this training exercise, there's no way you'll complete ""Town Square Riot"", ""Freeway Assault"", or ""Escape the Ancient Ruin"". Agent P, your trainees need to learn how to work together as a team or they're never gonna earn their black hat bands. And, uh, Karen? (takes out a laser pointer and points it at Karen, who is chasing a butterfly) Karen the Cat. Pay attention. Karen, I'm over here."
Carl,Voilà monsieur! (He shows a wristwatch) This first item is our new wrist-communicationizer. It has many applications that will help you in the field. For example a powerful directional electro-magnet. It will draw any metal object to you. (He pushes a button and his glasses are drawn to it) See? And these are aluminum!
Carl,"Agent P, (spills the drink on Perry's tux) how could you have turned to the dark side? How could you have forsaken all that's good and right to be that maniac's butler? You don't belong in that uniform! You belong in this hat! (Carl takes Agent P's fedora and puts it on Perry's head, who looks at it, confused.) See?"
Carl,"Yeah! With everyone in costume there won't be any baleful looks of judgement. (Picks up Perry's fedora) Hey, this is Agent P's hat. There must be something wrong. (Calls Monogram through his wrist communicator) Major Monogram, we have a problem. (Shows Perry's fedora to Major Monogram) Look!"
Carl,"I'm over my minutes. But, now, with the boundless power of the mighty OWCA computer, I will bring the Tri-State Area to its knees! I will stop the power stations, de-synchronize all the traffic lights, and yeah! I'll have a vast army of interns do my bidding, each one of them paid!"
Carl,"(He comes walking in stroking a skull in his hand) Looks like I got two for one. I'm going to take over the Tri-State Area, and with my administrators access to OWCA's supercomputer, and intimate knowledge of proper photocopying techniques, I'm just the unpaid stooge to do it."
Carl,"I'm worried too, sir. So I thought I'd make myself useful by modifying his chair. I added a hidden button so the chair will automatically go to Doofenshmirtz's. Then automatically return here. (laughs) Everything's Agent P sized here. It's kind of cute, like kindergarten."
Major-in-Charge Carl,"It's intel from Agent Squab, our French surveillance pigeon. Hmm, there's a small shift in ambient temperature, there's civil unreasonableness at City Hall, and L.O.V.E.M.U.F.F.I.N. is convening for a secret meeting?! Oh no! Why did this have to happen on my watch?!"
Carl,"...Of course, you'll only need this if you're attacked by one of the royals or a member of Parliament, so it's probably okay to leave the safety on. And here's your brand new rocket-car. (He shows it as Perry gets in and starts it) Sweet huh? Good luck, Agent P!"
Major-in-Charge Carl,"You're right! Perry, Monty, let's go rescue our agents! (They leave, but Major-in-Charge Carl tries it again with a different inflection in the mirror.) Let's go rescue our agents. Let's go... (Perry comes back with his hands on his hips.) Oh, I'm coming."
