Name,Dialog
Jeremy,"Oh, no. Their platypus doesn't do much. (Perry jumps out of the building and takes a plunger and sticks it onto the bottom of the ""nose"" of the building.) Well, let's take another shot at learning this solo. (Doof plays the riff better.) Hey, doc, not bad. I think you might be getting it!"
Jeremy,"(His earlier voice mail) Hey, it's me. So I was trying to tell you before, but we kept breaking up. Sorry, I missed you at the airport. I got caught up with my band, but I can't wait for you to hear the song we recorded. I wrote it just for you. Call me when you can. I miss you."
Jeremy,"Really? She told me the same thing about you. Anyway, I'm over at the Sci-Fi Fantasy convention with little Suzy. She's really into the kids stuff. You know, like Sea-Horsie Hospital, air you know, lame stuff like Ducky Momo. (Seeing a person in a Ducky Momo costume) Ooh."
Jeremy,"Oh, it's an old mini safe of mine that I found in the back of my closet. I've had it for ages, but I haven't used it in so long that I forgot the combination. I thought your brothers could open it. I figured that's a ""safe"" bet. Heh heh!"
Jeremy,"Hey, Candace. Umm, so listen. I'm really sorry, but something's come up and I won't be able to make it to our date tonight. I hope you understand. Hello? ...Candace, are you there? ...Hello?...Helloo? Well, I guess we got cut off."
Jeremy,"Oh, he's part of a team that makes and manages recognizant satellites. They actually had a couple of rovers on Mars earlier this summer. But they suddenly stopped working. You wouldn't know anything about that, would you?"
Jeremy,"He ate an entire turkey, drank a gallon of warm milk and just passed out on the sofa. Bless him. I'd be surprised if he woke up before next Thursday. Good luck getting any conversation out of him, sweetie."
Jeremy,"(comes over with a gift box) Hey, Candace! I had a break, and I, uh, I thought I'd give you this for you birthday. (Gives her the box, she opens it) I saw you looking at it in the gift shop."
Jeremy,"You know, it's a little unusual...here we are sitting in the very heart of a giant soccer stadium your brothers built in your yard...and you haven't once shown any desire to bust them."
Jeremy,"Hey, wait a second! I call you Candace, but not because I don't care enough to come up with a cute nickname for you! I call you Candace 'cause... I happen to really like that name."
Jeremy,"We can't let a little rain put a damper on our-- wow! (Sees the biosphere, and Candace panics) I guess your brothers have been busy, huh? Oh, we should have our picnic in there!"
Jeremy,"Then you shouldn't let your brothers' fun ruin your good time. You know, if you get a chance to sing, you oughta sing. I gotta go, I'll see you later. (Walks away)"
Jeremy,"(while Perry quickly reverts to pet mode) I think he's behind that tree. (picks Perry up, who chatters again; hands him to Candace) See, he's glad you found him."
Jeremy,Nah. I came to see this hot new band called PFT. I downloaded their song this morning. It's tight! The hundredth contestant gets to sing onstage with the band!
Jeremy,"Allow me. (He reaches up top for something, while Candace pushes a basket away) Here you go, one nose hair clipper. Do you want me to put it in your basket?"
Jeremy,"(greeting people as he passes them) Yo, T-Bone! Hey, Clammo! What up, Sassy Miss K? Momo! Binkie... (reaches Stacy and Candace) Hi Candace, where you been?"
Jeremy,Wait. You're Gary Frank! You were the most popular senior two years in a row! Dude. You gotta join us for a pizza break. It'll be fun to catch up and talk.
Jeremy,I'm havin' a hard time gettin' there. (Cut to outside the car to reveal a huge traffic jam.) Looks like the whole town is going to this cool new car wash.
Jeremy,"Wow! You guys are the best! This was truly an amazing day! It's too bad Candace missed the whole thing. And, Ferb, where did you learn to serve like that?"
Jeremy,"Yeah, took her a week to get through it. You didn't really think she did all those things? Candace? Do you mind? (He takes out a pen as to sign her cast)"
Jeremy,"Well, I guess he's really gone, Suzy. You've got to admit, he was a lot of trouble. But deep down, I'm gonna miss that big guy. Come on, let's go inside."
Jeremy,(Laughs) What do you know? Some sort of reptile hopping around. Hi little hopping reptile. Hi little jumping chameleon. Hi little springing salamander.
Jeremy,"But...but... I was just gonna ask him to clean the bathroom. (walks up to a female employee) Um, Dolores, this is the part of the job I hate the most."
Jeremy,"Well, yeah, I used the...oh...ugh, hold on! (He runs to the opposite side of the bridge) Yeah, I used the G-word. It doesn't freak you out, does it?"
Jeremy,"Uh...both. She said something about going to find the ""other Candace"" and-and Mom and then she went all wild when I mentioned stopping by tonight."
Jeremy,"An Anglophile such as myself? (he realizes what she is referring to) Oh, ha! I get it. Well...yes. I could listen to you speak like that all day."
Jeremy,"(walking up with Coltrane, holding a tray with four glasses of sparkling cider on it) Candace? Stacy told me about your New Year's resolution."
Jeremy,"Suzy? No. She's at her friend's house. (The door knocks and he pauses the game) Uh, hold on, Candace. Someone's at the door. (Opens the door)"
Jeremy,"Candace, I'd really like to help you with your latest busting endeavor, but I have customers waiting. (points to the band singing in line)"
Jeremy,"(Wearing a jetpack and has a volleyball in his hand) Hey, Candace! Jetpack Volleyball? This is a great idea! You're gonna join us, right?"
Jeremy,"You know, your brothers are all right. Hey, are you okay? (Candace points to the ground) Oh, afraid of heights. Don't worry, I got ya."
Jeremy,"I bet that's the first time anybody's ever said that. By the way, (hands Phineas a folded piece of paper) Ferb left this clue for you."
Jeremy,"What are you two doing here? I mean, not that I don't like surprise visits from you, but this room is for Slushy Dawg employees only."
Jeremy,"Hey, in a minute Candace. I'm right in the middle of something here. I was thinking you could maybe help me finish decorating. First."
Jeremy,"Yeah, the Tooth Fairy never visited me when I was a kid. (pause) Anyway...could you give this to your brothers? I gotta rush to work."
Candace/Jeremy,"(In unison) This is Candace/Candace, it's Jeremy. Jeremy? Candace? (Both laugh) Okay, you go. Okay, you talk, you talk. (Both laugh)"
Jeremy,Have you seen the fancy dancing on the show? I can fake it in a school auditorium. Just not in a nationally syndicated dance show.
Jeremy,"(offscreen) Wow, this place is intense! (Cut to Candace and Jeremy on surfboards at the top of a water slide.) You ready, Candace?"
Jeremy,My mom told me to bring over these homegrown veggies for your family. You know; she and your mom are doing that jazz thing today.
Jeremy,"Candace, since I have no idea what will happen next, I need to tell you something. I love you, Candace Flynn. Will you marry me?"
Jeremy,"Candace, since I have no idea what will happen next, I need to tell you something. I love you, Candace Flynn. Will you marry me?"
Jeremy,"Let me guess, you had your brothers build me something super cool for my birthday and now it disappeared. It's okay, I get it."
Jeremy,"It was this crazy contraption doing all these dance moves. If you wanna see what a real dancer looks like, then here you go!"
Jeremy,"Candace, I love having some kid's feet in my face as much as the next guy. But how about we just go grab a Slushy Burger?"
Jeremy (2nd Dimension),"(he hands her a pair of sunglasses) Most of the Normbots are away in the other dimension, we can slip away pretty easily."
Jeremy,"Yes, I am totally messing with you. Now, would you please knock off the phony British stuff and go back to being my girl?"
Jeremy,"(offscreen) Candace? (walks up to her with headphones) While I check the stockroom, can you take the drive-thru orders?"
Jeremy,I remember you loved them in that magazine. And you were even gonna have your good necklace made into a pair like them.
Jeremy,"No, not weird, it's just-- (a customer walks up) Oh, wait, I got a customer, Candace. I'll - I'll call you later, okay?"
Jeremy,"Hey, Candace. My mom played me some of their CD. Your singing is awesome! How'd you get your voice to sound like that?"
Jeremy,"Oh, Candace, you made it. I was thinking you weren't gonna show. Although, you know, usually we get on at the bottom."
Jeremy,Uh. Yeah. (screen flips to Jeremy showing her around the picnic) Why don't I introduce you around? You know my folks.
Jeremy,"Thomas got me two touchdowns, twenty-three points last week, and 189 yards. I'm in first place in my keeper league."
Jeremy,"(opening the gate) Hey, Candace. I was just stopping by to invite you... (awkward pause) Hmm. Well, nice mom suit."
Jeremy,"Hey, Candace. I just finished my side of the house and I'm heading home. It was nice hanging out with you all day."
Jeremy,"Listen, I got called into work and my parents aren't home, do you think you could look after Suzy for a few hours?"
Jeremy,I bet you guys have heard a lot of strange sentences over the course of the summer. (hands Phineas a Slushy Dawg)
Jeremy,"Oh, hey, Candace, I see you've sent me some pictures. I can't wait to check 'em out later when I take my break."
Jeremy-Tree,"Come on! I'm a tree! I'm friends with squirrels! ... Oh, snap. (to Nerdcrow (Baljeet)) Oh, that's got to hurt."
Jeremy,"Hey, Candace. It's really nice of you to make something for me. I can't wait to see what you've come up with."
Jeremy,Nope. Definitely not. I still got those. (He lifts his upper lip to reveal his baby teeth stuck in his gums.)
Jeremy,"Yeah, it's new. I'm so bored. Feels like by the time my shift is over, I'll be a part of the fossil exhibit."
Jeremy,"Oh yeah. Yeah, funny I didn't think of that one. (Notices that Candace is running away.) Candace? Candace?"
Jeremy (2nd Dimension),"I didn't know they were your brothers, but I should've known. They're smart and courageous, just like you."
Jeremy,"(walks into room) Hey, sis. I can't find my lucky baseball bat. I've looked everywhere. Have you seen it?"
Jeremy,"(looks at his watch) Well, that's the hour. I'm gonna pack up my gear. I got another lesson across town."
Jeremy,"Everybody calm down! We're safe, look! (Picks the ""Lake Nose Monster"" up) It-- It's just some driftwood."
Jeremy,"(As Candace stomps away angrily) Wait, Candace, look! It's just papier-mâché! (Lifts the boulder easily)"
Jeremy,"(On phone) Hi, Candace. (cut to him) It's Jeremy. I was wondering if you wanted to go for a walk today?"
Jeremy,That? That's not your present. That's my drain unclogger. I don't know why I carry that around with me.
Jeremy,"You know, Candace, what I was trying to say back there is that...well, the thing I like about you is..."
Jeremy,"Yeah, it was weird... You and I were in this Dixieland band and there was an iguana playing an oboe..."
Jeremy,"Oh, I remember that! In grade school, a pretty girl loaned me that pencil and I've kept it ever since."
Jeremy,I just got the new Destruction Mayhem 3 game. I thought maybe you'd like to come over and try it out.
Jeremy,"Hey, Candace, look! I did it. I wrote a letter to Santa saying in great detail what gift I want most."
Jeremy,"Oh, man. Your sister's into that some big dance show. And, you know, I just don't wanna let her down."
Jeremy,(Holding the frame Romantic Candace had bought) Your mom said you got this for me at the mall today.
Jeremy,"Ta-da! Your brothers have opened the trendiest restaurant in town, and this is where I'm taking you."
Jeremy,Candace? I really don't mind waiting a bit. It's actually kinda fun just hanging out here with you.
Jeremy,"I saw ya on TV and just wanted to congratulate you. I guess you're, like, on a whole new level now."
Jeremy,"You ready for your bath, huh, boy? Who loves Candace? Oh, who's a beautiful boy? Who loves Candace?"
Jeremy,"Hey, Candace. I'm taking my mom's car to this crazy new car wash. Would you like to go for a ride?"
Jeremy,"No, you look great! Hop in! (Candace opens the side door and gets in.) What'd you do to your hair?"
Jeremy,"Oh, it's good, bro. (at Mindy) Thanks, but I promised Candace. (Candace runs off down the street)"
Jeremy,"Hey, Candace. I don't know what that was all about before, but I wanted to give you your present."
Jeremy,"(At his house) You know, I'd love to, but my Dad is taking me to check out his old college today."
Jeremy,"I didn't know you did water sports, 'cause I'm going to the Extreme Water Park today. Wanna come?"
Jeremy,"You know, my dad goes on and on about the cafeteria here, and I think he's right. This food is..."
Jeremy,"Here, come on. Let's see what we can do about that. I got a glass of water with your name on it."
Jeremy,"Great idea, moving the party outside. It was getting hot in there. Hey guys, let's keep rocking!"
Jeremy,I'm just glad you're not one of those people who freaks out just because someone cancels a date.
Jeremy,"I'm really glad you wanted to come over, Candace. Most girls really aren't into stuff like this."
Jeremy,"Hey, Candace. The things they make us wear, huh? At least you don't have a weenie on your head!"
Jeremy,"I didn't wanna break our date. I just wanted to earn some extra money, so I could surprise you."
Jeremy,"Hey, the day's not a total loss. We had a great time at the water park. Wanna go back tomorrow?"
Jeremy,"Way! I'm excited to see what you two come up with! But you better get started, time's tickin'!"
Jeremy,"(knocks on door, then opens it) Candace? I brought your MP3 player with... (Candace screeches)"
Jeremy,"(As he moves his arms and legs back and forth) Ha, hey, look, Candace, I'm making snow angels."
Jeremy,"(to Candace) I don't know about you, but I'm gonna have another cookie. (eats another cookie)"
Jeremy,"Listen, I gotta get back to work, but if you like, I can swing by your house after I'm done."
Jeremy,"(offscreen) Woah! (cut back to Jeremy's living room) She's, like, a TV star! (Coltrane nods)"
Jeremy,Yeah. I stopped by your house to give your present and Irving just told me to jack right in.
Jeremy,"Hey, guys. I, uh, just wanted to come with me. (Shows his ribbon) To the big aglet concert."
Jeremy,It is you! I was just over there in the taxi and I saw you over... What are you doing here?
Jeremy,(holds out towel; water drips off of Perry) That little guy's just drowning in mother love.
Jeremy,"Hey, Candace. I just wanted to thank you for sending over the pizzas. That was really cool."
Jeremy,(to Coltrane) What do you think it means when a girl leaves a fake mustache at your house?
Jeremy,"Well, my folks asked me to keep an eye on Suzy for the afternoon. Who's my favorite girl?"
Jeremy,"You know, Candace, I've had a lot of fun in your backyard, but this is the best time yet."
Jeremy,"Hey, Candace, I heard you were having a dessert party, so I made you this out of gelatin."
Jeremy,"I mean, it's like your hair was genetically engineered to ensnare those giant fruit bats."
Jeremy-Tree,(gasps) I'm free!!!... and I'm in my underwear… (Jeremy quickly covers up his underwear)
Jeremy,"Hey, why don't you bring Perry to the park and we can wash him together? Sound like fun?"
Jeremy,"'Scuse me, sir? Oh, Candace? Wow, in that outfit, I couldn't even tell you were a girl."
Jeremy-Tree,Hi! You've been selected for a free haunted castle makeover from Witches Brew magazine.
Jeremy,"No, actually Candace, you just paused it. (Game sounds) And now you've reset the game."
Jeremy,"I can't do this. All those great dance moves I've been doing today, it was actually..."
Jeremy,Maybe Ducky Momo Isn't that lame after all. Someone else seems to really like him too.
Jeremy,"Are you kidding? It's amazing! You win, you win! I'm gaining to get your blue ribbon."
Jeremy-Tree,"Yeah, we're kind of expected in Bustopolis. You know; the Wizard, great and powerful."
