Name,Dialog
Lawrence,"(To three songbirds) Look at that, my fine feathered friends! (He mounts his handiwork onto the tree trunk) Not a bad bit of work, even if I do say so myself. Just wait till you see the hidden surprise. (He pushes a red button on the front of the bird house, which bears the words 'home tweet home'. Its walls spring outward, revealing various miniature items including a fountain and a spiral staircase) Oh, nothing? Not even a sausage? No matter. (He pushes the button once again and the birdhouse folds back to its normal state) Wait until Linda and the kids see it. It'll blow their tiny minds. Well, not their tiny minds, that's not fair."
Lawrence,"Guys, come and look at this. This is an actual replica of an artist's interpretation of what some random guy of no significance believed that the chariot of Asparagus might have looked like. And this is Asparagus, the greatest warrior in all of Greece. With this golden chariot, he would win every race. And here he is defeating the Minotaur, a creature that's half-man, half-bull. Asparagus defeated him using the head of Medusa, a creature so ugly she could turn people to stone with just one look."
Lawrence,"Oh, so many things, really. Music, hobbies, you kids. Ooh! You know what she really likes, is my famous rhubarb creme brulee. I used to make it for her all the time when we were dating. Oh, it made her so happy. (Candace leaves but Lawrence doesn't notice her leaving.) You know, I should get out my toque and blowtorch and make one for her today. What a good idea, Candace. Thank you. (notices Candace has left) Candace? Well, all right then."
Lawrence,"(reading) ""Thank you for coming here today to hear my speech on the history of the ancient Ornithorhynchan tribe. (At this point, Candace's eyes begin to become heavy and she tries in vain to stay awake.) The Ornithorhynchans were a platypus-worshipping society known for painting themselves teal-blue and wearing elaborate platypus-themed costumes for their various dances and rituals."""
Lawrence,"Well, actually there is one thing you probably won't be able to find here. An 1807 Dorcham and Wesley Boot Scraper, only one of them was ever made, (dramatically) and it's been lost to the mists of time! Oh, if only I could find that, I'd be the envy of the entire antiquing community; especially Worthington Dubois, (he clenches his fists) my antiquing nemesis!"
Lawrence,"Oh, this? It's an escape chamber from an old vaudeville show. In the old days, men would go into these things and pretend to be locked inside and then they would ""escape"" to the amazement of the crowd. Here, let me show you. (goes inside the chamber) You see? All you need to do is just... (tries to escape) Uh.... Hmm..."
Lawrence,"(On screen) Oh, the kids are going to love this Austrian-style cuckoo clock. Oh, I wish you'd let me buy the large one. (The Melt-inator fires, melting the tires of the car and making Linda scream) Maybe we should pull over and see what's going on. (cut to them examining the flatness) That's peculiar."
Lawrence,"Well, the ship held together pretty good, didn't it? (Cut to reveal Lawrence is holding the wheel surrounded by debris from the wreckage.) Of course, we'll have to re-attach the wheel (Cut to reveal the sloop on a rock.) and fix that, uh, giant hole. Now, kids, are you all right?"
Lawrence,"Gather 'round kids, and I'll tell you a story about the close-encounter. It was a dark night, and I was out for a drive, when my motorcar began to behave strangely. Twas then when a bright green light started shining and I couldn't help but walking towards the light scource."
Lawrence,"Oh, yes and I'm British, and so you think I'm supposed to like bird watching. (Imitating a British accent) Oh, I'm British, so I'll in the conservatory with tea and a crumpet. I'm saying that ironically but actually that sounds quite good. So I'm going to do that. Ta."
Lawrence,"(inspecting the hole) Whoa, this doesn't look too good at all. Kids, don't come up here! It's far too dangerous! Mum and I will fix the boat. Candace, why don't you look for some food? And, boys, you could find us some shelter if you like. We may be here for a while."
Lawrence,"Linda! I don't know what's come over me, but I'm starting to get the most wild and uninhibited ideas! You know how every day for the last twenty years I've relaxed with a nice cup of Earl Grey? Well, not today, Linda! Today, I'm putting out all the stops! Darjeeling!"
Lawrence,"Well, that's the question isn't it. Only one of these can be the true Dorcham and Westley. And no doubt a wrong choice will trigger a nasty booby trap. Boot scrapers were famously vengeful people. This could take every ounce of antiquing knowledge that I possess."
Lawrence,"Ooh, you know, kids, this theater was built over 70 years ago in this Neo-Egyptian style. And apparently, there used to be a pharaoh's tomb display with a mummy in a sarcophagus. I mean, you couldn't pick a better place to watch a classic, old mummy movie."
Lawrence,"Well, let's have a look then. Oh, yes. I've seen this before. It's a commemorative coin from the nineteen hundred and three Danville World's Fair. Many steam-driven devices were introduced to the world back then. It must have been quite an event..."
Lawrence,"And here's the 17th century Whiskershire spring stick, which belonged to the Earl of Whiskershire. (A man dressed in royal garments and a mouse costume appears on screen. Lawrence's phone rings.) Oh, 'scuse me for a second. Hullo."
Lawrence,"Well, your mother's jazz trio has a gig at the Mayor's Day festivities, and I shall be running the antiques auction, oh yes! I'm very excited because we have a collection of steamrollers on the block, all imported from England."
Lawrence,"OK, now let's see. ""Lead the way for the lovely lady with an elegant wave of your hand. ""For you and only you, insert your name here..."" Oh, thanks for the light. Hey! No, no, wait! No, no, help me put it out! Do something!"
Lawrence,"Well, Candace there's no such thing as lots of things, and there's such thing as many other things. (Spins the steering wheel) Is Nosey such a thing? (The car stops turning) Well, you see, that's the thing, isn't it?"
Lawrence,"Well, I did. Yes, of course I did, although she doesn't really care about this stuff. Anyway, they're practically giving 'em away online! D'you know, it's even better than the Oklahoma land rush of 1889!"
Lawrence,"Well, it's hard to explain actually, taking the flip pass from the winner, shoulder deking the defense men, and then, tossing it right over the old glove hand. Oh, it just takes hold of you like a fever!"
Lawrence,"Oh, your mother's going to meet a lot of exciting and cool people. What if I'm…I'm no longer cool enough for your mum? I'm hardly a rock star, am I? (walking away sadly) I""m afraid I'm hopelessly nerdy."
Lawrence,"Oh yeah, brilliant. But I better check with Mom about this. (At phone) Uh, hello honey, yes, yes, oh gosh, I love you too, darling. Uh, are you aware the boys have a monster truck in the backyard?"
Lawrence,"(Chuckles) Well... (Dashes off and comes back wearing fishing gear) If I must. (Camera zooms into him) Well, who knows? I might even be persuaded to tell a few of my world-famous fishing stories."
Lawrence,"Ooo, those crazy coots! I'll just do an old-school drop de-turn on them, eh? Cut back up on the face, through the sloop, do a nice inner tail, and drop into the green room for a bit of tune time."
Lawrence,"I said, ""John, it's great, I love the tune but the words. 'All you need is a Phillips head screwdriver', it just doesn't really ring true, does it?"" (Phineas and Ferb reappear on the boat.)"
Lawrence,"Oh, yes, you have fun at the castle party tonight. (putting the mask on his head) If you need anything, your mother and I will be here scaring the sugar out of the little trick or treaters."
Lawrence,"Yeah, mom and I are getting rid of a few old things at the antique store, but I think I've got just what you need. (a moment later...) A snow cone machine just like when I was a kid!"
