Name,Dialogue
Doofenshmirtz,"Sorry, Perry the Platypus, I didn't want you to find out this way. Okay, here it is. Peter the Panda is my new nemesis. We met at an evil genius expo in Seattle, and, well, me and Peter, we instantly disliked each other. And then, he foiled a little evil scheme of mine. And, I didn't plan it that way, it just happened. (At Peter the Panda) Peter the Panda, be a dear and go get us a soda. (At Perry) It's not that I don't hate you anymore. I do, but look, I-- I just think it's time for us to, you know, take a break and start fighting other people. (At Peter the Panda) Thank you, Peter the Panda. (Sips) (At Perry) I'd offer you one, Perry the Platypus, but I-- I think it's better if we just have a clean break. Don't you? So, where was I? Oh, yes. (At Peter the Panda) So, Peter the Panda, you think you have outwitted me! (At Perry) Perry the Platypus, you're—you're making this harder than it needs to be. Go on, it's over now. Oh, that? That's a Freeze-Inator ray but, uh, I-- I don't want to explain it again. I just gave the whole spiel to Peter. But, don't worry. He's stopping me. He's-- He's got it well in hand. Goodbye. (At Peter the Panda) Curse you, Peter the Panda!"
Doofenshmirtz,"(Sobs) Thank you, Perry the Platypus. (Sighs) Now, (Laughs maniacally) I can't believe that worked! You know, Peter the Panda thought that he disassembled my Freeze-Inator ray, but that was just a decoy! Bring in the real one, boys! You see, my plan was simple; assemble all the best secret agents in one room, and then turn them all into statues for my giant chess board! (Laughs) Hit it!"
Candace,"Mom! Phineas and Ferb are in the ""Gadgets Through the Ages"" exhibit, and they're doing something to this chair thing, and Ferb is using this hose thing that makes sparks, and he's wearing this mask that goes like this! (Waves hand) And you have to come with me right now! Please, please, please, please, please, please, please, please, please, please, please, please, please!"
Doofenshmirtz,"(Screams) Ow! Easy, easy, you're tearing it! Eh, oh. I remember when this picture was taken. It was the happiest day of my life. (Snapshot) It was the day I decided get my picture taken. But, it wasn't till I got outside the photo store, that my life changed forever. I had a feeling that there was someone hiding behind the mailbox. I had a nemesis!"
Isabella,"It looks like a T-Rex footprint to me. (notices a message in the dinosaur footprint) Hey, look! A message! ""Time machine destroyed! Stuck in 300,000,000 BC. Please help! Signed Phineas, Ferb, and Candaaaaaccccce."" Our friends need our help. Please turn to the ""Time travel"" section of your Fireside Girls handbook. Hey, has anyone seen Perry?"
Doofenshmirtz,"Perry the Platypus, I'm so sorry I hurt you; When I wasn't actually trying to hurt you. If you give me another chance, I promise to hurt you in the right way. With cartoonish physical violence, and elaborate traps constructed out of strange thing I purchased over the internet. What do you say?"
Candace,"Ugh! I can't believe I'm just stuck here! I can't believe I'll—I'll never get my driver's license, or—or wear my dream dress to the prom! (Sighs) And most of all, I can't believe I'll never see Jeremy again. (Draws a heart that says ""C+J"" in the dirt) How long are we supposed to sit here?!"
Tour Guide,"And this is one of our curious pieces, a time machine made by a 19th century scientist named Xavier Onassis. But, of course, we know he never finished it, or else we'll still see him here today. (Laughs) Right? Right? Eh, anyone? All right. Moving on."
Doofenshmirtz,"Perry the Platypus, I swear, I've never seen this secret agent looking panda before. (laughs) Well, there's a panda in my closet and a panda paw print on my cheek. But it's not what you think. We're not enemies, we're just bad friends."
Phineas,"Hmm? (Angelic chorus. Ferb taps on his shoulder as Phineas looks over. Suddenly, his eyes get huge.) ""Gadgets Through the Ages"". This exhibit was made for us, Ferb. Hey, what are all those people looking at?"
Doofenshmirtz,"Uh, Perry the Platypus, you don't mind if I say goodbye to Peter the Panda, do you? I-- I just feel weird how everything happened. Uh, Peter the Panda, I just wanted to let you know that uh, I feel—Ow!"
Dr. Feelbetter,"You ever wonder what would happen if you lost your nemesis? Well, that's what precisely happened to our first guest, Perry the Platypus. Perry the Platypus, share with us your thoughts."
Lawrence,"Oh, look. This T-Rex footprint was found not 30 yards from this very spot. Hey, it says here that this fossil was dug up right near our very own neighborhood."
Doofenshmirtz,"Oh! Take that! And that! Perry the Platypus! I, uh, I uh, uh... There's no one else here. I mean, w-what are you doing here, Perry the Platypus?"
Candace,(Growls) Why do I have to endure this suffering while Phineas and Ferb are off who knows where doing who knows-- (Gasps) What are you doing?
Lawrence,"I can do that? Hey, I don't remember seeing this part. Hmm, (Laughs) well, it looks just like Candace. Hey, honey, you gotta see this!"
Dr. Feelbetter,"Thank you, Peter. I've been meaning to stack those chairs. (At Doofenshmirtz) Dr. Doofenshmirtz, tell Perry the Platypus how you feel."
Boy,"Whoa, whoa, whoa, whoa, whoa, okay. I've got a plan so ingenious it involves military-like stealth, precision and timing. (Screams)"
Doofenshmirtz,You're disassembling my Freeze-Inator ray? While—While I was singing about my feelings? You! You're dead to me! You're dead to me!
Officer,"You? I thought I tossed you out! Hey, what's this? Stealing a part of a display is serious. Almost yelling serious."
