Name,Dialog
Stacy,"Perry? What is all this? (Perry hands Stacy a pamphlet) A-a host family, mind erasing, balloon coverup? I mean is all this really necessary? (Perry shrugs) Wait a minute! It says right here in your silly little pamphlet that if your host family finds out about your agent status, then anyone who's seen you has to have their memory erased, or you'll get relocated. Perry, I'm not part of your host family!  I know, I know, it's a technicality. Look, I don't want Candace and the boys to lose you, but I also do not want my mind erased. I'm on the last ten minutes of that Grievance movie, and I don't want to have to watch that whole scary mess again. So, uh, can we just keep this a secret? (Perry smiles and tips his hat to Stacy)"
Stacy,"Candace, I am so proud of myself! I think I totally hooked this thing up! It's incredible! It has picture-in-picture-in-picture! I'll be able to watch a show and then another show inside that show and then the first show again inside that one! And I managed to get it down to one clicker! I'm about to give it a whirl! (She points and clicks, but it turns off and on the TV of a neighbor's house behind her.) Hmm. (The neighbor behind her gets up and sees his TV turn on and off again in frustration.) Okay. Maybe there's still a bug or two to fix."
Stacy,"(To the movie) Don't go in there. Don't go in there. Don't go in there. Don't go in there. You went in there. Oh, gross she brought thousands of tiny bugs into the house. What could be worse than that? (Doofenshmirtz's bus crashes into Stacy's house) Big bug! Ahhh! (Stacy hides behind the couch) OMG! Perry! What are you doing here?! And why are you wearing a hat? Look out! (Doofenshmirtz flies onto the couch) And who's this pharmacist?"
Stacy,"Uh, mysterious force. I feel a little awkward talking to you, because I didn't believe in you at first. Because lets face it, it's crazy, but then I saw you eat my friend, so, I've made a little shrine here. It's...It's nice, there's a banana, and, uh, oh, Mr. Miggins! So, I hope this makes up for the disbelief thing. Are we, uh, are we good?"
Stacy,"Hmm, that's tough. One on hand, if you go with the achromatic pink, it kinda says ""Hi, I'm Candace, and I'm bedraggled and pallid"". Trust me, you don't want that. I've been both. But, if you go with the more saturated pink, it kinda gives you that ""overkill, out-to-kill, my currency is urgency"" look."
Stacy,"I brought you a get-well package. Miso soup-- heats itself, don't ask-- Who Wants To Be A Total Idiot 3, and rocky road ice cream! You don't want everything to be good. And you don't have to worry about your brothers - your mom says they're off playing miniature golf. (Scoffs) How lame is that?"
Stacy,"Too much. (Candace wears a bikini; now offscreen.) Too little. (Candace wears a pinafore.) Ugh, too clean. (Candace wears torn cords and a hippie t-shirt.) Too dirty. (Candace wears a street clothing.) Too street. (Candace wears a goth suit.) Too goth. (Cut to her.) Where'd you get that?"
Stacy,"(Picks up the phone) Well, do you blame me? (Imitating Candace) Oh, Jeremy and I went to the movies, Jeremy's house smells like gingerbread, ever notice Jeremy's mole is shaped like an adorable puppy? I'm starting to feel like the only reason you hang out with me is to talk about Jeremy!"
Stacy,"Well, you got the look and you got the attitude. Now there's just one last test to see if you're a true emo. Do you have enough ennui to resist the urge to bust your brothers? (Candace looks out the window, seeing her brothers building the pool) I don't think your Mom would approve."
Stacy,"(Fixing her hair) Whoa. What was that all about? Do the Flynn Fletchers know you fight evil scientists? (Stacy accidentally steps on the remote firing the -inator, and Perry whacks it with a bat, destroying it. The -inator beam bounces off a satellite and heads back towards Earth)"
Stacy,"Wow, thanks, Candace! Most of this is a genuine label, but the shoes are a total knockoffs. I heard there's a riot Uptown at this one store that got a fresh shipment. I gotta run before they sell out. Bye! Oh, and Candace? Friendly tip; That Gaston stuff is so 42 seconds ago."
Stacy,"So my mom told me to clean up my room and I didn't have any shoes on, so I started picking stuff up with my feet, and I turned it into a game with myself, like, ""Can I Clean Up My Whole Room With My Feet?"" And I did. (her cell phone rings) Oh, it's Coltrane. Hello?"
Stacy,"(scoffs) Figures. The power goes out right in the middle of the movie. Good thing I got the power generator package option. Okay, let's see. (reading manual) ""For your safety, please make sure to wear included protective gear when operating the generator."""
Stacy,"(coming in with the magazine) Hey, Candace, (flipping the pages) I just realized you added up your score wrong! Your true teen identity is actually the... (Shows quiz in magazine) ""Busting and Crush Obsessed Older Sister Type Who Can't Do Math""."
Stacy,"""Boys are human beings too. (Camera rotates, showing Stacy holding the magazine) If you're interested in one of them, make them feel comfortable by asking him questions about himself."" Okay, they lost me at the ""boys/human beings"" thing."
Stacy,"Candace, looks to me like you're going about this the wrong way. Don't focus on the boys; focus on the invention. If you can find out where the stuff goes, maybe you can take your Mom there and she'd finally see the evidence."
Stacy,"I'm trying to hook up this super-high-def-intelligent-multi-format-entertainment-DVR system. I wanna keep the DVD and the VCR but I don't think there are enough holes. I mean, there's also a pretty serious clicker situation."
Stacy,"Look, the way I see it, you prevented me from going to the spa, almost killed me with a jackhammer, dropped a wall on me, I've gypsum in my hair, and basically wasted my whole day. But you did it for love, so it's okay."
Stacy,"Candace, are you sure you can handle this? (They go out to the backyard.) It took me four days to pry you out from under the bed last time we saw a scary movie. (outside) What? What are you looking at? Oh no."
Stacy,"'Cause someone just IM'd me that someone else heard someone else overhear that Jeremy is gonna call you and ask you out for a special evening tonight! (Both squeal) Candace, do you need medical attention?"
Stacy,"Great! Here we go! (A Doof zombie attempts to stalk behind her, but she pulls the chord and unintentionally punches the zombie unconscious.) Nice! Hooked up a video system and a generator! I am good!"
Stacy,"What? Sweet! It's working. Candace, when you hear the trigger word, um, (cut to poster that says ""Holy Guacamole"") ""holy guacamole"", you will no longer have the desire to bust Phineas and Ferb."
Stacy,"And so begins The Grievance movie marathon. Special edition box set. Oh, yeah. ""Hey, Stacy, didja hook up that whole system by yourself?"" ""Yeah, no biggie. Do it all the time."" Heh heh. I rule."
Stacy,"You can't let fear rule your life, Candace. Jeremy likes you. He's not gonna say no. Now, I'm gonna hang up, and when I do, I want you to call Jeremy. Don't man the phone, girl. Phone the man!"
Stacy,"It's so nice to sit and be responsible for a change. Just...focused, you know? And Candace and I were thinking that, oh, a live musical event might be a good opportunity for us to really..."
Stacy,"(Flipping through a Cockney for tourists book) I'm working on it. Ah! He said ""They were here, they carted away some junk from out back, and, aren't they a little young to be doing that?"""
Stacy,"Relax Candace, it's simple math. Instead of 350 for one hour, we'll just cook this for five minutes at... (punches buttons on a calculator) ...9000 degrees. (Pause) What could go wrong?"
Stacy,"Well, let's see what you gotta do. ""Invent a new ice cream flavor, win a first-grade spelling bee, ride a unicorn, and conquer fear of spiders."" Ha! Good luck with that last one."
Stacy,"Candace, I am tired of taking the backseat to the totally unlikely chance that you will bust your brothers. I want a best friend I can count on. So, you're gonna have to choose"
Stacy,"Hey, look! (Flips the magazine) It says here that Flawless Girl founder, Blanca Dishon, will be at the Mid-Summer's Festival in search of the next Flawless Girl spokes-model."
Stacy,"Oh, good. You know how my mom wants me to take things more seriously and focus on more important things like grades, my future, or becoming a doctor, a lawyer, or a doctor?"
Stacy,"Okay. Focus, focus, focus. You can do this, Stacy. Don't get seduced by the coolness. Wuh-oh. ""Elevator to the coolness""? (Steps on to the elevator) This is so cool!"
Stacy,"What's this? Dancing weasels? (Candace rotates the notepad) Oh, ""busted."" Oh, you want me to bust your brothers. You know, you really gotta work on your penmanship."
Stacy,"I'm coming as fast as I can, Candace! I'm at your house. Now, what kind of emergency are we dealing with? A parent emergency? A Phineas and Ferb emergency? Oh my--"
Stacy,"Listen up, twerps. Just because Candace is sick doesn't mean you can get away with anything. I am now her eyes, ears and mouth. Basically I'm her whole face."
Stacy,(after looking at Candace's text message) Wow! I'm surprised the spelling checker didn't catch that. (at Phineas) I've got to deliver a message to your mom.
Stacy,"No, no, no, no, Candace! This is a bad idea! About as bad as you've ever had in a loong line, and I love you when you say this, really, really bad ideas."
Stacy,"There's nothing to be afraid of. Spiders are harmless. (opens a cage) Look. I'm sticking my hand in the cage. Hello there, little guy. (gets bitten) Huh!"
Stacy,(to the TV) Look out! She's right behind you! (the power shuts off) Ugh! You gotta be kiddin' me! Talk about Grievance interruptus. (gets off the couch)
Stacy,"You know, 1843 when James Braid published the ""Rationale of Somnambulism"" in which he invented the term ""hypnotism"", named after the Greek god, Hypnos."
Stacy,"I miss you, Candace! I miss when we would spend time together, just the two of us. And I bet you didn't remember that today is the Danville Steet Fair."
Stacy,"It's miniature golf! And it's so unbelievably cool! With a windmill and a dinosaur, and – (Candace silences Stacy by covering her mouth with her hand)"
Stacy,"Candace! Did you hear? I won! I actually won in miniature golf! It just goes to show you that if you focus, you can accomplish anything. (Sneezes)"
Stacy,"Candace, I'd love to hear more, and I'm sure I will, but right now I'm trying to finish this documentary on Easter Island. Man, I wish I could go."
Stacy,"Oh, come on, Candace. You're overthinking this. (The cashier puts a watermelon on the tread.) Jeremy'll love anything you make. What's your worry?"
Stacy,Slow down. Remember how you thought Jeremy was with a girl and she wasn't even a she? And then you ended up on that snowboard all out of control?
Stacy,"Okay, so the top three items on the Heather Magazine 11-step guide to be the true emo teen are dark hair, dark clothes, and pencil-thin jeans."
Stacy,(on laptop) I think we were headed into the forest with the Grizzly King. Are you sure you don't wanna wait until you finished your chores?
Stacy,"(to Candace over the phone, reading from a rulebook) While the linesmen may call only obvious technical infractions. (to Ginger) Go away!"
Stacy,"(To the waiter) Two ice teas please. So, Candace, sorry I was so hard on you before. I know you and Jeremy aren't together all the time."
Stacy,"(in her room, talking to Candace on phone) So, how did you d- (Candace screams at the phone) Okay, wh- (Candace screams again) You done?"
Stacy,"Sooo...since you're in busting mode, I take it, my services are not required? (Candace does not answer) Yep, I'm superfluous. (leaves)"
Stacy,"(looks out the window and sees the boys in the backyard) Umm, I'm probably gonna regret this, but wouldn't a giant robot insect count?"
Stacy,"So maybe a pocket knife, or a fishing lure,...or a compound bow. (imitates someone shooting an arrow) Take that, apple on kid's head!"
Stacy,"Candace, ""holy guacamole"" - no busting, ""leaping lizards"" - back to normal. (Snaps fingers and Candace comes out of hypnotic trance.)"
Stacy,"You know, as teenage sub-cultures go, it's not so bad. You just need a new look to match your true teen identity. I'll be right over."
Stacy,"...and I know this neighbor who knows this hair-washer, who knows this bank teller, who knows this back-waxer who works at the spa."
Stacy,Candace! We're about to go on! (cut back to Candace) Where are you?! Candace? (Candace smiles nervously.) Candace?! Are you there?!
Stacy,"Candace, what happened to you? The lecture's over. The gift bags were totally cruddy, by the way. It's just a bag, nothing in it."
Stacy,"And as for diving, you been perfecting that quintuple-somersault backflip-jacknife-swandive for a week now. You're Candace Flynn!"
Stacy,"Alright, look. You're getting oil all over the place. Someone's going to have to-- (Stacy trips, and falls in the pool of oil.)"
Stacy,"Look! The controls are just like the video game! Let's show 'em our mad skills. Woo-hoo! Let's dance, dweebs! (They wrestle)"
Stacy,(emerging from the head with a handful of plungers) I found more harpoons! And I'm gonna pretend these have never been used!
Stacy,"(on phone) Uh, hello? The ultimate bust just falls in your lap and you're not gonna jump at the chance? What's up with that?"
Stacy,"Well, I hope it does do ""it"", because Jeremy's getting huger by the minute. I know because Megan's blog says she thinks so."
Stacy,"(on headphones talking to Candace) I've got the hockey reference manuals, league website, and official rules up and ready!"
Stacy,"So yeah, I get it. It's a huge honor and everything. But come on Candace, why do you really want to be Rutabaga Princess?"
Stacy,"(standing next to Coltrane) That was easy. (they look down and see that they're holding hands, then smile at each other)"
Stacy,"(Glares) No, I don't understand! We've been planning this for like three weeks! It's like four months in teenager years!"
Stacy,You see? Candace level-headed and responsible. She's not a bit worried about what Phineas and Ferb are doing right now.
Stacy,"(from inside) Futons, bouillon, platypus food... (Cut to her, looking in a pantry.) Ooh! Microwave popcorn! Need this."
Stacy,"This doesn't seem right Candace. I mean, four eggs bleated, a big bow, one pound of lamp—I mean that's not even food."
Stacy,"Yeah, I guess if you're going to have an unhealthy mind frame, it might as well benefit me. Now, the mall is waiting."
Stacy,"Oh! I know, Hair bows. They're all the rage this days. Just don't wear any feather-earrings, they're so last Tuesday."
Candace/Stacy,"Yeah!  (The yellow robot's mouth opens to reveal water with a lifeboat, an oar and a couple of fish to come out) Ew!"
Stacy,"Candace? Hey, Candace! Awesome scooter! Hey, wanna come to Slushy Burger with my mom and me? Was that a yes or a no?"
Stacy,Wait... (looks at watch) Now! We're exactly fashionably late! (people talking) We're here! This is gonna be so cool!
Stacy,I just got my little bunny-bear! It's a cross between a bunny and a bear! You get it? It's the most precious thing.
Stacy,"(peeks out from dressing room) By the way, the best part was when you used him as a table. (closes curtain) BUSTED!"
Stacy,"Ooh, a whole day without Jeremy and you're not obsessing about it? Who are you and what have you done with Candace?"
Stacy,"Now, when I snap my fingers, you will awaken with no recollection of being hypnotized. Do you understand, Candace?"
Stacy,"No, no. She likes you just fine, she just thinks...you're, I don't know, flighty and unfocused from time to time."
Stacy,"Jeremy thinks you'll go with him anywhere, anytime, just for the asking. Don't be a lapdog, Candace. Just say no!"
Stacy,"Yeah, I know. I heard it from Christina, who heard it from Jenny, who heard it from Jessie who heard it from you!"
Stacy,"And when you hear (cut to poster that says ""Leapin' Lizards"") ""leaping lizards"", it'll make you return to normal."
Stacy,Wait. Following all over yourself to bust your brothers is exactly what makes you look so flighty and unfocused.
Stacy,"Well, she's forcing me to go to this leadership seminar today, and I'll implode with boredom if I go by myself."
Stacy,"Candace, here, let me get your train. (Holds onto Candace's cape, then hears a loud squeak) Oh, omigosh, sorry!"
Stacy,"Love Händel? That's my mother's favorite band! (phone beeps) Hey, Mom, did you know Love Händel is reforming?"
Stacy,"Hmm, the last step, I forget. Hey, Chad, do you remember what the last step to achieving your goal thingy is?"
Stacy,"Okay, you can stop that right now. You're starting to sound like one of those TV show we like to make fun of."
Stacy,(on phone) AAAAAAAAAAAAAAH!!!! My ticket is in row R!!!! Close enough to smell them!!!!! What did you get?!!?
Stacy,"Candace, why are you acting so nervous? I'm not mad anymore. I'm going to go pay for our drinks. (She leaves)"
Stacy,"Hey, too bad Jeremy didn't order a pizza. Then, you can hang out with him and find out what guys talk about."
Stacy,(on videophone & Angrily) Candace?! What the heck are you doin'?! You're supposed to be playing hard to ge—
Stacy,"Uh, excuse me for a second. (Candace repeats her ""bird call"") I have to go talk to my friend in the bushes."
Stacy,"(Notices Meap, and mistakes it for Candace's Bango-ru) Oh, Candace! Look at it! It's so cute, I could die!"
Stacy,You mean like hieroglyphics? Those were deciphered in the early 1800s after they found the Rosetta Stone.
Stacy,(Quickly and nervously) How should I know!? Why are you asking me!? How should I know!? Don't look at me!
Stacy,What are you talking about? They've been nothing but... Look out! ...nice to us since we got on the bus.
Stacy,"Mom said if I'm going to a grown-up concert, she wants me to go with someone more...grounded and mature."
Stacy,"I don't know, Candace, you're just lucky that bat didn't bite you. I mean, what if it was a vampire bat?"
Stacy,"""Mysterious Force""?, I'm not buying it, I am a woman of science, at least that's what my horoscope said."
Stacy,"(sighs) Then why are we sitting here? (she grabs Candace's hand) Come on Chuckles, let's have some fun."
Stacy,"Okay, to the Internet. (starts typing on her laptop) Here we go. Emos believe everyone's against them."
Stacy,"Candace, this article specifically says not to growl psychotically. It makes boys feel uncomfortable."
Stacy,Snake wrestler? Whatever. You've fought dinosaurs! You've been to Mars! You've traveled through time!
Stacy,"Yeah, but you'd never be able to see yourself in the mirror again. How would you put on your make-up?"
Stacy,"Uh, I was gonna, but the elevator and the slide, and... (Candace slaps her hand over Stacy's mouth)"
Stacy,"The irony is, that as a grown up, you don't NEED to tell your mom. You can just bust them yourself."
Stacy,"I think you look like you just fell off a turnip truck, and then got run over by a rutabaga truck."
Stacy,(she and Jenny walk in) I took the liberty of bringing some DVDs for our party viewing pleasure.
Stacy,You see? That's what I'm talking about; self-righteous flowers? What are self-righteous flowers?
Stacy,"Hey, Candace, look, is that a submarine? (Helicopter whirring) And aren't those your brothers?"
Stacy,"Candace, if you want him to call you his girlfriend, maybe you should call him your boyfriend."
Stacy,"You know, you finally have everything you ever wanted. Call me when you get over it. (leaves)"
