Name,Dialog
Vanessa,"(on another windowsill) Perry? What are you doing here? (Perry joins her) Problems with my dad, too? Welcome to the club. (sighs) I've been trying all day to tell him that I've been accepted by OWCA's internship program, but that I can't join if I'm living with OWCA's public enemy number one. (Perry holds up three fingers.) Okay. Number three. Well, I'm just gonna have to tell him and try to convince him to see things my way. Thanks for the chat, Perry. Wish me luck! (She goes inside and Perry waves at her.)"
Vanessa,"Well, Ferb. You certainly know how to show a girl a good time! (holds up the Pizzazium) I've gotta get this to my dad immediately. (Ferb throws the Pizzazium into the tennis ball launcher, which fires) Whoa! (the Pizzazium bounces and rolls past Doofenshmirtz, in line at the checkout counter, to the entrance of the store; Doofenshmirtz gleefully picks it up) Well, that worked."
Vanessa,"Ugh. I should've known Dad would be late. (the -inator landed over her and picks her up) Oh, what is this? Curse you, unknown rocket-helmet-transportation thing! (the Inator drops her at her house) Oh, sweet, I'm home. Never mind, unknown rocket-helmet-transportation thing!"
Vanessa,"(Is on her cell phone wearing Candace's clothes) I can't believe it, Lacie. I look like a walking candy cane. I mean, how many evil scientists' daughters do you know who-- (She bears drilling from outside.) Hold on, Lacie. I can't hear myself gripe."
Vanessa,"Perry? Is that you? Listen Perry, I'd really appreciate it if you didn't let my dad know that I'm here with the son of his sworn enemy. This is going pretty well and I wouldn't want him to spoil it. Can you help me? (Perry nods) Thanks Perry."
Vanessa,"(angrily) This is what I'm talking about. You're not even listening! (starts walking towards the door, without Doofenshmirtz noticing) I'm moving out, Dad. I'm going to live at Mom's... (walks out the door) full time. (slams the door)"
Vanessa,"Yeah, my dad's kind of an amateur inventor. I think I saw some books over here. (sees books cluttered with lasers on a table) Oh, here we go. Uh, we can just put his other stuff anywhere. What's the name of the book again?"
Vanessa,"Halfway, huh? Hmm. (Ferb looks and sees a flower shop as she's talking) You mean like, maybe I should take an interest in his work? I would but, it's actually evil. I just can't... (She looks to see Ferb is gone) Ferb?"
Vanessa,"Wha- hey! Watch where you're... Oh great, now this thing is broken, and they've got the Pizzazziu... (sighs) Look, (to Ferb) thanks for your help, but I can do this on my own, okay? (runs away with Pizzazzium locator)"
Vanessa-2,"Alright, hold it! Everybody just stop! (opening the animal agents like a door) Excuse me. (to Candace-2) Can I talk to my parents? Listen, Mom, Dad, come here. You guys, I'm only gonna say this once. (breathes) RUN!!!"
Vanessa,"Okay. (closes door) Something's weird here, because I know I only have one of those. Lemme call him and see what's up. Hmm. Voicemail. Odd. Dad, your weird clone-thingies are down here. Could you please just—"
Vanessa,"Well, time to find out where they dragged Dad off to. Guess that car will have to wait. Oh, yeah. Thanks. (kisses Ferb on the cheek and leaves; the floral background and music start up again)"
