Name,Dialog
Baljeet,"Okay, this paper towel represents the space-time continuum. Normally, it moves in a straight line, (he puts the paper towel on a hook) but something has disrupted the flow. Now time cannot move forward and it puts enormous strain on the fabric of time (tears the paper towel) and tears the fabric! So now there is a little less space-time fabric to work with. The days are getting shorter. Now, you take this shortened piece of space-time (puts the paper towel on the hook and tears it again) and loop it again. Do this enough times (crumples the paper towel and puts it in his pocket) and pretty soon you do not have anything left. What I cannot seem to figure out is what could have possibly caused the space-time disruption in the first place? And an even bigger conundrum is how Candace is standing outside of the space-time interruption and somehow knew about its effects."
Baljeet (2nd Dimension),"That's Dr. Baljeet to you. Were you not listening? Here is the crux of your problem. Think of the universe and all of the many dimensions as circular. The energy flows between the dimensions like this, clockwise. Say that this is your dimension, and this is our dimension, you traveled with the flow of energy, so going clockwise would be easy. Going counterclockwise would take 8 million gigawatts of energy, overloading the local power grid. I have prepared a little song to help illustrate my point, (he plays an accordion)"
Baljeet,"Right? Then I started thinking about how important it is to make the right decision on everything! You see, every choice carries with it its own potential timeline. So every decision I make effectively nullifies the possible future! I can't even choose which flavour of ice-cream to order. If I choose vanilla, that may set me on the path to the presidency. But if I have strawberry, I could get hit by a bus!"
Baljeet,"Actually, most would consider dragon-fruit to be that exotic, indeed. (Buford starts to imitate Baljeet) Known for its dazzling flowers, it is actually the fruit of several... (Sees Buford mocking him) What are you doing? Stop. Stop that. Stop. Stop it. Stop. (Baljeet starts drinking his smoothie, and Buford mocks him as well) Stop that."
Baljeet,"Hello, everyone. I was just cleaning my room and I thought I would return some of the things Ferb lent me. Your cowboy hat, your baseball mitt, your banjo CDs, your American flag unitard, oh, and here is your bald eagle. (Gives all the things in order and when Baljeet says bald eagle, it flies away) Oh, and Phineas, here is your sack."
Baljeet,"Okay, everyone. Please return your seats to their upright positions, and please do not panic. As you can see the Paper Pelican is dissolving in water, because it is, after all, made of paper mache. But do not worry, because your seat cushions also function as flotation devices. Thank you for flying with us."
Baljeet,"I signed up for a class called ""Summer Rocks,"" believing it was a geology course. It turned out to be a rock-and-roll camp, and no matter how hard I study, I just do not rock! I could actually get an e- (tries to say ""F"") an- Oh, I cannot even say that terrible letter. ineas! erb! What am I going to do?"
Baljeet,"Now Buford, your mindless bullying may have a rustic charm stateside, but now we are in Europe. A place of high refinement. So let me do all the talking. (They go inside a restaurant and speaks with a man in a different accent) Excuse me, sir. Would you have any used cooking oil that we could have?"
Baljeet,"(growls) That is it! I can put up with noogies, wedgies, wet willies, and even the fact that you apparently have placed a tracking device on, or inside, my person, but I will not tolerate your ignorant decision to take plastic over paper! From this moment on, I am no longer your nerd!! (storms out)"
Baljeet,"Well, that was very entertaining, but that is all the time I have scheduled for. (notices how high they are) Oh, wait. You are already airborne. And I am already still with you. (begins to panic a little) I do not believe this! My schedule is totally blown! I am going to miss my polka recital!"
Baljeet,"W-what? Uh, uh, oh. Thank you. (Flashlight switch flips; Wolf howls) Well, this is a story about a kid who comes to this country, and goes to camp. He, like, has to share a tent with a bully. It's really quite terrifying, actually. Quite terrifying. (Crickets chirp; Flashlight switch flips)"
Baljeet,"NOOOOO! If time stops looping, there will be no big tears in the fabric of space-time and no way for us to get home. We must find a way to get ourselves and that machine through one of the rifts and back into Danville. Then we can push the button and blow up the machine."
Baljeet,"I did. (Clears his throat) We Speckies vow to live in peace and harmony with you Finkies. All that we ask is that you admit that Space adventure is much better than Stumbleberry Finkbat, and that you have brought eternal shame to your families believing otherwise."
Baljeet,(outraged) I do not believe this! I wasted all this time in a class without grades?!? Aohhhhh! If only there were some other kind of outlet for me to express these feelings to my like-minded peer group! (comes to a realization) Pardon me! I want to try something!
Baljeet,"(Narrating) In 1903, my great-grandfather was leading a bicycle race, but he fell into a tiger pit. Years later, my grandfather skillfully avoided the tiger pit, but sadly not the tiger. Then, my father was confident he had outsmarted the tiger, but he was wrong."
Baljeet,(goes over to the dandelion and picks it) Hmm... (drawing on the fence) Two point seven-three-two times ten to the twenty-sixth power of particles. But I could not tell you the exact location of any of them because of the Heisenberg uncertainty principle.
Baljeet,"I was just giving Buford some pointers on collegiate life. Since I've already graduated and have been accepted as a professor, I could pull some strings and get him into my school. Just think, Buford. You could be my student! I would be the boss of you!"
Baljeetolas,"Listen, here is how it works. By observing the swamp, logic tells me that it is too big to go around. And by gathering information about it from Isabel, I can logically make assessments about the best way to get across. Are you following me?"
Baljeet,"Phineas and Ferb, days ago, you helped me build a portal to Mars. Now, I beg you to help me win the Biggest Watermelon Contest at the festival. Help me, Phineas and Ferb. You're my only hope! (Looks around and then shuts off his hologram)"
Baljeet,"Well, first, I would like you to iron all of my books, then perhaps polish my retainer, then you can start my college applications. Massage my toosties. Sew my name onto my underwear, organize my book reports by subject. Ooh, build me—"
Baljeet (2nd Dimension),"(pauses) I know, it needs a chorus. Anyway, without 8 million gigawatts, you would have to go clockwise, the long way around. Theoretically, you would get home, but there is no telling how many dimensions you would have to go through."
Baljeet,"The diameter of the sun can be calculated from the distance between the Earth and the sun. Since we know the time taken for the Earth to go once around the sun, p=1 year, and the distance traveled by the Earth in this process, 2πa..."
Baljeet,"Huh? Oh, sorry. I am too preoccupied with today's wild fluctuations in the space-time continuum. With pressure readings like this, I could potentially get sucked into a rift. And then none of you would remember I ever existed!"
Baljeet,"Okay. (Baljeet makes some calculations.) Right... (pointing on a map) There! In fifteen seconds, that is the point of maximum disturbance! So it should be appearing right over...there! (A groundhog gets sucked into the rift.)"
Baljeet,"Actually, I can think of many things I can not do. Flying comes to mind. Also putting my foot behind my head, but it occurs to me that you're speaking hyperbolically. So point taken, Greg LeMond! I'm going to win this race!"
Baljeet,"I have! You see, the greatest impediment to making astronomical observations, is our atmosphere. It is like looking through pea soup! So to make our terrestrial telescopes more effective, I am going to take all of the Earth"
Baljeet,"Because today is the Tri-State Area Unification Day! I learned all about it in Assimilation class. You see, the Tri-State Area was the bi-state area until our founder, the great John P. Tristate, uttered the immortal words"
Baljeet,"We're going to the circus! We're going to the circus! (Cut to the kitchen, where Phineas, Ferb, Isabella and Django is eating Pow cereal... aside from Buford) I am here and ready to go to the world-famous Cirque de Lune."
Baljeet Replicas,"(All at once) He is always giving us a hard time...He says he is our friend! Would a friend steal your bike?! To be fair, he stole everyone's bike...And what about the time he drank all the water out of our fish tank?!"
Baljeet,"Actually, you did, too. Since our planet's orbit of speed around the sun is 67,000 miles per hour and you are on its surface and speeding around the sun as well. (Buford spins the hat on Baljeet's head.) Quit it!"
Baljeet,Yes. They do a tail-wagging dance to alert others(?) to a source of food. (in background) The waggle explains the angle to the destination in relations to the imaginary line from the sun to the door of the hive.
Baljeet,"Wrong. It is very primitive and aggressive. We do not want to meet it here. (shows gazelles that look like Phineas and Ferb running away from the id) Obviously, you see Phineas and Ferb as some sort of prey."
Baljeet,"Technology like that is twenty years away; you will need a time machine. Luckily, I have been working on a design. I have no field about all the quantum physics yet, but if you give me a couple of days..."
Baljeetolas,"I have an idea. I think I have a way to get you across this swamp. I have been working on a way of solving problems by the process of deriving reliable generalizations from observation. I call it ""logic."""
Nerdcrow (Baljeet),"I am a nerdcrow. I hang in cornfields, wedgie-style, to keep the crows away. They would not be caught dead anywhere around me. For you see, despite of my above average mathematical skills, I am not cool."
Baljeet,"Based on his extensive history of malapropisms, I would say that he is talking about the Chupacabra, the Latin American goat sucker, that is said to haunt the deserts of Mexico and South-Western America."
Baljeet,"Useless Shoelace Facts, Volume 8. ""The plastic or metal tip on the end of a shoelace is called an... aglet. A-G-L-E-T. It is one of the most useful, yet tragically ignored inventions in all of history""."
Baljeet,"Well, they must have disappeared through a temporal rift. If we could calculate the location of the next rift, we could just throw in a rope with a life preserver tied to the end of it and pull it out."
Baljeet,"Yes, but now I've got to write her back in a passive way that makes her think it's really her idea. She is trying to manipulate the situation. (He takes another bite of his sandwich) It is how we love."
Baljeet,"Oh, Buford. (Buford gives Baljeet a tennis ball and a black marker.) Perhaps this will buy us a little time. Frozen waffle, please. (Buford gives him a frozen waffle with a bite mark out of it.) Ugh."
Baljeet,(Sarcastically) And spoil my carefully calculated air of selfishness and unconcern? Not until the last second thank you very much! (Baljeet and Buford sail away leaving the rest of the group behind)
Baljeet,"No can do, Phineas. I am taking an eastern Indian cooking class. We are going to make goat vindaloo. If we can ever find a goat. (goat brays offscreen) Oh! There is one now. Gotta run! (runs away)"
Baljeet,"And it is so simple! I can use an ion coupling device to attract each atmospheric molecule to the second greatest gravity source, which in this case, is the moon, and after the initial impact..."
Baljeet,"...and at the destabilization point, the vortex collapses in on itself, and it becomes an actual ""hole"" in space-time, sucking the nearest person or object into it and they are lost in the void."
Baljeet,"But all I have is a dollar. (He notices that the machine takes bills) Oh. What do you know. (He tries several times to get the ride to take his dollar, but the machine won't) Hm. Oh, come on."
Baljeet,"I, too, have a question. If I miss the third shuttlecock with my rubber chicken, does Buford have to jump over the chokecherry bush before or after the girls finish peeling their tangerines?"
Baljeet,"""Ah, ah"" yourself. I am going to win this race! Oooohh! I am tasting victory! It is sweet as... (Greg LeMond quickly passes him) Greg LeMond? I thought you were supposed to be motivating me."
Baljeet,"No! There is always a way! Isabella teaches the emergency preparedness class for the Fireside Girls. She could build a generator in her sleep. Is that not right, Isabella? (who is not here)"
Baljeet,I have an idea. (Wipe to him later on) Phineas and Ferb made me this 3D projector. I can project one of their projects right into the yard here. Your brother will think they just built it.
Baljeet,"Well, I got kicked out of summer school because my grades were too high. But then I heard about this place. Sure, they break you down and strip you of your identity, but school is school."
Baljeet,"Well, I got kicked out of summer school because my grades were too high. But then I heard about this place. Sure, they break you down and strip you of your identity, but school is school."
Baljeet,"It looks like the next anomaly will appear any second now. I am working on the exact coordinates, but there is significant interference. It looks like there may be multiple rifts coming."
Baljeet,"So after hiding in the bathroom, I jumped out the window and came over here as quickly as possible. I do not even know how to act in front of a girl! I do not even know what girls like."
Baljeet,"Oh, no! The portal is broken! Ooh, now I will not get a good grade at the science fair tomorrow, and, uh,... there's also the issue of your sister stranded on a distant, barren planet."
Baljeet,"Ghosts, there is no such thing. Look! My EMF readings are three milligauss. Normal background radiation. And when we point it at the room, it is also... Well, that cannot be right."
Baljeet,"Well, let us see. (transitions to Eiffel Tower) Oh, this is from the time Phineas and Ferb built a full-scale replica of the Eiffel Tower. I will hide the projector in the bushes."
Baljeet,"(offscreen) HEEELP!!! (Runs onscreen) Help! Phineas and Ferb, and to a lesser extent, Buford! I am having an existential emergency! I find myself incapable of making decisions!"
Baljeet,Your blueprints are 97% accurate. But you accidentally placed a cosine where you needed a quadratic differential! (laughs) Not to worry. I fixed it. I will send an attachment.
Baljeet,Buford! You're completely disrespecting this classic song. You're ignoring the historical context! King Wenceslas was a great man. You have no idea what this song is about!
Baljeet,"(Seeing Buford fall) Oh no! Buford is in trouble! I must do something! (He goes to a man selling balloons) Please, my bully is in trouble, let go of all of your balloons."
Baljeet,"This place must exist outside the flow of time. Candace, you were the only one of us outside the loop. Were the looping intervals decreasing in chronological amplitude?"
Baljeet,"You are missing the point! I would not know that I chose strawberry I would get hit by a bus, I am just saying that every decision we make has unforseen repercussions!"
Baljeet,"(in a deep voice) Hey, guys. (he coughs and returns to his normal voice) Oh! Something was caught in my throat. So, still trying to figure out where to go to school?"
Baljeet,We are so privileged to be in this strange and beautiful place. To think that the greatest mind in history have been searching for Atlantis for thousands of years.
Baljeet,You will be most gratified. (Buford walks in) As long as you find insignificant bags of peanuts gratifying... (slaps himself) Welcome to Wedgieville. Population
Baljeet,"(Holding a plastic dummy that looks just like him) Thank you. Thanking you much. So little Jeet, I hear you went to New Delhi. And did you try the chicken club?"
Baljeet,"I know this goes completely against all logic and therefore makes it totally out of character for me to say, but I think you may have been cursed with bad luck."
Dr. Baljeet,"Well, since the Phineas and Ferb from the first dimension suggested we make the most of our summer, Buford and I have been experimenting with fun, and so far..."
Baljeet,"No, that is Venus. And that is Earth in prehistoric time. (Gasps, yells) Change it, change it, change it! Hey, look, it is us in the future fixing the portal."
Baljeet,"(runs up) Phineas! Ferb! I saved Buford's life, and now because of the Bully Code, he is my personal servant! It is driving me crazy! You have got to help me!"
Baljeet,"Well, we have to build something to close the hole and stop the looping.  But it will require einsteinium, tungsten wire, and micro-crystal plasma resistors."
Baljeet,"No! I moved polka back so I could answer your question! It would take some major rearranging, but I think I can at least come and watch you make the bubble."
Baljeet,"(After ironing his dollar bill) Okay, dollar, this is your last chance. (The ironing table goes off; Baljeet kicks ride in frustration, the ride goes off)"
Baljeet,"Plot all you want, I have my eye on you! No one will be able to stop me from stripping away the Earth's atmosphere! Oh, the things I will be able to see!"
Baljeet,"(looks away from Ginger) In a minute. (Turns around) So to continue, the figure eight and... (Notices Ginger has disappeared) Awwww, annnnnd we are back."
Baljeet,"(looks away from Ginger) In a minute. (Turns around) So to continue, the figure eight and... (Notices Ginger has disappeared) Awwww, annnnnd we are back."
Baljeet,"I am not mechanically inclined like the two of you. To truly understand my predicament, I feel it will be best expressed in a song. (Claps hands twice)"
Baljeet,"Aww! I got you in my tractor beam! (starts pushing buttons) Time to strip the atmosphere from our planet, and allow an unobstructed view of the cosmos!"
Baljeet,"Radius times the angle of rotation, taking into account wind velocity and humidity! (He throws a piece of vine, capturing Buford by his ankle.) Brains!"
