Name,Dialog
Buford,"I'm gonna do some prop comedy for you, and you're gonna like it! Okay, what have we got? (reaches into the box and gets a house) Here's a...here's a house. For, uh...I don't know. A mouse or something. (drops and breaks house; gets a book from his box) Here's a book. Hey, what am I...what am I supposed to do? Read? (throws book) Next! All right, let's see what else we've got! Um, and here's, uh, um... (gets out an oyster shell) An oyster shell, look! My...my mom went to a seafood restaurant...I don't have any...it's just...to me, it's just interesting. I'll put that one back in the box. (puts shell back in box) What else we got? Oh, here we go. Look! (pulls out Baljeet) A nerd to go with the book!"
Buford,"Yeah, they weren't selling anyway. Not on my watch. (Another beam hits the helium tank, and it floats away) Ah! The helium tank! Actually it's kinda ironic when you think about it. (Buford sees another beam heading towards him, and in slow motions blocks the beam with his body) Not on my watch! (He begins floating upward) Yes! The human shield tactic never failed. (He notices his shoe laces are caught on the tooth) man, I knew I should have hung onto that laser."
Buford,"I do! You see, for generations and generations, the Van Stomm family has been the guardian of the secret knowledge and protectors of the mystery capsule. We made the thirteenth-century Templars look like a bunch of wusses. And throughout the ages, our family has pledged our lives to conceal it from the unenlightened. And in doing so, we were entrusted with the only key that can unlock the capsule secrets."
Buford,"Yeah, we met, in Paris. (He flashes back) It was a year ago, and I was taking in some of the local color, when I saw her, Brigitte. She was a beautiful french girl, and I was an ugly American. Which of course holds a certain mystique. With her I completely forgot myself. I read poetry, I wept at beauty, I clipped my toenails. For Brigitte, I even learned to speak the language of love, French talk."
Buford,"Nah, nah! Don't try to confuse me with your sorcerous ways. There's nothin' I've ever seen that would make me believe you could pull this off. Except for that time-machine thing, and oh, and the rollercoaster! But other than that, nothin'! Oh, and the time you played that song when the platypus came back, oh... Man, nature just bends to your will, doesn't it?"
Buford,"It was easy actually. A lot of the root words are the same in Latin. But I can't let anyone know I have a heart, it'll ruin my tough-guy image. And believe me, the irony is not lost on me in this suit. Aw man, don't you see, if I get all gushy now, I'll be totally exposed! I can't stand it! (He pushes Baljeet aside, and flees the cage)"
Buford,"After that, I became the bully. And I wasn't afraid of anything or anybody. Except, you know, maybe a giant squid, cause-- Come on, those are freaky, right? All suction cuppy and beaky. (Waves splashing) But then, today...Biff and I decided to go for a swim. After a while, I couldn't hear him anymore. I got worried."
Buford,"Aw man! Random green rays from the sky! I forgot about random green rays from the sky! Oh, no, not on my watch. (Buford throws assorted objects in the path of a green rays) Oh, man, I've run out of conveniently placed objects. Bingo. (Buford runs, and grabs Irving's helium balloon) Coming through!"
Buford,"I'm sure you're wondering why I, Buford, have taken a leadership role in such a geek-centered enterprise. Well, take a look around! This place is crawling with nerds! I'm like a kid in a candy store! Plus, I relate to the character of Odaf Underhump and his complex emotional inner journey."
Buford,"(Still floating on the balloon, and seeing the Tri-State area) Wow, it's all just one, big place. No Bi-State area. No Adjacent Area, It's all just one big Tri-State Area, right over there! (The string he was holding onto rips off the balloon, opening a hole on the balloon) Mamma!"
Buford,"You know I kind of like to sit back and relax after all that manual labour. (The floating effect wears off of him and the other objects hit by the -inator) Uh-oh. (He plunges downward) Ahhhhhh! I've got a song about how Van Stomms fall from the sky too, but, it doesn't end well."
Buford,"(Cracks his fingers) Excusez-moi mon bon monsieur. Auriez-vous par hazard un soupçon d'huile de cuisson que nous pourrions utiliser sans nous démerder un sou? (Excuse me, good sir. Would you by chance have a touch of cooking oil that we could use without losing a penny?)"
Buford,"Well, excuse me, but that adjacent area was founded by my great-uncle Otto H. Adjacent! He didn't wanna be no part of no Tri-State Area unification, and neither do I! The blood of Otto H. Adjacent runs through these veins, and blood is thicker than water! (leaves)"
Buford,"(demonstrating how to add in the picture, tilting the game controller and wildly pushing buttons) And then you do this, and this, and this and this and this and this and this, and this, and this, and this, and this and this, and then this and this, and then that."
Buford,"Oh, and I made gourd helmets, by the way. (Buford starts giving the gourd helmets to his friends.) Here. Here. No, wait, Baljeet, this is yours. Phineas. I like to think each individual's gourd helmet captures their unique essence in some way, you know, in gourd."
Buford,"Yeah, I bet you! And if you lose, you're gonna have to stand up in front of everyone and say that you are governed by the laws of physics and summer's not whatever you want to make of it. And what's more, you've gonna spend the rest of your summer doin' nothin'!"
Buford,"(He sighs heavily) Oh, Brigitte, I've spent years building up my tough-guy street cred. I can bounce back from the fuzzy bear suit, but being in love with a beautiful, sweet, exotic girl like yourself... If people found out about that, my image would be fini"
Buford,"That's good, 'cause I've still got ya number! Or would that be 'numbers'? (Candace enters, grabs both Baljeets and leaves) Hey, Baljeet, which one would be grammatically correct? (Gasps as he suddenly notices that both Baljeets have disappeared) How rude."
Buford,"No, no, no! Ohh, I actually thought we're gonna make it! I thought we were gonna do the impossible. For one shining moment...summer was whatever I wanted to make of it! Wait...this is my house! Hold on one second! I'm givin' everybody back their bikes!!"
Buford,"I don't see what everyone's so worried about. I got this system, see? You act any way you want all year long, but then right before Christmas, you do one big act selfless act of kindness and Santa will wipe your slate clean. Works like a charm."
Buford,"(voiceover) ...Alexander the Great was vacationing in Gordium, when he came upon a celebrated oxcart that was tied to a post using a knot that was so complicated, it was impossible to untie. So he just sliced it in half in one bold stroke."
Buford,"Like I said before, losing to a girl doesn't count. (gets zapped by Doofenshmirtz's -inator) What I meant to say was I had a wonderful time. I guess you were right. Girls are just as good as boys. Thanks again. Woo-hoo! The F-Games rock."
Buford,"And you might wanna rethink that! I mean, it would be a shame if this double-dutch chocolate mocha espresso you've been drinking, were to, say, I don't know, splishy-splash all over those prissy-clean lab coats you've got back there."
Buford,"It doesn't matter anyway! Sooner or later, they're gonna figure out we're in here and then they're gonna come in here! They're gonna come in here and they're gonna come in here and they're gonna come in here and they're gonna—"
Buford,That was amazing! I never thought quilting could be so much fun! Think of the possibilities! Needlepoint! Embroidery! Tapestry! I'm headin' down to the fabric store right now! (walks away) Broquet! Taffeta! Saddle stitch!
Buford,"Guys, can you settle an argument for us? Preferably in my favor? If a vegetarian becomes a zombie, would they start eatin' people? (referring to Baljeet) Mr. Smartyunderpants thinks they just keep eatin' vegetables."
Buford,"(walking over to Phineas and Ferb) Yeah, it's pretty mega, but is it really grand finale material worthy (hugs Phineas and Ferb) of these two guys? (pausing and realizing what he did) I just made it weird, didn't I?"
