Name,Dialog
Doofenshmirtz,"Oh, it's you, Perry the Platypus. (Perry presents him the coffee cup.) What? Oh, for me? (He takes it.) Oh, that's a nice gesture, thanks. (Perry walks inside.) A-and you even used the doorbell instead of just crashing through, like you usually do. Alright, really appreciate this, Perry the Platypus, 'cause you know, money's a little tight lately, I can't even rub two nickles together. (Cut to Perry standing on a white patch of floor, he continues offscreen) Although if I had two nickles, I don't think I could sit and rub them together. (While saying this, Perry stares at the screen, then eventually sinks into the floor.) Oh, oh yeah, you're trapped, Perry the Platypus, (Cut to him) it's quick hardening, non-dairy creamer. Like I said, I'm on a budget. I know what you're thinking, Perry the Platypus, how could this happen to such a (Close-up of a stern Perry, he continues offscreen) withed guy like Heinz Doofenshmirtz? (Cut to him) Well, my ex-wife Charlene is out of the country on one of those...Extreme Eco-cultural Exploration Vacations. I -- I don't know what they do on those trips, but I imagine it's (crossfade to a still image of Charlene zip-lining with money flying out of her pocket, he continues offscreen) very expensive. (dissolve to her kayaking) Ugh, she's got some nerve! (cut to her hula dancing) That's -- that's my alimony she's throwing away! (cut back to he and Perry, he's showing him the images on his phone) And the worst is, she keeps texting me these pics! (puts it in his pocket, it beeps and vibrates) Oh, come on, really?! (walks offscreen) Anyway, the problem is I've already spent this month's alimony on my new -inator and -- (cut to him walking towards his new inator) and now I don't have enough money left to send Vanessa to the Grievance movie marathon she wants to see, and they're playing all the Grievance movies in order. They've got The Grievance, they've got Grievance 2"
Doofenshmirtz,"Take a rest! I figured you'd be exhausted after breaking all those doors. I-I even put a mint on your pillow, and everything, though, I guess it's probably just stuck to the back of your head now. Sorry about that. So, let's talk about pretzels. You see Perry the Platypus, when I was younger, (Doofenshmirtz flashes back) I did a summer internship at Master Drakkenblad's Pretzel Palace, He was the biggest pretzel wizard in Drusselstein. His disproportionately delicate hands, could turn any dough into a masterpiece. But even after months, my pretzel still lacked, polish. No matter how hard I tried, my work was never good enough. I don't know why he was such a stickler, I mean it's a knot. What difference does it make as long as you can't untie it? It's a knot! Anyway, I was declared unworthy. (Doofenshmirtz's Flash back ends) So now I despise pretzels. And any pretzel related entertainment. And now Danville is having it's own Pretzel Festival! Can you even imagine how angry that makes me? Can you imagine? No? Angry enough to create the De-Twist-inator! We'll see how festive they feel after I turn all those stupid pretzels into boring straight tubes of baked dough, like-like breadsticks, which I also have a problem with, but I'm dealing with one neurosis at a time. And then, when I've straightened all their precious pretzels, I will waltz in, and take over the Tri-State Area. Yeah, I know it doesn't quite follow. I mean I even made a venn diagram. (He hold up a venn diagram, with to circles, not intersecting at all) See, the-the pretzels are here in this circle, and we're talking about taking over the Tri-State Area here, and... Yeah, no intersection, nothing. Hmm. But I'm gonna work it out you'll see."
Doofenshmirtz,"Oh for crying out loud! (Takes the hot wings) Fine. Okay, what was that? 15 bucks? All right, here's 10, 11, I got more here. Hold on. 1, 2, 3, 4, there! $15! And don't forget your tip! (Presses a button on the steering wheel, activating a diving helmet trap. He chuckles) Pretty good, huh? (Camera zooms out) So, Perry the Platypus... (Bites off a hot wing) I bet you're wondering why I'm sitting down here at the bottom of a lake. Well, the answer is simple. Mmm-mmm! This is really good, man. You want some? (Takes a box with the red wings) Here, here. (Perry takes a hot wing) Take the blue cheese. (Perry takes the blue cheese and pours it on the red wing) Do you know, I-- I prefer the ranch. Take the blue cheese. (Perry bite the red wing, and Doof holds up a napkin) Here's a napkin. (Perry takes the napkin) Anyway, the answer why I'm here is simple. Zinc. Lake Nose has a ton of zinc, and this machine goes around and filters all the zinc from the water. (Camera zooms out, showing a zinc tank) See, see? Zinc! So I figured I'd go around collecting all the zinc, and then use that zinc in some evil way to rule the world! You know, with zinc. Just think of the evil uses that off with zinc! (Pause. He looks around) I mean, seriously, can you think of some? Cause I got nothing. (Walks to a chart) I mean, look at here with all the good uses for zinc. Huh? All this good stuff, and over here? Nothing. All I got is ""Some evil ""Zinc Ray-Inator"" or something, and, and look here! I wrote ""Big laundry"". I-- I don't even remember what the reason was, so I assumed I remembered some big genius Idea. Big laundry. (Deep voice) Big laundry. (Normal voice) I, it-- It's crazy! I'm a crazy person."
Doofenshmirtz,"(Speaking very rapidly) Gotcha. And you don't even know it yet. That's the beauty part. Watch this prolonged series of unnecessary events. (Doofenshmirtz launches a kangaroo, causing a ball to roll down a flight of stairs, through a tube) W-w-w-watch this. (the ball causes a car to drive into a target, launching an anvil into a catcher's mitt, dropping a cage on Perry) Yeah, yeah, yeah... Yes! Ha! I win! I know it's a little over the top, but I was inspired by this board game I love when I was a kid. Well actually, it was Roger's board game. But I would sneak a peek of it, through the keyhole of his door. You know it looked like I would love it. But, I borderline backstory. (He takes a few short breathes) You see, I have so much evil energy from the soy venti latte extra-caf-and-a-half quadruple sugar, blood pressure bomberino. Love it! So I spent the whole morning building this complex, giant version of the game. Really I surprised you didn't see it flying in. Okay, beholding time! Behold my Luff-Flex-Dill-Pickle-inator! What does it do, you ask? (takes out a screen) Well it will launch all of my enemies into orbit, and keep them floating there so far into the atmosphere, that they won't bother me anymore. Cool, huh? Yeah I know the name's a little weird, but hey, I bought it off the internet, and my rights to it expire tomorrow, so I was kinda forced to use it today. I have so much energy from that one cup of coffee, I just keep rambling-- (Perry hops out of a hole in his cage) Ooh. you know that trap was always the lamest part of the game. I always though-- (Perry attacks Doofenshmirtz)"
Doofenshmirtz,"(to Perry) Hehheh, I think we lost him, you can slow down now.(Perry stops near a lake) I just said ""slow down"", I didn't say ""stop"". What are you looking at? (Perry stares out onto the lake, a determined look on his face) Oh no, we are NOT going- (cries out as Perry pulls him into the water) Hoo! That's cold! (Perry continues swimming downwards, Doof continues talking with his head out of the water) Wow, you're like a little motorboat there, Steven. (exclaims again as Perry pulls him in once more, Liam arrives at the lake shore, we see him putting on his gear, all of which is platypus-themed. Liam jumps into the water, he takes out a kind of slingshot boomerang and fires it at Perry. Perry sees this, and quickly digs up a large flat stone and uses it to shield himself, boomerang bounces off. Liam grabs Perry's tail, but lets go when Perry swipes him across the face with his ankle barb. Perry and Doof resurface) Wow, Steven, that was sweet! You've really good at that-that barb thing. (Perry suddenly notices something downstream and starts swimming upstream) What? Why are you turning around? Don't go back that way, that put-me-on-the trophy-wall guy is back there. (comes to a water fall) Oh, I see, a waterfall. Just in time for commercial. Isn't that convenient. (Both Doofenshmirtz and Perry go over the waterfall and start falling) What's that all about, anyway? It's not a clifffaller, it's called a cliffhanger, and here we are, falling, and-watch watch watch, here we go, wait, look, yup yup see? There you go! Fading to black!"
Doofenshmirtz,"Perry the Platypus? No way! What a coincidence! (to the person behind him) Excuse me, if you and your mullet would just take one step to the... Thank you. (to Perry) Oh, look! You brought your little dog, too! How cute! Oh, FYI, I don't think they allow dogs in here. So, y'know, watch out for that. Anyway, I bet you're wondering why I'm in City Hall, right? Well, I plan to go down into the secret City Hall vault and steal the— Oh, y-you know that, right. (huffs) Right, right, of course. That's probably why you're here. To stop me, right? (opening his box) What you probably don't know is how I will get into the vault without being noticed. (takes out an inator helmet from the box) Behold! My Blend-Into-The-Background-intaor. I will be able to search the vault and steal the hidden deed, because, like they say, it's easier to find a hidden object when you're hidden as well. Right. Th-Th-Th-That's the thing. They say that. Anyway, (puts helmet on) I place the inator on my head, like so, I press this button and, now I'm here (disappears) and I'm blended in (becomes visible again) I'm here, (disappears) I'm gone! (reappears) I'm here, I'm go— Oh, my head! I hope there's no long-term damage from this, but—ugh! Anyway, I bet you think I forgot to trap you. Well, surprise! You're already trapped...by bureaucracy! You see, you don't have a number, Perry the Platypus, so by the time you and your little dog get into the archives, I will already be ruler (disappears) of the Tri-State Area!! (He laughs and exits)"
Doofenshmirtz,"Just a minute, I'm mopping. (opens the door) Oh, hello, Perry the Platypus, long time, no see. Say, that was some morning we had, huh? Too bad about Major Monogram, but the show must go on or a bird in the bush, eh-eh, I dunno. (Perry gets trapped in hardening foam.) Ha! You like that? It's a gift...foam-a me to you! Get it? As much as I like our little visits, you didn't need to come over. Actually, I'm not even trying to take over the Tri-State Area today. Y-You see, I have a problem. I am very fair-skinned. I don't know if you have noticed. I always have to use SPF 120 sunscreen even on a cloudy day or I'll burn. I mean, I'll actually burst into flames. And I got this whole crate on sale, and, and look, it's all 110 SPF! I thought I was getting 120! This is not gonna work. So rather than return this whole mess, which means I'd have to get in the car, drive down there, wait in line, then answer a bunch of questions about the delicacy of my epidermis, I'm just gonna move the Earth away from the sun just enough that the 110 will work. Simple. And to that end, I have created, tada!, my Shift-The-Earth's-Position-Further-Away-From-The-Sun-inator! Eh? I know. The name's a little cumbersome, but it's basically a tractor beam that uses the mass of Jupiter as an anchor to pull the Earth just slightly away from the sun to render my sunscreen effective. Eh. I guess my fortune cookie was right. I do tend to overcomplicate things. (picks up fortune) I wonder if that means these lottery numbers are--"
Doofenshmirtz,"Oh, Perry the Platypus, I was hoping you would come. (Perry points at the chains) Wh-Wh... this? Yeah, I had to place myself in restraints. There's a perfectly good explanation though. It all started a couple of days ago, when I declared war on grass, i-it's not important why exactly. Le-Let's say grass got on my bad side. Grass and me, we're on the outs, big time, so I got myself a cow, the natural predator of grass, it was slow going. What I needed was cow that was motivated not by hunger, but by a powerful hatred of grass like, like my own. Burning antipathy, so I invented the Mind-transfer Inator to give that cow a piece of my mind! (zapping sound) And as it turns out, cow brain? Not a lot of room in there for new ideas. That would have been it, but I started having these gaps in my memory. I had a strange craving to lick salt and I found myself watching the nightly farm report and the Pasture Channel way more than usual. . . I-I began to get a sense that I was not quite human anymore, which is-which is why I'm in the restraints and actually it stinks 'cause tonight's Halloween, you know, that's totally my thing, you know, the only holiday to celebrate evil, and here I am in these... Oh no! (He starts transforming into a Were-cow) It's happening again! It's happening! Argh! (Totally transforms into a Were-cow) Mooo! (Takes out the chains and watches Perry, he takes out a rope to catch him) Moooo! (Doofenshmirtz transformed into a Were-cow escapes and Perry follows him) Moooo!"
Doofenshmirtz,"Thanks, Cheryl! (to the viewer) My real estate agent. (to Perry) So, my evil plan. As you may know, the Montevillebad Grand Prix is a goodwill event with all the prize money awarded to the winner's favorite charity. So, I entered the race for my favorite charity, Doofenshmirtz Evil Incorporated...namely me! I'm the Doofenshmirtz...in Doofenshmirtz Evil...Well, you get it. And check it out! (Shows his race car on the monitor.) I've re-engineered my Boomshlaka 320-I to meet the Grand Prix specs. I also added some extras that should take care of, like, 99% of the playing field. But then there's still that 1%, Paolo Vanderbeek. But, uh, I got something else to take care of him. Behold, my I-Don't-Care-inator! (beat) It's not that I don't care. It creates apathy in whoever it hits. It's a little esoteric, I know, but, trust me, it'll work. I'll just zap Paolo with this baby and suddenly he won't care about anything and, uh, least of all, racing. I'll turn the King of Care into the King of I Couldn't Care Less, which will pave the way for me to win the race and the prize money for my favorite charity, which, I think I said before, is me. Now, before I go, lest you try to escape, I'll show you one more feature of this place. (He presses a button that says ""Shark Tank"".) Look, it's got its own shark tank! (laughter) (Cut to Norm wearing a rocket helmet. Doof straps into a seat on the robot.) Okay, then, I'm off to the races...literally! (Norm launches.) Hasta la pasta, baby!"
Doofenshmirtz,"Ah, Seattle. My home away from home. And to think, Perry the Platypus has no idea. He's, he's completely clueless about my little excursions up here. Ha, ha. That poor, blind, trusting pla- (Doofenshmirtz puts down his paper and sees Perry outside in the rain, staring at him. He runs to the ""Dudes"" room, where he sneaks out of the window and grabs an umbrella. However, Perry is outside the window waiting for him) AH! I'm not here! You are not seeing me! (Doofenshmirtz begins to run away, but falls face-first into a ditch) Oh Perry the Platypus, how long have you been... and look at that, it's, it's Peter the Panda, my ex-nemesis, what a coincidence, huh? (Perry turns to Peter, and then looks back at Doofenshmirtz, annoyed) I mean what is he doing here, in Seattle... his... hometown? And look he's got, he's got two coffees, one of which for sure, is not for me... it's not mine... (He moves his hands upwards, and in the process knocks some loose dirt away from the side of the ditch, unearthing the container of cutonium) because mine's right here. Look. See? (He drinks the cutonium) Ugh, ugh, that is not coffee. (As soon as he drinks the cutonium, Doofenshmirtz shrinks and becomes cute. Peter drops the two coffee cups in shock. Doofenshmirtz soon realizes what has happened) That's just great. What kind of a world are we living in, where a guy can't down the contents of a mysterious urn found in a trench, without undergoing major physical transmogrification? Really?"
