Name,Dialog
Linda,"(Camera cuts to show the giant billboard with Sergei the Snail on it in place of Perry. Throughout the next line, Candace turns and sees it, her mouth drops in horror)It makes me want to run right out and buy some tools. (at Candace) Now, if you'll excuse me, I had better get back to the attic before your father blows up another pair... (Inflatable legs burst off camera) Oops, too late. (runs off) I'm coming, dear! And I have the patch kit."
Linda,"(putting a burnt pie on the floor by Perry) Oh, here you go, Perry. (Perry unwillingly sinks his teeth into the pie) I burnt another one. (Shot of Linda as she takes her oven mitts off. She looks rather baggy-eyed.) I guess that's what I get for staying up all night. Unless I get my act together that means plenty more for you, Perry. (Perry gets a look of shock on his face.)"
Linda,"He does need the exercise. Well, I'm heading to the store to pick up some things for dinner. I'm thinking spaghetti and meatballs, or a spaghetti-meatball. That's spaghetti and meat mixed up into a big ball. It's less of a choice of foodm than a choice of shape. Don't forget to bring a doodie bag for Perry! (leaves)"
Linda,"Oooookay....Uh, thanks, hon. I—Oof! (She bumps into a jacket and a fedora drops onto the potted plant revealing itself to be none other than Planty the Potted Plant himself!) Oh, how cute! My new plant looks like a little secret agent! Huh. How about you guard this alcove, Mr. Secret Agent Plant. (giggles)"
Linda,"Oh, honey, I see it! (The rare bent-bill knot-hatch is shown to be on top of Candace's head) Don't move. Hold still. (Linda takes a picture) Got it! Oh, Candace, I wouldn't have seen it, if you hadn't grabbed my forcibly, and pulled me out here. Thank you! So, you kids want some dessert?"
Linda,"Don't be silly, Candace. She's just a little girl. How much trouble could she be? (Sees Phineas and Ferb under an out of control sprinkler) I see you've discovered the broken sprinkler. Yeah, I'd better get to the hardware store! It's beginning to look like Niagara Falls out here."
Linda,"Candace, I don't know what you kids are doing, but I'm taking an online knitting test in a few minutes, and I need it to be quiet around here. (sarcastic tone) You might not remember quiet. I'm not sure you two ever met. Anyway I'm putting you on noise patrol. You're in charge."
Linda,(getting up with her purse) Which means back to school errands for me and making the most of the day for you. (looking at her watch) Ooh! I better get a move on. Those errands aren't gonna run themselves. (chuckles) They never do! (unenthusiastically) They never do. (leaves)
Linda,"Oh, Candace. All the times I called you delusional and mocked you to my friends behind your back, all those journals I've filled with an eye towards stand-up comedy...but you were telling the truth! I'm so sorry. You're the best daughter any mother could dream of having."
Linda,"Oh, Candace. All the times I called you delusional and mocked you to my friends behind your back, all those journals I've filled with an eye towards stand-up comedy...but you were telling the truth! I'm so sorry. You're the best daughter any mother could dream of having."
Linda,"(standing up) Oh, these teenagers and their slang. (walking towards the open garage door and Candace notices something about her) I'd better go run my errands. They're not gonna run themselves. (turns around and grabs her purse, revealing she's wearing cargo shorts)"
Linda,"Mostly worms and insect larvae. (Candace/Perry starts to barf then Linda puts her outside) Oh, Perry! Now I have to get the carpet cleaned again! Hey, maybe I lost my earrings while folding Candace's laundry. Why don't you help me look while you wait, Jeremy?"
Linda,"Oh, another reject. Here you go, Perry. (turns around) Oh, there you are. What're you doing up there? (she sets the pie down and picks up what she thinks is Perry) Oh, it's a bag of bread. Haha! Oh, (rubs eyes) I've been up so long I'm starting to see things."
Linda,"Hey hon, I was just reading this article about mothers and daughters, and really listening to your teen. And I realized I've hardly seen you all summer, so for the whole day today, it's you and me. Whatever you want to do, I'm all yours. Anything at all."
Linda,"(from inside) Enough moping around, Candace. (cut to inside Candace's room where Candace is sitting on her bed, she approaches her.) Phineas and Ferb said they've devised a fun way to wash the house. Why don't you join them? Have some fun for a change!"
Linda,"I have this weird desire to go outside. (Candace gets more nervous) I mean, normally, around this time of day, you're pulling me to go out in the yard and I kind of have a hankering to do it! It's like a Pavlovian ""go outside"" response. Let's go!"
Linda,"Well, I'll just leave that to the professionals at the magazine. (drives past an inflatable wading pool) Oh, look at that, an inflatable wading pool. Oh, it's just like the one I used to play with Candace when she was little. Remember, hon?"
Linda,"I see your point, Candace. No crazy person would scream at a post like that. I'll be in the dairy section if you want to come yell at some cheese. (leaves, but comes back) Would you like that, honey? Would you like to yell at some cheese?"
Linda,"Good for you. I would've been home sooner, but it took me an hour to drive around the road construction in the neighborhood. It sure would be helpful if they could just make the days a little longer. (chuckles) Who do I call about that?"
Linda,"Oh, my! Look at all the fun costumes! (passing out candy) Here you go. And here's one for you. And here's one for the little princess. And one for you. Oh, but wait! Don't go away! (singsongy) We have a little surprise for you! (leaves)"
Linda,"(sighs) I think I'll go check on the kids. (unfastens seat belt and stands up, does a half moon pose and leaves; the seat lowers back down just as she arrives; sees Candace with her arms around Phineas and Ferb) Oh, look at you guys."
Linda,"I mean it, Candace! You're acting really strange! (Candace dials her phone behind her back.) If I'm gonna go outside, I'm going to go outside! (The house phone rings.) Ugh, there's the phone! Hold that thought! (picks up) Hello?"
Linda,"(opens the door) Your father wants me to listen to one of his ""soundscapes"", so I figured I'd strap on the headphones and finally get those flowers planted in the backyard. Do you think you can entertain yourself up here alone?"
Linda,"Well, it'll have to wait. Traffic lights are out all over the city. Of course you know I'd like nothing better than to give up my special time with your father, to run home and not see what they may, or may not have done."
Linda,"So, what's on the list? Another day filled with big plans? (reads the list) ""Herd all the nerfs into Beggar's Canyon, teach the sarlaac to brush his teeth, and giving a bantha a shower."" That's awfully ambitious!"
Linda,"Well, I think that's it. You have both our cell-phone numbers, all emergency contacts, and the number of the hotel we'll be staying in at the antique shower-head convention. What do you plan on doing tonight?"
Linda,Don't...touch it! (Candace and Phineas look at their mother while their attempting to touch it. Ferb has his shoe off and attempts to press it with his foot.) Nobody touches it! I'm calling your father.
Linda,"Oh, no. I'm late for my introduction to ice sculpture. (Writes a note and goes outside to Candace sleeping on the hammock) I suppose there's no need to wake her. (puts the note on her head, then leaves)"
Linda,"That's a great idea! (she hands a stack of papers to Ferb) Here's a budget and a list of companies that do light shows. Uh, can you just handle it for me? I've gotta run. (she runs off) Thanks so much!"
Past Linda,"(sees the coaster) OH MY STARS! Phineas and Ferb made THAT?!? It's horribly unsafe and dangerous! (on the phone) Hello, police?! Fire department?! Army?! Air force?! Marines?! ANYONE?! SAVE MY SONS!!!"
Linda,"Yup. Basically, if you're really in charge, you won't need to call at all. You see, if the boys are doing something bust-worthy, that means you're not doing your job and you would be in trouble too."
Linda,"Okay, where was I? (she smells something and opens the oven to reveal smoke) Oh, no!!! (she takes out yet another burnt pie) Well, Perry, looks like you've got yourself another... Uh, where's Perry?"
Linda,"(from inside) All right Candace. (Cuts to the kitchen where she picks up her purse on the counter, where Candace is sitting and dialing her phone.) I'm off to the grocery store. You're in charge."
