Name,Dialog
Major Monogram,"Oh, good, Agent P, you're here! You're probably wondering about all these pulley things here. (eyes directing to tassel-like pulleys on his left and right) It's just that, with Carl heading to school soon, I'm (pauses) gonna have to learn to run this place all by myself. (grips the pulleys) Anyway, (pulls his left one to make a crudely drawn picture of fall leaves roll down in front of him on the screen) with the seasons about to change, I suspect Doofenshmirtz (a crudely drawn picture of Doofenshmirtz rolls down) will be trying to close out the summer (a crudely drawn picture of a ""bang"" rolls down) with a bang. (all the pictures, with his right pulley, fall to the floor) Great googly moogly! Carl! (his left pulley, still being gripped by Monogram, comes detached and dangles from his left hand.) Oh, that's right"
Major Monogram,"Ah, Agent P. We just discovered Doofenshmirtz has been stealing bottles from recycling bins, and nothing good can come from that. (Photo of Doofenshmirtz digging through trash cans appears on the monitor) Unless, of course, he's recycling, in which case nothing but good can come from that. Unless, he's recycling it into some hideous weapon, which is something once again no good could come from. Except, of course, for the recycling part, which I guess is still at its essence, good. Even if you're making something evil, it's still reducing the... You know, you know, perhaps we shouldn't even put these good and evil labels on things. Let's just say Doofenshmirtz is doing something neutral. So, just get out there and make sure it stays like that. (Agent P disappears)"
Major Monogram,"Notice anything unusual, Agent P? Look closer, it's very subtle. (Perry stares down at it, wide-eyed) Here, use this. (Slides out a magnifying glass from the vent, Perry takes it and holds it up to his eye) See that small cluster of clouds? (Camera zooms in on the magnified clouds) It spells ""Doof""! And ""Doof"" is short for ""Doofenshmirtz""! (Perry puts down the photo and magnifying glass) That cloud is directly above the Danville Batanical Gardens! Two hundred acres of ecological diverse natural area. We need you to get out there and find out what Doof is. . .doofing! Here, (slides out a card from inside the vent) take my membership card. (Perry takes it and looks at it doubtfully) You get free parking and you get 15 percent off at the gift shop."
Major Monogram,"Good morning, Agent P. (Perry realizes the camera is zoomed in very close on Monogram's face.) Sorry about the extreme close-up. Carl's off today, and for the life of me I can't figure out how to work this thing. Anyway, we have reason to believe Doofenshmirtz is up to no good. Again, since Carl is out, I'll have to do the visual reference myself. (clears throat; begins to draw on pieces on paper, showing his pictures to Agent P.) He's recently purchased a small tux, a silver tray, and a pair of white gloves. Heh heh, I traced my hand for that one. Ooh, check this out! (Monogram draws details of a turkey on the hand.) Look, it's Agent T! (Perry glares then looks up in shock; Monogram leans down) What, too soon?"
Major Monogram,"Ooh, ooh, oh, get it off! G-Get it off! Ooh! Uh, just walked through a spiderweb. Don't you just hate that? Ya spend the rest of the day worried there's a spider on ya. (shudders) Gives me the willies. Anyhoo, our sources tell us there's a cowboy hat in front of Doof's building. Normally, that wouldn't be of any interest to us, since this is the week of the Danville Hootenanny, but it is a rather large hat and, in spite of its name, the Danville Hootenanny is a dignified affair. I wish I had more information, but Carl said there was a big bee by the surveillance equipment. So get out there, Agent P! Ooh! Carl, is there... (turns around revealing a huge tarantula on his back) is there a spider on my head?"
Major Monogram,"Now this train runs along the border between the United States and Canada, so you only have jurisdiction on the American side of the train. To help you out on the Canadian side of the train You'll be teaming up with an Agent from C.O.W.C.A. the Canadian Organization Without a Cool Acronym, Agent Lyla. (A picture of the woman from Perry's previous mission is shown) You may remember her from that special assignment for our Seattle Bureau we sent you on a couple of months ago. I know that didn't go too well but I expect you to be professional, and put that all behind you. Get out there and good luck. (Perry leaves in his hover jet) Carl? Can I- Can I have those antlers back?"
Major Monogram,"Don't get cocky, Carl! Agent P, as you know, every operative is equipped with an auto-scan replication device, just like the one in your hat. We've been using the information you've gathered to replicate each and every one of Dr. Doofenshmirtz's inators. Our top men have been analyzing them to determine if they've been getting smarter or dumber. And, to be honest, the jury's still out. Now we find out that he's in the process of building an alternate dimension-related inator. Your assignment is to stop him, before he finishes building it. Behind you, rising dramatically from the floor, is Carl with some high-tech devices that you might find useful."
Major Monogram,"There you are Agent P! Welcome to the meeting of the Secret Order of the Knights Without a Cool Acronym or SOKWCA. As you know, it is our duty to...Hey! You're not wearing your fez. (Pointing to a part of the room) Better go to the fez dispenser. (Perry takes off his fedora and gets a fez from a vending-machine like dispenser) As I was saying, Doofenshmirtz is dangerously close to laying his mits on the lost Idol of Juatchadoon. If he were to get hold of it, it would be blood-sucking-Chupacabra-brain-eating-zombie-ancient-Mayan-Gods-come-to-life-weird-voodoo-curses-with-goat-heads and what not bad. Now, get out there and stop him Agent P."
Major Monogram,"Ah, Agent P. I believe you know Agent Pinky. (Cut to a shot of Agent Pinky, shaking, next to Agent P.) Agent Pinky informs us that Doof intends to steal the deed to the Tri-State Area from the City Hall archives. It seems he's discovered that whoever has the deed automatically becomes the ruler. It's an old law from a simpler time. You'll find that Agent Pinky is quite an asset, Agent P. He's good with computers, covert ops, and, quite frankly, he needs the hours. So get out there and stop Doofenshmirtz! Good luck, Agents P and, uh...P! (Agents P and Pinky leave) I guess you're just two ""P's"" in a pod. (chuckles) Carl, where's my rimshot?"
Major Monogram,"Welcome back, Agent P. We hope you had a pleasant day off. Anyways, there's a crisis brewing in Danville, (camera pans to Perry, who grips his seat, then switches back to Major Monogram) and it could destroy the very fabric of our existence. There's never been a greater threat. Peaches! (Perry is shown with a confused look on his face, Major Monogram continues) Oh, you probably want me to explain the... (Major Monogram chuckles to himself) There's been a shortage of peaches in Danville lately, and we've traced it to Doofenshmirtz. Go find out what he's up to, and good... (Perry leaves) luck. Wow, guess he's in a hurry."
Major Monogram,"Agent P. Doofenshmirtz was last seen boarding a train transporting Precious Albert the Moose. Cue the graphic Carl. (A picture of Albert the Moose appears) Albert the Moose is Canada's prized animal, who represents the unity of the provinces. We need you to make sure Doof keeps his mitts off that moose. If you fail, Canada Day Celebrations will be ruined, (The picture of Albert the Moose disappears, except for the antlers) and Canada will break into civil war. Or, since it's Canada, it would be a civil conversation where secession would be topic of discussion, and... (Monogram notices the moose antlers) Carl? Antlers?"
Major Monogram,"(Through Perry's wristwatch communicator) Monogram to Agent P. Already airborne, I see. I like that! Doofenshmirtz has recently purchased an inordinate number of chairs. Hundreds of them! Far more than necessary for a person with no friends, and only one tushee. Well actually I'm, I'm just sort of assuming about the tushee. But I'm pretty confident in the no friends thing. You think it'd be the other way around, but the way he's always playing with forbidden science, you can never really be... This is coming out kinda weird, huh. Look, you're going over their anyway, just, just take a look, okay? Monogram out."
Major Monogram,"That's right, rockenhosen! We're sending you to Drusselstein. Doofenshmirtz will arrive there this morning, and we must know what he's up to. Now this letter will self-destruct. (The envelope closes, and the letter self destructs) Oww!! Oh, and the, uh, box, as well. (Perry picks up the scattered shreds of the blown up letter, puts it into the box, closes it and tosses the box out of the pet door) 5, 4, 3... (Perry changes into his clothes and runs off) You know, I really don't know what we were thinking with -- (The second explosion occurs. The roof opens and Perry comes out in his jet-pack)"
Major Monogram,"Agent P, uuh, well, due to your...reprehensible behavior over the past few days, (screen changes to Perry robot kicking over a trash can) which I can barely believe is even possible (changes to fake Perry stealing cash out of a truck) from an agent of your caliber, (changes to fake him throwing money out the window of a car, then to him eating cereal at his host family's table but that Doofenshmirtz's home and Doofenshmirtz's table)  who has learned nothing but the best in his field I, uhh, uh, actually, I don't know what's particularly bad about this clip here, but, we have no choice but..."
Major Monogram,"Good morning, Agent P, and thank you for your help, Agent E. Sorry to alarm you, Agent P, but we're remodeling our regular base here. Actually, my wife's doing it Mexican-country style. Distressed wood, wrought iron. It should all be very- Woah! Hey, woah! Hey, Agent E, back off! Anyway, Agent E has spotted Dr. Doofenshmirtz on Spleen Island. He's moving boxes and equipment into what's known as the haunted cave of the old sea hag. Honestly, I'm not making this stuff up. But anyway, we believe he's creating a new hideout there, and we want you to foil his plans. Good luck, Agent P."
Major Monogram,"Get with it, Carl! The hip kids call it a ""hawkmo"". Anyhow, Agent P, retail stores all across the Tri-State Area are reporting a huge influx of returned faulty items and, coincidentally, (shot of Doof whistling with an inator waiting on line is shown onscreen) Doofenshmirtz has been spotted at customer service counters. (Monogram reappears onscreen.) I have a hunch that these two unrelated things may just be related! Now go find out if Doofenshmirtz has anything to do with this! Also, find out if anyone is actually calling it a ""hawkmo"" and, if not, please get that started!"
Major Monogram,"Hello there Agent P. Your assignment concerns tonight's big block party. We've intercepted intel that Doof is planning on attendin' tonight's festivities ""just for the fun of it"". We need you to attend the block party and confirm that he's not up to no good. (pause) I realize that's a double negative but I think it still works. Not up to no good... yeah, i-it works. Unfortunately since your surveillance will take place in close proximity to your hosts, you will need to be in disguise for the duration of your mission. Carl, activate the hydraulic costume chamber."
Major Monogram,"Hello Agent P, sorry about the trees they were leftovers from Christmas and we didn't have anywhere else to store 'em. Oh, and uh, also the air-conditioning system is on the fritz, so pardon all the frost. All over the Tri-State Area, keys are disappearing. Businesses can't open, the freeways have ground to a halt, citizens are locked out of their homes, and I, for one, would really like to get into the executive washroom. It's got a waterfall, you know you wave your hand to the water just sort of-... well it's...it's really cool. Stop Doofenshmirtz! Quickly!"
Major Monogram,"Good morning, Agent P. Dr. Doofenshmirtz is on the move. We tracked him to these coordinates when we suddenly lost his signal. We have two scenarios to explain his disappearance. First, that magical elves have caused Dr. Doofenshmirtz to vanish to the land of angry corn people. The second, is that he may be on his secret, hideout-shaped island with the initial ""D"" carved into it that satellites found in the exact, spot, where he... vanished... uh, you know what? Uh, forget the magical elves thing. Way off base with that. Anyway, on your way, Agent P."
Major Monogram,"Oh, right! Because chili is a perfect substitute for a nice touchy-taco. It's practically the same thing! (at Perry) Agent P, you're... here! Uhmm... Our inter-web monitor tells us that Dr. Doofenshmirtz has been video conference thing with the other members of the evil organization; L.O.V.E.M.U.F.F.I.N. It's obviously they're planning something big, but right now we have our hands full with this all cafeteria day debacle... so! Get out there and put a stop to it! Good luck, Agent P (Agent P salutes) .... Carl! We're going off the lot for lunch."
Major Monogram,"Agent P.? (The lights flicker on) Ah, there you are. What do you think of the new motion sensor lights we've installed in your lair. (The lights go off again) Um... Agent P. try flailing your arms about that should- (Agent P. does so and the lights turn on) There we go! Now, Doofenshmirtz has been driving around town in some sort of truck that turns inanimate objects, like parking meters, into bugs. Eww. I want you to-- (The lights go off in where Major Monogram is) Really? Carl, I'm waiving my arms, why aren't the lights coming back on?"
Major Monogram,"Oh, there you are, Agent P. Sorry about the wild-goose chase. You were just too close to this case. But don't feel bad. No one could ever find Agent G. He's been missing for far, far too long. (Perry pulls out Agent G) What the--? Agent G. On an extremely extended vacation, hm? Well, Agent P deserves a vacation more than you do. He deserves one, but unfortunately, evil never rests. So, we'll see you tomorrow. Well, this is getting a little awkward. Carl, my arm's getting tired and he won't salute back."
Major Monogram,"Agent P, it seems that Doofenshmirtz is into astrology now, and that makes him very dangerous to us. I know what you're thinking. I was like you. I always thought horoscopes were a bunch of hooey. But then, I read my own horoscope. I'm a Sagittarius. It said, ""It's a bad to get a haircut"". How spooky is that? I had my haircut yesterday. Today would be a bad day to get a haircut. How do they know that stuff? If Doof figured out the astrological science of our agents, he could predict our every move!"
Major Monogram,"I see you've taken our new breakfast-themed lair entrance. It's the most important lair entrance of the day. Anyhoo, OWCA has surveillance footage of Doofenshmirtz raiding thrift-store dollar bins. Not sure if it's evil, but it's, just kind of pathetic. Get to the bottom of this, and stop Doof's potential poverty-driven criminal freakout. And um, how 'bout ya pick up a cup of coffee for him on your way over? It's on me. Use some petty cash. (Perry salutes, then leaves) I feel bad for the poor guy."
Major Monogram,"(On Perry's wristwatch communicator) Thank goodness your wrist communicator is still working Agent P. We traced the blackout to the Danville power plant on 5th street. I know you're busy with Doofenshmirtz, and you don't normally handle stuff like this, but I was in the middle of microwaving a burrito, and center is still totally frozen. Just figured you were close, and uh... Hurry Agent P. it's, it's kind of scary in here, and I'm all alone.(There is a crash sound) Carl? C-Carl, is that you?"
Major Monogram,"Morning, Agent P. (Perry chatters wearily) Guess whose birthday it is, Agent P? (cut to the monitor showing Monogram wearing a party hat) It's not Carl's. And it's not yours. Okay, okay, it's mine! (blows a noisemaker) Help yourself, Agent P. (a piece of cake with a candle on it emerges from the floor but Perry refuses it) Not a cake person, huh? Oh, well. We've noticed a surge of revenue going to Doofenshmirtz's bank account recently. Get to the bottom of it. Are we ready to sing, Carl?"
Major Monogram,"Hmm. You're right, Carl. I can be pretty rough sometimes. (sadly) Poor Agent P. Do you think the little guy will ever forgive me? (Perry finally drops into his chair to see Monogram crying, but he then looks up happily) Oh, uh, Agent P, you're here! Ahem! (seriously) So, Dr. Doofenshmirtz has been sighted in the Danville Park. We need you to make sure no one is in any danger. (Perry salutes and leaves) There he goes. (guiltily) Jeez, Carl, just hope I wasn't too rough on him this time."
Major Monogram,"Just looking over your request for vacation time. We're ready to approve it, but there's one small problem. And by ""small problem,"" I mean ""big problem."" And by ""approve it,"" I mean ""deny it."" Sorry, Agent P. I know you've been putting in a lot of extra hours, but we've got word that Dr. Doofenshmirtz has bought a new house in the suburbs. Three bedroom, two and a half baths, central air. Nice place. We need you to find out what he's up to. Here's his new address. Good luck, Agent P."
Major Monogram,"Ah, there you are, Agent P. Sorry about the lights. We're using an alternative energy source, and haven't got it working smoothly yet. I decided it was high time our operation went green. All right, assignment, assignment. Oh, let's see... We're saving paper by printing on the same one over and over again, so... Uh, sorry for the life on me. (Turns the paper, showing black ink all over it) I can't make this out. Hmm... Well, I'm sure it says something about Doofenshmirtz. Go get him!"
Major Monogram,"Good morning Agent P! I wonder what exciting mission we have for you today. (starts itching his nose) Excuse me, my nose is really itchy. Doofenshmirtz has purchased a lot of carpet, he must be up to something bad. Because he's a bad, bad person... He's this bad. (Holds up his arms to show how bad Doofenshmirtz is. He starts to laugh) I can't do this. Carl was doing my arms. See? (Turns around to show Agent P) Oh, too funny, anyway, stop Doofenshmirtz with the carpet thing."
Major Monogram,"Hello again, Agent P. International intel has indicated that Doofenshmirtz is planning to sabotage Paolo Vanderbeek and enter the Grand Prix himself. (Cut to Perry driving.) So, we need you to find out what Doof is up to while Carl and I keep an eye on Vanderbeek here at the race track incognito. (Cut to Monogram, now wearing a fake black mustache.) Nifty disguise, huh? Gives me a continental look, don't you think? Anyway, Doofenshmirtz is at the casino L'Hotel Uber-Swank."
Major Monogram,"...Yeah. And she was like ""Oh no, you di-in't!"" and-- Oh, there you are, Agent P. Oops. I forgot to turn off the laser sharks again, didn't I? My bad. Anyway, the evil Dr. Doofenshmirtz is at it again. Not only does he have 3 books about insects overdue at the library, but he's cornered the market on aluminum siding. He's hold up on his water fortress on Lake Winimahatikihaha. Ha-ha. I love saying that. You must find out what he's up to and put a stop to it. That is all."
Major Monogram,"Yeah, I know it's a long haul, but the local take-out just wasn't cutting it for my sophisticated palate. I just wanna tell you what Doof is up to, but I have no idea. I've been on the plane for 17 hours, and they don't let you use your cell phones till you land, and then I realized I didn't have international coverage, so... Anyway, you should probably get back to Danville, and check on him, just in case. Don't worry, I'll bring you back some white rice and soy sauce."
Major Monogram,"(clearing his throat) Okay, Agent P. Dr. Doofenshmirtz is buying bio-mechanical equipment and... (chuckles) ...elocution tapes. (laughing) W-we don't know why. (Perry walks away) Where are you going, Agent P? Wait, wait, wait, wait. Don't-Don't go. I'm not laughing at you. I just heard a funny joke earlier this morning and- Please-please, Agent P. Turn around so we can conclude our meeting. (camera phone snaps) Carl! (3x) What's your e-mail? Gonna send this to you."
Major Monogram,"Agent P, we have a crisis. The Agency was going through Dr. Doofenshmirtz's trash this week when we found this. (shows a magazine with doodled on cover) Defaced magazine cover. Shameful! There were hundreds of similary defaced photos of good looking men, (shows a magizine of him on the cover with a devil face drawn onto it) including this handsom devil gracing the cover of Covert Lifestyles. My interest in this incident is purely professional, but put a stop to it!"
Major Monogram,"Morning, Agent P. How do you like the new spitoon lair entrance? (Beat) Anyway, your mission. Mayor Roger Doofenshmirtz is being honored today with a statue at the Mayor's Day Festival. (Background of screen becomes a weather map with Heinz's and Roger's faces on it.) Considering Doofenshmirtz's hatred for his brother, the forecast suggests mild tomfoolery with a sixty percent chance of slapstick violence. Good luck, Agent P. Now on to Tom Perkins with sports."
Major Monogram,"Ah, there you are, Agent P. Well, let's get down to brass tacks or whatever it is tacks are made of these days. It seems that Dr. Doofenshmirtz has been buying up all the polyethylene in town. It's a substance apparently used in disposable baby diapers. It could be an evil scheme or it could just be neutral. Get out there and absorb the situation. Now, since your hovercraft is in the shop, Carl has had to arrange last minute alternative transportation for you."
Major Monogram,"Good morning, Agent P! We, ah, ah (sneezes) Sorry, I (coughs) My allergies are acting up. This whole Bee Day business is stirring up all the pollen in Danville. Anyway, Agent P, uh, Doof's been spotted gathering bee pheromones, which is not only disgusting but probably evil. To send you on your way, Carl actually came up with a bee-themed jetpack. It's right behind you. (a hatch opens behind Perry, holding a bee-themed jetpack) Carl! Where are those tissues?!"
Major Monogram,"(wearing a winter knit cap) Morning, Agent P. Sorry about the cold climate inside your lair; see, the heating system is on the fritz and we had to call a guy in from Aruba, but I can assure you that we are all in the same boat here. (Perry is now completely frozen in ice, except for his bill) You're not alone in this; we are all sharing the pain, and... (a beach ball hits the background, which drops, revealing that Monogram is in Aruba) Heh heh heh, awk-ward."
Major Monogram,"Anyhoo, today's the unveiling of Danville's new water tower. Mayor Doofenshmirtz is going to be dedicating it tonight at his press conference. We're fairly certain that Doof'll attempt to disrupt the event in some way. Not only is it high profile, but, since it's right next door to Doofenshmirtz Evil Incorporated, it's also extremely convenient. So get out there and stop him from doing whatever it is he is gonna... (the bubbles stop again) Carl! Bubbles!"
