Name,Dialog
Phinabunk,"Hmm? Ni. (Grinding) (Looks at another stone) Hmm? Ni. (Throws it in Bunka's mouth) Ah? Ni. (Camera pans to Bunka, who grinds another stone. A squirrel rolls by balancing on a nut) Gerb? (Gerb shows a stone) Ah! (Camera pans to the stone) Oh wha!"
Isabelock,(enters yard) Mei Phinabunk! Whakka tuka'?
Phinabunk,"Mei Isabelock, Gerb n mi maka wha."
Isabelock,"Oh, a wha."
Boofgard,(While dragging Baljug in) Mei gah!
Phinabunk,Mei Boofgard n Baljug.
Boofgard,Whakka tuka'?
Isabelock,(angrily) Boofgard!
Swampy,"Whoa, whoa, whoa. So—so they're just gonna be talking in ""cave-talk""?"
Dan,Yeah! I think Doofenshmirtz is just gonna grunt.
Swampy,Oh—How are people gonna know what's going on?
Dan,"Oh—Periodically we're just gonna cut to you and me, just explaining it just like this in this sort of photo-animation."
Swampy,Wh—Why don't we just film it? Live action?
Dan,"Nah, it's not the budget."
Swampy,"Ah, yeah. How are the kids gonna know who we are?"
Swampy,Oh! That's nice. Okay. But where's Perry?
Dan,(Prepares to write on the drawing board) Ah!
Monobrow,Meh ti bi bunga gunga. Unga gunga Doofengung gugga lunga.
Monobrow,GNARL!
Monobrow,Unga lunga alunga. Gunga lunga bleh ah...
Caveman,Ugga bugga bajunga ba googoo googa di wha?
Phinabunk,Ah. Ah gi ar.
Caveman,Eh.
Da,Ah bu ga bu dar.
Mog,Ah bu ga bu dar. Dan doo par gu spar.
Da,Shank oo dar.
Da,Bakoo ar!
Mog,Bakoo ar! (Mog unbends her back. She walks to a mirror and sees her hair) Chakka lakka! Can-tok? (Gets her staff) Igga raba oh.
Can-tok,Mog! Mog! Can-tok in charga?
Mog,"Ah, Can-tok. Yar in charga. (Gives Can-tok the staff)"
Can-tok,Ess!
Mog,Ah quag.
Can-tok,"Ah quag, Mog! (Looks at the staff) Can-tok in charga. Ee-ee-ee-ee!"
Can-tok,Phinabunk and Gerb! Can-tok in charga!
Phinabuk,Can-tok in charga? Du mhakka satellakkah?
Doofengung,A Bunkaquan?
Doofengung,Bunka da Bunkaquan?!
Doofengung,"Ah, Bunka da Bunkaquan... bakka lakka!"
Doofengung,"Ah, Bunka da Bunkaquan..."
Doofengung,Ama wrog?
Doofengung,Uh? Blahh! (A piece of a stalactite breaks off) Uh? Blahh! Uh? Blahh! Uh? BLAHH!!!
Dan,You know what? I think you're right. This was a bad idea.
Swampy,"No, no, no, no... This is starting to work. This is really good."
Dan,Really?
Swampy,"Yeah. Get, get up, get up, get out of the way! Give me the pen. So Phinabunk and Gerb have already invented the wheel and are getting ready to show their friends..."
Phinabunk,Ta-da!
Boofgard,"(Scratching his head, confused) Ta-da?"
Phinabunk,"Ah, ta-da! (He hums as he rolls with his wheel. He stops at Boofgard and gets off) Ta-da!"
Phinabunk,Ah?
Boofgard,Ta-da.
Can-tok,"Oh! (Walks outside) Phinabunk and Gerb, gu bagga da da da!"
