Season,Episode,Name,Dialog
1,1,Phineas,"So, Ferb, what do you wanna do today?"
1,1,Phineas,"What about Perry, what does he want to do?"
1,1,Phineas,"Well, he's a platypus, they don't do much. I for one, am starting to get bored, and boredom is something of up with which I will not put! The first thing they're gonna ask us when we get back to school is ""what did we do over the summer?"". I mean, no school for three months. Our life should be a roller coaster! And I mean a good roller coaster, not like that one we rode at the state fair."
1,1,Fair Worker,Please exit to the left.
1,1,Phineas,"Man, that was lame. Why, if I built a roller coaster, I would... (Gets idea; angelic chorus plays) That's it! I know what we're gonna do today!"
1,1,Linda,"Phineas, Ferb. I'm gonna pick up a few things. You boys stays out of trouble, okay?"
1,1,Phineas,Okay mom. (At Ferb) We're gonna build a roller coaster!
1,1,Candace,"I'm in charge, right? You did tell them I'm in charge?"
1,1,Linda,"Relax, Candace, nobody has to be in charge."
1,1,Candace,But what if there's a emergency?
1,1,Linda,Like what?
1,1,Candace,What if a... What if a satellite falls out of orbit and crashes into the house? (smiles)
1,1,Linda,"If that happens, you're in charge."
1,1,Candace,Yes!
1,1,Candace,"(she enters into the backyard) Mom says I'm in charge, conditionally."
1,1,Phineas,Whatever.
1,1,Candace,"Wait a minute, what are you doing?"
1,1,Phineas,Homework.
1,1,Candace,It's summer.
1,1,Phineas,"That's cool, you wait till the last minute then."
1,1,Candace,"Well, I'm watching you. (Goes through the door) And I'm in charge, conditionally!"
1,1,Candace,"Hello? Oh, hi, Stacy! No, I can't get to the mall right now. Mom just went to the store, she left me in charge, well, you know, conditionally."
1,1,Candace,"And if you go, can you see if Jeremy is there? No, no, he's the cute one that works at Mr. Slushy Burger."
1,1,Candace,"Yeah, he totally smiled at me the last time I was there. I just about died. No, I told you I can't, I'm watching my brother and step-brother."
1,1,Candace,"Yeah, and they never get into trouble, 'cause Mom never catches them. One of these days though, I'm going to see that she catches them red handed."
1,1,Candace,"Will you hold it down, I am trying to use the phone! (at Stacy) Mom left me in charge, so there will be no shenanigans today. What are doing right now? Why do you ask? What do you mean you can see it from your house? See what?!"
1,1,Candace,"Phineas, what is this?!"
1,1,Phineas,Do you like it?
1,1,Candace,"Ooh, I'm gonna tell Mom, and when she sees what you're doing, you are going down. (runs off) Down! Down! Down! D-O-W-N, down!"
1,1,Phineas,We're gonna need a blowtorch and some more peanut butter.
1,1,Isabella,"Hey Candace, is Phineas... home?"
1,1,Candace,"Down, down, I say!"
1,1,Isabella,(hearts in eyes) Hey Phineas.
1,1,Phineas,Hey Isabella.
1,1,Isabella,Whatcha doin'?
1,1,Phineas,Building a roller coaster.
1,1,Isabella,In your backyard?
1,1,Phineas,Some of it.
1,1,Isabella,Wow. Isn't that kind of impossible?
1,1,Phineas,Some might say.
1,1,Isabella,"Hey, Ferb."
1,1,Isabella,Does your step-brother ever talk?
1,1,Phineas,Ferb? He's more of a man of action.
1,1,Isabella,"I was gonna go to the pool, you wanna go swimming?"
1,1,Phineas,Kind of in the middle of something here.
1,1,Isabella,"Oh, right. Okay, I'll see you later then. (leaves)"
1,1,Phineas,Okay. (at Ferb) Hey Ferb! You got enough rivets up there?
1,1,Phineas,"Hey, where's Perry?"
1,1,Major Monogram,"Good morning, Agent P. The evil Dr. Doofenshmirtz is up to his old tricks. For reasons unknown to us, he bought up 80% of the country's tin foil. I want you to get over to his hideout right away. Find out what he's up to and put a stop to it. As always Agent P, it is important that your cover identity as a mindless domestic pet remains intact. Now, get out there. We're all counting on you."
1,1,Phineas,"So, the way I see it, the fuel rockets kick in at the mall's parking lot, then we release the snakes during the corkscrew at the interstate. I'm gonna go get the snakes."
1,1,Candace,"Mom! You gotta come home, right now."
1,1,Linda,Did a satellite crash into the house?
1,1,Candace,"No, no, no. You gotta see what Phineas and Ferb are doing."
1,1,Linda,Seems like we've had this conversation before.
1,1,Candace,What do you mean?
1,1,Linda,"I seem to recall you telling me that the boys were training monkeys to juggle bicycles, and when I come home, there was a stunning lack of monkeys."
1,1,Candace,I still don't know how they cleaned that up so fast.
1,1,Linda,"So, what's the emergency this time?"
1,1,Candace,They're building a roller coaster!
1,1,Linda,"Candace, seriously, isn't Phineas a little young to be a roller coaster engineer?"
1,1,Factory Manager,Aren't you a little young to be a roller coaster engineer?
1,1,Phineas,"Yes, yes I am."
1,1,Factory Manager,"Well, I must say, I'm very impressed, the forms all seems to be in order, although I'd never seen them filled out in crayon before. So, if there's anything I can get you, anything at all, just let me know."
1,1,Phineas,Do you think we could borrow one of those gadgets?
1,1,Phineas,"Now, this is the life."
1,1,Doofenshmirtz,"Ah, Perry the Platypus, what an unexpected surprise. And by unexpected, I mean"
1,1,Doofenshmirtz,"I, Doctor Heinz Doofenshmirtz, have covered the entire eastern seaboard in tin foil, and when I put my giant magnet, next to my genius, Magnetism Magnifier, I will pull the East, in westerly direction, thereby reversing the rotation of the earth. You may ask yourself, why would he do this? What could he possibly have to gain? Well, let me just answer that question, I haven't really worked on all the bugs yet. I mean, tin foil alone costs a lot."
1,1,Candace,"But Mom, I'd tell you, they're building  it, and it's huge!"
1,1,Candace,"""Phineas and Ferb present the Coolest Coaster Ever now open""? Mom! (runs off)"
1,1,Pedro,Phineas and Ferb got a roller coaster? You think we get a discount if we bring the flier?
1,1,Another kid,Maybe we better take it.
1,1,Candace,"(Gestures toward the empty post, head turned away) There, look, look, look, see? I told you I'm not crazy, I told you!"
